ticker,year,quarter,date,time,Anger,Disgust,Fear,Joy,Sadness,Analytical,Confident,Tentative,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Range
BPOP,2011,2,7/20/2011, 2:00 pm,0.150605,0.134367,0.148578,0.587512,0.565885,0,0,0.765529,0.424949,0.799928,0.745411,0.681134,0.834028
BPOP,2011,3,10/19/2011,8:00 AM,0.187803,0.128904,0.144734,0.568294,0.545904,0,0,0.66189,0.378921,0.867867,0.721122,0.589329,0.861265
BPOP,2012,4,1/25/2011,10:30 AM,0.465452,0.151029,0.157758,0.556769,0.550603,0.743424,0,0.252584,0.229526,0.858134,0.595939,0.610012,0.843461
BPOP,2012,1,4/20/2012,10:30 AM,0.163041,0.145653,0.134882,0.587176,0.522257,0.714602,0,0.104199,0.325208,0.967353,0.824072,0.822331,0.861568
BPOP,2012,2,7/18/2012,10:30 AM,0.177125,0.13579,0.153001,0.589258,0.501145,0,0,0.60767,0.349026,0.894523,0.798674,0.659148,0.806333
BPOP,2012,3,10/19/2017,10:30 AM,0.172715,0.436724,0.15267,0.586982,0.270944,0.636532,0,0.182486,0.336662,0.923085,0.66305,0.780334,0.778666
BPOP,2012,4,1/24/2013,10:30 AM,0.147392,0.435282,0.146915,0.578312,0.511573,0.586813,0,0.247951,0.312091,0.919586,0.717396,0.797794,0.80947
BPOP,2013,1,4/18/2017,2:00 PM,0.168375,0.433101,0.145037,0.576981,0.480887,0.576041,0,0.190979,0.535983,0.931935,0.81427,0.775434,0.774992
BPOP,2013,2,7/18/2013,2:00 PM,0.173191,0.433628,0.167152,0.587943,0.24753,0.651202,0,0.049908,0.590076,0.906612,0.790569,0.795475,0.729519
BPOP,2013,3,10/23/2013,10:00 PM,0.176872,0.449934,0.161859,0.581872,0.245767,0.659094,0,0.165503,0.522357,0.826075,0.814928,0.830952,0.71863
BPOP,2013,4,1/23/2014,10:00 AM,0.167647,0.458576,0.15263,0.611186,0.241619,0.727401,0,0.022374,0.415319,0.846788,0.841601,0.774874,0.7621
BPOP,2014,1,4/23/2014,11:00 AM,0.166023,0.134371,0.156909,0.573377,0.540258,0.724961,0,0.479312,0.289956,0.867228,0.727192,0.806136,0.767363
BPOP,2014,2,7/24/2014,11:00 AM,0.198627,0.431836,0.161224,0.585882,0.271515,0.695543,0,0.028678,0.465601,0.895606,0.720781,0.834607,0.707978
BPOP,2014,3,10/22/2014,10:30 AM,0.186378,0.128661,0.111433,0.583186,0.511432,0,0,0.635447,0.463126,0.935082,0.822915,0.908231,0.709815
BPOP,2014,4,1/22/2015,10:00 AM,0.152413,0.116704,0.148232,0.24099,0.55569,0,0,0.633618,0.360858,0.867707,0.654329,0.80059,0.686836
BPOP,2015,1,4/27/2015,10:00 AM,0.167879,0.132873,0.144262,0.590209,0.496614,0.631411,0,0.160985,0.401398,0.886765,0.800684,0.767079,0.794496
BPOP,2015,2,7/24/2015,10:00 AM,0.168069,0.144276,0.157395,0.216314,0.509767,0,0,0.705021,0.3922,0.760254,0.690657,0.675613,0.73695
BPOP,2015,3,10/23/2015,10:00,0.19171,0.14069,0.151806,0.556685,0.520529,0.754934,0,0.469531,0.359958,0.859519,0.773552,0.867039,0.753379
BPOP,2015,4,1/26/2016,10:00 AM,0.144425,0.126505,0.134235,0.584703,0.569376,0.647325,0,0.068078,0.362879,0.812418,0.700059,0.649908,0.673711
BPOP,2016,1,4/25/2016,11:00 AM,0.166998,0.126035,0.149504,0.554478,0.522997,0.60814,0,0.39105,0.348425,0.792962,0.704524,0.817971,0.681276
BPOP,2016,2,7/26/2016,11:00 AM,0.168935,0.127461,0.151527,0.582716,0.546819,0.635837,0,0.372756,0.389965,0.77854,0.708412,0.781859,0.712134
BPOP,2016,3,10/25/2016,11:00 AM,0.171536,0.131383,0.164391,0.579444,0.527981,0.630748,0,0.351906,0.363958,0.738637,0.721806,0.741175,0.710728
BPOP,2016,4,1/24/2017,11:00 AM,0.153719,0.41418,0.140536,0.572687,0.524545,0.722017,0,0.027603,0.370024,0.78213,0.861156,0.771116,0.699366
AAPL,2017,1,1/31/2017,5:00 PM,0.146649,0.11426,0.128416,0.623262,0.563667,0.662148,0,0.158698,0.501163,0.86321,0.799753,0.678468,0.847058
AAPL,2016,4,10/25/2016,5:00 PM,0.160144,0.131863,0.128425,0.609699,0.470619,0.649245,0,0.015057,0.367198,0.749366,0.739907,0.702684,0.746187
AAPL,2016,3,7/26/2016,5:00 PM,0.142294,0.128237,0.13069,0.575859,0.472766,0.775651,0,0.418863,0.460793,0.761261,0.793245,0.709675,0.777231
AAPL,2016,2,4/26/2016,5:00 PM,0.158288,0.131211,0.142796,0.580848,0.522404,0.753615,0,0.051138,0.531312,0.777481,0.864954,0.779902,0.83446
AAPL,2016,1,1/26/2016,5:00 PM,0.160727,0.131664,0.149316,0.608993,0.503678,0.706643,0,0.486052,0.477063,0.716117,0.793926,0.676473,0.645176
AAPL,2015,4,10/27/2015,5:00 PM,0.150524,0.127367,0.099177,0.610194,0.479048,0.64901,0,0.035755,0.426476,0.776595,0.699783,0.734755,0.774391
AAPL,2015,3,7/21/2015,5:00 PM,0.163524,0.136832,0.141136,0.567851,0.264379,0.729482,0,0.30531,0.522968,0.763873,0.827263,0.72057,0.786474
AAPL,2015,2,4/27/2015,5:00 PM,0.1432,0.11312,0.113441,0.597266,0.245369,0.207012,0,0.076346,0.249613,0.634723,0.70137,0.71185,0.657607
AAPL,2015,1,1/27/2015,5:00 PM,0.157141,0.084199,0.112166,0.616092,0.534022,0.69585,0,0.115995,0.450634,0.864866,0.512063,0.500369,0.773192
AAPL,2014,4,10/20/2014,5:00 PM,0.138737,0.115705,0.11934,0.600077,0.511133,0.614337,0,0.1273,0.287716,0.833081,0.457007,0.486265,0.723156
AAPL,2014,3,7/22/2014,5:00 AM,0.13875,0.092883,0.102281,0.574541,0.531264,0.685576,0,0.389601,0.461851,0.584923,0.320448,0.143897,0.74069
AAPL,2014,2,4/23/2014,5:00 PM,0.166039,0.123516,0.131314,0.585635,0.497395,0.72589,0,0.375311,0.443422,0.750249,0.796921,0.629654,0.678877
AAPL,2014,1,1/27/2014,5:00 PM,0.169504,0.114163,0.140048,0.56894,0.501735,0.684668,0,0.120708,0.372185,0.687857,0.748271,0.604601,0.774592
AAPL,2013,4,10/28/2013,5:00 PM,0.123756,0.083796,0.088729,0.656221,0.195672,0.543987,0,0.169184,0.493261,0.849904,0.694556,0.615944,0.74405
AAPL,2013,3,7/23/2013,5:00 PM,0.147275,0.435173,0.154851,0.576087,0.557877,0.681945,0,0.426308,0.300479,0.607536,0.542276,0.592718,0.707375
AAPL,2013,2,4/23/2013,5:00 PM,0.14646,0.148735,0.138075,0.585147,0.52894,0.732671,0,0.348673,0.517723,0.826752,0.868765,0.799803,0.707024
AAPL,2013,1,1/23/2013,5:00 PM,0.130913,0.082237,0.100682,0.626429,0.238754,0.558772,0,0.079063,0.487331,0.92534,0.772834,0.689951,0.793277
AAPL,2012,4,10/25/2012,5:00 PM,0.171571,0.14677,0.148691,0.578226,0.249738,0,0,0.693972,0.475418,0.700243,0.73019,0.632457,0.772269
AAPL,2012,3,7/24/2012,5:00 PM,0.161678,0.436479,0.149437,0.557021,0.505746,0,0,0.657686,0.36607,0.800671,0.561569,0.58302,0.797651
AAPL,2012,2,4/24/2012,5:00 PM,0.176632,0.133186,0.167231,0.569533,0.244611,0.615849,0,0.034724,0.454941,0.642815,0.515483,0.632578,0.723611
