,Ticker,Date,Time,Links
0,F,"


134











































































































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4057417-ford-f-investor-presentation-slideshow?part=single
1,F,Q4 2016 Earnings Conference Call,"January 26, 2017 09:00 AM ET",https://seekingalpha.com/article/4039912-ford-motors-f-ceo-mark-fields-q4-2016-results-earnings-call-transcript?part=single
2,F,"


158



















































































































































































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4039637-ford-motor-company-2016-q4-results-earnings-call-slides?part=single
3,F,Deutsche Bank Global Auto Industry Conference Call,"January 10, 2016 18:30 ET",https://seekingalpha.com/article/4035843-ford-motors-f-ceo-mark-fields-presents-deutsche-bank-global-auto-industry-conference?part=single
4,F,"


135














































































































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4035777-ford-f-presents-2017-deutsche-bank-global-auto-industry-conference-slideshow?part=single
5,F,November 2016 U.S. Sales Conference Call,"December 01, 2016 10:00 A.M. ET",https://seekingalpha.com/article/4027678-ford-motor-f-november-2016-u-s-sales-conference-call-transcript?part=single
6,F,Q3 2016 Earnings Call,"October 27, 2016 9:00 am ET",https://seekingalpha.com/article/4015766-ford-motor-f-q3-2016-results-earnings-call-transcript?part=single
7,F,"


146















































































































































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4015655-ford-motor-company-2016-q3-results-earnings-call-slides?part=single
8,F,2016 Investor Day Conference,"September 14, 2016 10:00 AM ET",https://seekingalpha.com/article/4006587-ford-motors-f-ceo-mark-fields-hosts-2016-investor-day-conference-transcript?part=single
9,F,Q2 2016 Earnings Call,"July 28, 2016 9:00 am ET",https://seekingalpha.com/article/3992728-ford-motor-f-mark-fields-q2-2016-results-earnings-call-transcript?part=single
10,F,"


150



























































































































































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/3992585-ford-motor-company-2016-q2-results-earnings-call-slides?part=single
11,F,May 2016 U.S. Sales Conference Call,"June 01, 2016 10:00 AM ET",https://seekingalpha.com/article/3979198-ford-motor-f-may-2016-u-s-sales-conference-call-transcript?part=single
12,F,Q1 2016 Earnings Call,"April 28, 2016 9:00 am ET",https://seekingalpha.com/article/3969392-ford-motor-f-mark-fields-q1-2016-results-earnings-call-transcript?part=single
