,Ticker,Date,Time,Links
0,GE,Bank of America Merrill Lynch Global Industrials & EU Autos Conference,"March 21, 2017 11:25 AM ET",https://seekingalpha.com/article/4056953-general-electric-ge-presents-bank-america-merrill-lynch-global-industrials-and-eu-autos?part=single
1,GE,"


112









































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4056800-bank-america-merrill-lynch-global-industrials-and-eu-autos-conference?part=single
2,GE,"


115


















































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4055021-general-electric-ge-presents-2017-jp-morgan-aviation-transportation-and-industrials?part=single
3,GE,"


115


















































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4054749-j-p-morgan-aviation-transportation-industrials-conference?part=single
4,GE,"J.P. Morgan Aviation, Transportation and Industrials Conference Call","March 13, 2017 11:00 AM ET",https://seekingalpha.com/article/4054750-general-electric-companys-ge-ceo-richard-laxer-presents-j-p-morgan-aviation-transportation?part=single
5,GE,"J.P. Morgan Aviation, Transportation and Industrials Conference Call","March 13, 2017 11:00 AM ET",https://seekingalpha.com/article/4054697-general-electric-companys-ge-management-presents-j-p-morgan-aviation-transportation?part=single
6,GE,"


192

























































































































































































































































































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4053094-ge-power-and-renewable-energy-investor-meeting?part=single
7,GE,Q4 2016 Results Earnings Conference Call,"January 20, 2017 08:30 AM ET",https://seekingalpha.com/article/4038340-general-electrics-ge-ceo-jeff-immelt-q4-2016-results-earnings-call-transcript?part=single
8,GE,"


115


















































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4038222-general-electric-company-2016-q4-results-earnings-call-slides?part=single
9,GE,"


141
































































































































Click to enlarge







Notes: 




",,https://seekingalpha.com/article/4030780-ge-annual-outlook-investor-meeting-slides?part=single
10,GE,Annual Outlook Investor Meeting Conference Call,"December 14, 2016 15:00 ET",https://seekingalpha.com/article/4030623-general-electrics-ge-ceo-jeffrey-immelt-hosts-annual-outlook-investor-meeting-conference?part=single
11,GE,Credit Suisse Industrials Conference Call,"December 01, 2016 02:00 PM ET",https://seekingalpha.com/article/4027707-general-electric-ge-presents-credit-suisse-4th-annual-industrials-conference-transcript?part=single
12,GE,"


120

































































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4027655-credit-suisse-industrials-conference?part=single
13,GE,GE and Baker Hughes Agree to Create New Fullstream Digital Industrial Services Company,"October 31, 2016 08:30 AM ET",https://seekingalpha.com/article/4017282-baker-hughes-inc-bhi-ge-baker-hughes-agree-create-new-fullstream-digital-industrial-services?part=single
14,GE,"


131


































































































Click to enlarge







Notes: 




",,https://seekingalpha.com/article/4017106-ge-acquire-baker-hughes-m-presentation?part=single
15,GE,"


115


















































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4014832-general-electric-company-2016-q3-results-earnings-call-slides?part=single
16,GE,Q3 2016 Results Earnings Conference Call,"October 21, 2016, 08:30 AM ET",https://seekingalpha.com/article/4013898-general-electrics-ge-ceo-jeffrey-immelt-q3-2016-results-earnings-call-transcript?part=single
17,GE,Morgan Stanley Laguna Conference Call,"September 14, 2016 13:45 ET",https://seekingalpha.com/article/4006258-general-electrics-ge-management-presents-morgan-stanley-laguna-conference-transcript?part=single
18,GE,RBC Capital Markets Global Industrials Conference Call,"September 8, 2016 11:00 AM ET",https://seekingalpha.com/article/4005041-general-electric-ge-management-presents-rbc-capital-markets-global-industrials-conference?part=single
19,GE,"


115


















































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/4004596-ge-presentation-vertical-research-industrial-conference?part=single
20,GE,Additive Manufacturing Investor Meeting Conference Call,"September 06, 2016 08:30 AM ET",https://seekingalpha.com/article/4004396-general-electric-ge-additive-manufacturing-investor-meeting-conference-transcript?part=single
21,GE,Q2 2016 Earnings Call,"July 22, 2016 8:30 am ET",https://seekingalpha.com/article/3990696-general-electric-ge-jeffrey-r-immelt-q2-2016-results-earnings-call-transcript?part=single
22,GE,"


121




































































Click to enlarge







Notes: 


",,https://seekingalpha.com/article/3990651-general-electric-company-2016-q2-results-earnings-call-slides?part=single
23,GE,GE Digital Investor Meeting,"June 23, 2016 11:00 ET",https://seekingalpha.com/article/3984262-general-electrics-ge-jeffrey-bornstein-ge-digital-investor-meeting-transcript?part=single
24,GE,,,https://seekingalpha.com/article/3982114-general-electric-companys-ge-management-discusses-william-blair-growth-stock-conference?part=single
25,GE,William Blair Growth Stock Conference Call,"June 14, 2016 3:50 PM ET",https://seekingalpha.com/article/3982071-general-electric-companys-ge-management-discusses-william-blair-growth-stock-conference?part=single
26,GE,Stifel Industrials Conference,"May 16, 2016 09:00 AM ET",https://seekingalpha.com/article/3981744-general-electric-companys-management-presents-stifel-industrials-conference-transcript?part=single
27,GE,Deutsche Bank 2016 Global Industrials and Materials Summit Conference,"June 9, 2016 10:20 AM ET",https://seekingalpha.com/article/3981078-general-electrics-ge-presents-deutsche-bank-2016-global-industrials-materials-summit?part=single
28,GE,Sanford C. Bernstein Strategic Decisions Conference,"June 1, 2016, 11:00 AM ET",https://seekingalpha.com/article/3979295-general-electric-company-ge-presents-sanford-bernstein-strategic-decisions-conference?part=single
29,GE,Electrical Products Group (EPG) Conference Call,"May 18, 2016 11:30 AM ET",https://seekingalpha.com/article/3976146-general-electrics-ge-ceo-jeffrey-immelt-electrical-products-group-epg-conference-transcript?part=single
30,GE,Q1 2016 Earnings Call,"April 22, 2016 8:30 am ET",https://seekingalpha.com/article/3967396-general-electric-ge-jeffrey-r-immelt-q1-2016-results-earnings-call-transcript?part=single
31,GE,The audio will stream live while the call is active and can be replayed upon its completion.,,https://seekingalpha.com/article/3967243-general-electric-ge-q1-2016-results-earnings-call-webcast?part=single
32,GE,Bank of America Merrill Lynch Global Industrials & EU Autos Conference ,"March 16, 2016 04:00 AM ET",https://seekingalpha.com/article/3958951-general-electric-ge-presents-bank-america-merrill-lynch-global-industrials-and-eu-autos?part=single
33,GE,JPMorgan Aviation Transportation & Industrials Conference,"March 09, 2016 09:15 AM ET",https://seekingalpha.com/article/3957164-general-electric-ge-presents-jpmorgan-aviation-transportation-and-industrials-brokers?part=single
34,GE,Q4 2015 Earnings Conference Call,"January 22, 2016 08:30 AM ET",https://seekingalpha.com/article/3828546-general-electrics-ge-ceo-jeff-immelt-q4-2015-results-earnings-call-transcript?part=single
35,GE,,,https://seekingalpha.com/article/3821136-general-electric-ge-q4-2015-results-earnings-call-webcast?part=single
