,Ticker,Date,Time,Links
0,HBC,Q4 2016 Earnings Call,"February 21, 2017 2:30 am ET",https://seekingalpha.com/article/4047788-hsbc-holdings-plc-hsbc-q4-2016-results-earnings-call-transcript?part=single
1,HBC,Q3 2016 Earnings Conference Call,"November 7, 2016 2:15 AM ET",https://seekingalpha.com/article/4020924-hsbc-holdings-hsbc-stuart-thomson-gulliver-q3-2016-results-earnings-call-transcript?part=single
2,HBC,Q2 2016 Earnings Call,"August 03, 2016 2:30 am ET",https://seekingalpha.com/article/3995127-hsbc-holdings-plc-hsbc-stuart-thomson-gulliver-q2-2016-results-earnings-call-transcript?part=single
3,HBC,Q1 2016 Earnings Call,"May 03, 2016 3:15 am ET",https://seekingalpha.com/article/3970588-hsbc-holdings-plc-hsbc-stuart-thomson-gulliver-q1-2016-results-earnings-call-transcript?part=single
4,HBC,Q4 2015 Earnings Conference Call,"February 22, 2016, 03:15 ET",https://seekingalpha.com/article/3916366-hsbc-holdings-hsbc-ceo-stuart-gulliver-q4-2015-results-earnings-call-transcript?part=single
5,HBC,Q3 2015 Earnings Conference Call,"November 02, 2015 3:30 AM ET",https://seekingalpha.com/article/3632686-hsbc-holdings-hsbc-stuart-gulliver-q3-2015-results-earnings-call-transcript?part=single
6,HBC,Q2 2015 Earnings Call,"August 03, 2015 3:30 am ET",https://seekingalpha.com/article/3390375-hsbc-holdings-plc-hsbc-stuart-thomson-gulliver-on-q2-2015-results-earnings-call-transcript?part=single
7,HBC,End Time: 07:26,HSBC Holdings Plc (NYSE:HSBC),https://seekingalpha.com/article/3140506-hsbc-holdings-hsbc-ceo-stuart-gulliver-on-q1-2015-results-earnings-call-transcript?part=single
8,HBC,Q4 2014 Earnings Conference Call,"February 23, 2015 06:00 ET",https://seekingalpha.com/article/2941386-hsbc-holdings-hsbc-ceo-stuart-gulliver-on-q4-2014-results-earnings-call-transcript?part=single
9,HBC,Q3 2014 Interim Management Statement Call,"November 03, 2014 5:00 am ET",https://seekingalpha.com/article/2663625-hsbc-holdings-hsbc-q3-2014-results-interim-management-statement-call-transcript?part=single
10,HBC,Q2 2014 Earnings Conference Call,"August 4, 2014 6:00 AM ET",https://seekingalpha.com/article/2378025-hsbc-holdings-hsbc-ceo-stuart-gulliver-on-q2-2014-results-earnings-call-transcript?part=single
11,HBC,2013 Earnings Call,"February 24, 2014 6:00 am ET",https://seekingalpha.com/article/2044173-hsbc-holdings-management-discusses-q4-2013-results-earnings-call-transcript?part=single
12,HBC,Executives,"Stuart Thomson Gulliver - Group Chief Executive Officer, Chairman of Group Management Board and Executive Director",https://seekingalpha.com/article/1802252-hsbc-holdings-ceo-discusses-q3-2013-results-earnings-call-transcript?part=single
13,HBC,Executives,Douglas Jardine Flint - Group Chairman,https://seekingalpha.com/article/1604152-hsbc-holdings-management-discusses-h1-2013-results-earnings-call-transcript?part=single
14,HBC,Executives,Douglas Jardine Flint - Group Chairman,https://seekingalpha.com/article/1460211-hsbc-holdings-ceo-hosts-2013-annual-general-meeting-transcript?part=single
15,HBC,Executives,"Stuart T. Gulliver - Chairman of Group Management Board, Group Chief Executive Officer and Executive Director",https://seekingalpha.com/article/1408621-hsbc-holdings-management-discusses-q1-2013-results-interim-management-statement-call-transcript?part=single
16,HBC,Executives,Douglas Jardine Flint - Group Chairman,https://seekingalpha.com/article/1244271-hsbc-holdings-management-discusses-q4-2012-results-earnings-call-transcript?part=single
17,HBC,Executives,"Stuart T. Gulliver - Chairman of Group Management Board, Group Chief Executive Officer and Executive Director",https://seekingalpha.com/article/978521-hsbc-holdings-management-discusses-q3-2012-results-earnings-call-transcript?part=single
18,HBC,Executives,Douglas Jardine Flint - Group Chairman,https://seekingalpha.com/article/761941-hsbc-holdings-management-discuss-q2-2012-h1-2012-results-earnings-call-transcript?part=single
19,HBC,Executives,"Stuart T. Gulliver - Chairman of Group Management Board, Group Chief Executive Officer and Executive Director",https://seekingalpha.com/article/569061-hsbc-holdings-ceo-discusses-q1-2012-results-interim-management-statement-call-transcript?part=single
20,HBC,Executives,"Douglas Jardine Flint - Chairman, Chief Executive of Global Asset Management Arm and Director of Hsbc Finance Corporation",https://seekingalpha.com/article/394691-hsbc-holdings-plcs-ceo-discusses-q4-2011-and-full-year-2011-results-earnings-call-transcript?part=single
21,HBC,Executives,"Stuart T. Gulliver - Group Chief Executive Officer, Chairman of The Group Management Board, Member of Management Board and Executive Director",https://seekingalpha.com/article/306633-hsbc-holdings-plcs-ceo-discusses-q3-2011-results-earnings-call-transcript?part=single
22,HBC,Executives,Iain MaCkay - ,https://seekingalpha.com/article/283642-hsbc-holdings-plc-management-discusses-q2-2011-results-earnings-call-transcript?part=single
23,HBC, Q2 2007 Earnings Call ," July 30, 2007, 5:45 AM ET ",https://seekingalpha.com/article/42901-hsbc-holdings-plc-q2-2007-earnings-call-transcript?part=single
