,Ticker,Date,Time,Links
0,LYG,Q4 2016 Earnings Conference Call,"February 22, 2017, 04:30 AM ET",https://seekingalpha.com/article/4048664-lloyds-banking-groups-lyg-ceo-antonio-horta-osorio-q4-2016-results-earnings-call-transcript?part=single
1,LYG,Q3 2016 Earnings Conference Call,"October 26, 2016, 04:30 AM ET",https://seekingalpha.com/article/4015160-lloyds-banking-groups-lyg-ceo-antonio-horta-osorio-q3-2016-results-earnings-call-transcript?part=single
2,LYG,Q2 2016 Earnings Conference Call,"July 28, 2016, 04:30 ET",https://seekingalpha.com/article/3992800-lloyds-banking-groups-lyg-ceo-antonio-horta-osorio-q2-2016-results-earnings-call-transcript?part=single
3,LYG,Q1 2016 Earnings Conference Call,"April 28, 2016 4:30 am ET",https://seekingalpha.com/article/3969990-lloyds-banking-groups-lyg-ceo-antonio-horta-osorio-q1-2016-results-earnings-call-transcript?part=single
4,LYG,Q3 2015 Earnings Conference Call,"October 28, 2015 05:30 AM ET",https://seekingalpha.com/article/3615636-lloyds-banking-groups-lyg-ceo-antonio-horta-osorio-q3-2015-results-earnings-call-transcript?part=single
5,LYG,Q2 2015 Earnings Conference Call,"July 31, 2015 04:30 AM ET",https://seekingalpha.com/article/3392555-lloyds-banking-groups-lyg-ceo-antonio-horta-osorio-on-q2-2015-results-earnings-call-transcript?part=single
6,LYG,Q1 2015 Earnings Conference Call,"May 1, 2015 4:30 AM ET",https://seekingalpha.com/article/3130366-lloyds-banking-groups-lyg-ceo-antonio-horta-osorio-on-q1-2015-results-earnings-call-transcript?part=single
7,LYG,Q4 2014 Earnings Conference Call,"February 27, 2015 04:30 ET",https://seekingalpha.com/article/2959366-lloyds-banking-groups-lyg-ceo-antonio-horta-osorio-on-q4-2014-results-earnings-call-transcript?part=single
8,LYG,Q3 2014 Interim Management Statement Call,"October 28, 2014 5:30 am ET",https://seekingalpha.com/article/2606825-lloyds-banking-group-lyg-q3-2014-results-interim-management-statement-call-transcript?part=single
9,LYG,H1 2014 Earnings Call,"July 31, 2014 5:00 am ET",https://seekingalpha.com/article/2367465-lloyds-banking-group-lyg-h1-2014-results-earnings-call-transcript?part=single
10,LYG,Q1 2014 Interim Management Statement Call,"May 01, 2014 4:30 am ET",https://seekingalpha.com/article/2181613-lloyds-banking-group-management-discusses-q1-2014-results-interim-management-statement-call-transcript?part=single
11,LYG,2013 Fixed Income Call,"February 13, 2014 9:00 am ET",https://seekingalpha.com/article/2020241-lloyds-banking-group-management-discusses-2013-results-fixed-income-call-transcript?part=single
12,LYG,2013 Earnings Call,"February 13, 2014 4:30 am ET",https://seekingalpha.com/article/2018921-lloyds-banking-groups-ceo-discusses-q4-2013-results-earnings-call-transcript?part=single
13,LYG,Q3 2013 Interim Management Statement Call,"October 29, 2013 5:30 am ET",https://seekingalpha.com/article/1782382-lloyds-banking-group-management-discusses-q3-2013-results-interim-management-statement-call-transcript?part=single
14,LYG,H1 2013 Fixed Income Call,"August 01, 2013 9:00 am ET",https://seekingalpha.com/article/1596582-lloyds-banking-group-management-discusses-h1-2013-results-fixed-income-call-transcript?part=single
15,LYG,H1 2013 Earnings Call,"August 01, 2013 4:30 am ET",https://seekingalpha.com/article/1594152-lloyds-banking-group-management-discusses-h1-2013-results-earnings-call-transcript?part=single
16,LYG,Q1 2013 Interim Management Statement Call,"April 30, 2013  4:30 am ET",https://seekingalpha.com/article/1384181-lloyds-banking-group-management-discusses-q1-2013-results-interim-management-statement-call-transcript?part=single
17,LYG,2012 Earnings Call,"March 01, 2013  4:30 am ET",https://seekingalpha.com/article/1240021-lloyds-banking-group-management-discusses-q4-2012-results-earnings-call-transcript?part=single
18,LYG,Q3 2012 Earnings Call,"November 01, 2012  5:30 am ET",https://seekingalpha.com/article/1041491-lloyds-banking-group-management-discusses-q3-2012-results-earnings-call-transcript?part=single
19,LYG,H1 2012 Earnings Call,"July 26, 2012  4:30 am ET",https://seekingalpha.com/article/759741-lloyds-banking-group-management-discusses-h1-2012-results-earnings-call-transcript?part=single
20,LYG,2011 Earnings Call,"February 24, 2012  4:30 am ET",https://seekingalpha.com/article/391151-lloyds-banking-group-plcs-ceo-discusses-2011-results-earnings-call-transcript?part=single
21,LYG,Q2 2011 Earnings Call,"August 04, 2011  4:30 am ET",https://seekingalpha.com/article/284837-lloyds-banking-group-plc-management-discusses-q2-2011-results-earnings-call-transcript?part=single
22,LYG, Q2 2007 Earnings Call ," July 31, 2007 4:30 am ET ",https://seekingalpha.com/article/43029-lloyds-tsb-group-q2-2007-earnings-call-transcript?part=single
