,Ticker,Date,Time,Links
0,RF,Q4 2016 Results Earnings Conference Call,"January 20, 2017, 11:00 am ET",https://seekingalpha.com/article/4038412-regions-financials-rf-ceo-grayson-hall-q4-2016-results-earnings-call-transcript?part=single
1,RF,Q2 2016 Earnings Conference Call,"October 18, 2016 11:00 AM ET",https://seekingalpha.com/article/4012976-regions-financials-rf-ceo-grayson-hall-q3-2016-results-earnings-call-transcript?part=single
2,RF,Q2 2016 Earnings Conference Call,"July 19, 2016 11:00 AM ET",https://seekingalpha.com/article/3989604-regions-financials-rf-ceo-grayson-hall-q2-2016-results-earnings-call-transcript?part=single
3,RF,Q1 2016 Earnings Conference Call,"April 15, 2016 11:00 AM ET",https://seekingalpha.com/article/3961978-regions-financials-rf-ceo-grayson-hall-q1-2016-results-earnings-call-transcript?part=single
4,RF,Q4 2015 Earnings Conference Call,"January 15, 2016, 11:00 ET",https://seekingalpha.com/article/3814016-regions-financials-rf-ceo-grayson-hall-q4-2015-results-earnings-call-transcript?part=single
5,RF,Q3 2015 Earnings Call,"October 20, 2015 11:00 am ET",https://seekingalpha.com/article/3586696-regions-financial-rf-o-b-grayson-hall-jr-q3-2015-results-earnings-call-transcript?part=single
6,RF,Q2 2015 Earnings Conference Call,"July 21, 2015 11:00 ET",https://seekingalpha.com/article/3343585-regions-financials-rf-ceo-grayson-hall-discusses-q2-2015-results-earnings-call-transcript?part=single
7,RF,Q1 2015 Results Earnings Conference Call,"April 21, 2015 11:00 AM ET",https://seekingalpha.com/article/3087886-regions-financial-rf-ceo-grayson-hall-on-q1-2015-results-earnings-call-transcript?part=single
8,RF,Q4 2014 Results Earnings Conference Call,"January 20, 2015, 11:00 AM ET",https://seekingalpha.com/article/2834596-regions-financials-rf-ceo-grayson-hall-on-q4-2014-results-earnings-call-transcript?part=single
9,RF,Q3 2014 Results Earnings Conference Call,"October 21, 2014, 11:00 am ET",https://seekingalpha.com/article/2580835-regions-financials-rf-ceo-grayson-hall-on-q3-2014-results-earnings-call-transcript?part=single
10,RF,Q2 2014 Results Earnings Conference Call,"July 22, 2014 11:00 AM ET",https://seekingalpha.com/article/2331375-regions-financials-rf-ceo-grayson-hall-on-q2-2014-results-earnings-call-transcript?part=single
11,RF,Q1 2014 Earnings Conference Call,"April 22, 2014 11:00 AM ET",https://seekingalpha.com/article/2155443-regions-financials-ceo-discusses-q1-2014-results-earnings-call-transcript?part=single
12,RF,Q4 2013 Earnings Call,"January 21, 2014 11:00 am ET",https://seekingalpha.com/article/1958141-regions-financial-management-discusses-q4-2013-results-earnings-call-transcript?part=single
13,RF,2013 Goldman Sachs US Financial Services Conference Transcript,"December 10, 2013 8:40 AM ET",https://seekingalpha.com/article/1889141-regions-financials-ceo-presents-at-2013-goldman-sachs-us-financial-services-conference-transcript?part=single
14,RF,Q3 2013 Earnings Call,"October 22, 2013 11:00 am ET",https://seekingalpha.com/article/1761522-regions-financial-management-discusses-q3-2013-results-earnings-call-transcript?part=single
15,RF,Q2 2013 Earnings Call,"July 23, 2013 11:00 am ET",https://seekingalpha.com/article/1565502-regions-financial-corporation-rf-management-discusses-q2-2013-results-earnings-call-transcript?part=single
16,RF,Barclay's Americas Select Franchise Conference,"May 21, 2013  5:00 am ET",https://seekingalpha.com/article/1451521-regions-financials-ceo-presents-at-barclays-americas-select-franchise-conference-transcript?part=single
17,RF,Annual Shareholder Meeting,"May 16, 2013  3:00 pm ET",https://seekingalpha.com/article/1443741-regions-financials-ceo-hosts-annual-shareholder-meeting-transcript?part=single
18,RF,Q1 2013 Earnings Call,"April 23, 2013 11:00 am ET",https://seekingalpha.com/article/1363871-regions-financial-management-discusses-q1-2013-results-earnings-call-transcript?part=single
19,RF,Citigroup US Financial Services Conference,"March 06, 2013  9:50 am ET",https://seekingalpha.com/article/1252721-regions-financials-management-presents-at-citigroup-us-financial-services-conference-transcript?part=single
20,RF,Q4 2012 Earnings Call,"January 22, 2013 11:00 am ET",https://seekingalpha.com/article/1125271-regions-financial-management-discusses-q4-2012-results-earnings-call-transcript?part=single
21,RF,Q3 2012 Earnings Call,"October 23, 2012  8:00 am ET",https://seekingalpha.com/article/942371-regions-financial-management-discusses-q3-2012-results-earnings-call-transcript?part=single
22,RF,Q2 2012 Earnings Call,"July 24, 2012 11:00 am ET",https://seekingalpha.com/article/744541-regions-financial-management-discusses-q2-2012-results-earnings-call-transcript?part=single
23,RF,Q1 2012 Earnings Call,"April 24, 2012 11:00 am ET",https://seekingalpha.com/article/523541-regions-financials-ceo-discusses-q1-2012-results-earnings-call-transcript?part=single
24,RF,Q4 2011 Earnings Call,"January 24, 2012 11:00 am ET",https://seekingalpha.com/article/321761-regions-financials-ceo-discusses-q4-2011-results-earnings-call-transcript?part=single
25,RF,Q3 2011 Earnings Call,"October 25, 2011 11:00 am ET",https://seekingalpha.com/article/301993-regions-financials-ceo-discusses-q3-2011-results-earnings-call-transcript?part=single
26,RF,Q2 2011 Earnings Call,"July 26, 2011 11:00 am ET",https://seekingalpha.com/article/281890-regions-financials-ceo-discusses-q2-2011-results-earnings-call-transcript?part=single
27,RF,Q1 2011 Earnings Call,"April 19, 2011 11:00 am ET",https://seekingalpha.com/article/264350-regions-financials-ceo-discusses-q1-2011-results-earnings-call-transcript?part=single
28,RF,Q4 2010 Earnings Call,"January 25, 2011 11:00 am ET",https://seekingalpha.com/article/248588-regions-financials-ceo-discusses-q4-2010-results-earnings-call-transcript?part=single
