,Ticker,Date,Time,Links
0,RIO,Q4 2016 Earnings Conference Call,"February 07, 2017, 03:30 ET",https://seekingalpha.com/article/4043797-rio-tintos-rio-ceo-jean-sebastien-jacques-q4-2016-results-earnings-call-transcript?part=single
1,RIO,Q4 2015 Earnings Conference Call,"February 11, 2016 03:30 AM ET",https://seekingalpha.com/article/3891816-rio-tintos-rio-ceo-sam-walsh-q4-2015-results-earnings-call-transcript?part=single
2,RIO,Q2 2015 Earnings Conference Call,"August 06, 2015 05:00 AM ET",https://seekingalpha.com/article/3419896-rio-tintos-rio-ceo-sam-walsh-on-q2-2015-results-earnings-call-transcript?part=single
3,RIO,Q2 2014 Earnings Conference Call,"August 07, 2014 05:00 AM ET",https://seekingalpha.com/article/2425555-rio-tintos-rio-ceo-sam-walsh-on-q2-2014-results-earnings-call-transcript?part=single
4,RIO,Q2 2013 Earnings Call,"August 8, 2013 5:00 a.m. ET",https://seekingalpha.com/article/1617782-rio-tintos-ceo-discusses-q2-2013-results-earnings-call-transcript?part=single
5,RIO,Q4 2012 Earnings Call,"February 14, 2013 03:30 AM ET",https://seekingalpha.com/article/1186831-rio-tinto-plc-adr-ceo-discusses-q4-2012-results-earnings-call-transcript?part=single
6,RIO,Interim 2012 Earnings Call,"August 08, 2012 12:00 pm ET",https://seekingalpha.com/article/792071-rio-tintos-ceo-discusses-interim-2012-results-earnings-call-transcript?part=single
7,RIO,2011 Earnings Call,"February 09, 2012  3:30 am ET",https://seekingalpha.com/article/379711-rio-tinto-plcs-ceo-discusses-2011-results-earnings-call-transcript?part=single
8,RIO,Q2 2011 Earnings Call,"August 04, 2011  4:30 am ET",https://seekingalpha.com/article/284940-rio-tinto-plcs-ceo-discusses-q2-2011-results-earnings-call-transcript?part=single
9,RIO,Half Year 2006 Earnings Results Conference Call,August 3rd 2006  11.00 am EST,https://seekingalpha.com/article/14959-rio-tinto-half-year-2006-earnings-results-conference-call-transcript-rtp?part=single
10,RIO, Q4 2005 Earnings Conference Call ," February 2nd 2006, 5:00 AM.",https://seekingalpha.com/article/6807-rio-tinto-q4-2005-earnings-conference-call-transcript-rtp?part=single
