,Ticker,Date,Time,Links
0,XRX,Q4 2016 Results Earnings Conference Call,"January 31, 2017 10:00 a.m. ET",https://seekingalpha.com/article/4041208-xerox-corporations-xrx-ceo-jeff-jacobson-q4-2016-results-earnings-call-transcript?part=single
1,XRX,Q3 2016 Earnings Conference Call,"October 28, 2016 10:00 AM ET",https://seekingalpha.com/article/4016627-xerox-corporations-xrx-ceo-ursula-burns-q3-2016-results-earnings-call-transcript?part=single
2,XRX,Q2 2016 Earnings Conference Call,"July 29, 2016 10:00 AM ET",https://seekingalpha.com/article/3993363-xeroxs-xrx-ceo-ursula-burns-q2-2016-results-earnings-call-transcript?part=single
3,XRX,Q1 2016 Earnings Call,"April 25, 2016 10:00 am ET",https://seekingalpha.com/article/3967880-xerox-xrx-ursula-m-burns-q1-2016-results-earnings-call-transcript?part=single
4,XRX,Q4 2015 Earnings Conference Call,"January 29, 2016 10:00 ET",https://seekingalpha.com/article/3848516-xeroxs-xrx-ceo-ursula-burns-q4-2015-results-earnings-call-transcript?part=single
5,XRX,Q3 2015 Earnings Conference Call,"October 26, 2015 10:00 ET",https://seekingalpha.com/article/3603936-xeroxs-xrx-ceo-ursula-burns-q3-2015-results-earnings-call-transcript?part=single
6,XRX,Q2 2015 Earnings Conference Call,"July 24, 2015, 10:00 AM ET",https://seekingalpha.com/article/3355505-xeroxs-xrx-ceo-ursula-burns-on-q2-2015-results-earnings-call-transcript?part=single
7,XRX,Q1 2015 Earnings Call,"April 24, 2015 10:00 am ET",https://seekingalpha.com/article/3100766-xerox-xrx-ursula-m-burns-on-q1-2015-results-earnings-call-transcript?part=single
8,XRX,Q4 2014 Earnings Conference Call,"January 30, 2015 10:00 ET",https://seekingalpha.com/article/2869986-xerox-corps-xrx-ceo-ursula-burns-on-q4-2014-results-earnings-call-transcript?part=single
9,XRX,Q3 2014 Earnings Conference Call,"October 22, 2014 10:00 am ET",https://seekingalpha.com/article/2585425-xeroxs-xrx-ceo-ursula-burns-on-q3-2014-results-earnings-call-transcript?part=single
10,XRX,Q2 2014 Results Earnings Conference Call,"July 25, 2014 10:00 AM ET",https://seekingalpha.com/article/2344205-xeroxs-xrx-ceo-ursula-burns-on-q2-2014-results-earnings-call-transcript?part=single
11,XRX,Q1 2014 Earnings Conference Call,"April 22, 2014 10:00 ET",https://seekingalpha.com/article/2154923-xeroxs-ceo-discusses-q1-2014-results-earnings-call-transcript?part=single
12,XRX,Q4 2013 Earnings Call,"January 24, 2014 10:00 am ET",https://seekingalpha.com/article/1966801-xerox-management-discusses-q4-2013-results-earnings-call-transcript?part=single
13,XRX,"BMO Technology, Media & Entertainment Conference","December 10, 2013 2:45 PM ET",https://seekingalpha.com/article/1892191-xerox-corporations-management-presents-at-bmo-technology-media-and-entertainment-conference-transcript?part=single
14,XRX,Q3 2013 Earnings Call,"October 24, 2013 10:00 am ET",https://seekingalpha.com/article/1769372-xerox-management-discusses-q3-2013-results-earnings-call-transcript?part=single
15,XRX,Deutsche Bank dbAccess Technology Conference ,"September 11, 2013 05:40 PM ET",https://seekingalpha.com/article/1689152-xeroxs-management-discusses-at-deutsche-bank-dbaccess-technology-conference-transcript?part=single
16,XRX,Special Presentation Conference Call,"September 3, 2013 9:45 am ET",https://seekingalpha.com/article/1669892-xeroxs-ceo-presents-at-citi-2013-global-technology-conference-special-call-transcript?part=single
17,XRX,Q2 2013 Earnings Call,"July 25, 2013 10:00 am ET",https://seekingalpha.com/article/1572022-xerox-corporation-xrx-management-discusses-q2-2013-results-earnings-call-transcript?part=single
18,XRX,"Barclays Global Technology, Media and Telecommunications Conference","May 23, 2013  9:00 am ET",https://seekingalpha.com/article/1457381-xeroxs-management-presents-at-barclays-global-technology-media-and-telecommunications-conference-transcript?part=single
19,XRX,Q1 2013 Earnings Call,"April 23, 2013 10:00 am ET",https://seekingalpha.com/article/1362211-xerox-management-discusses-q1-2013-results-earnings-call-transcript?part=single
20,XRX,"March 07, 2013 12:00 pm ET",Executives,https://seekingalpha.com/article/1257971-xeroxs-management-hosts-healthcare-services-analyst-day-transcript?part=single
21,XRX,Q4 2012 Earnings Call,"January 24, 2013 10:00 am ET",https://seekingalpha.com/article/1131251-xerox-management-discusses-q4-2012-results-earnings-call-transcript?part=single
22,XRX,Q3 2012 Earnings Call,"October 23, 2012 10:00 am ET",https://seekingalpha.com/article/943311-xerox-management-discusses-q3-2012-results-earnings-call-transcript?part=single
23,XRX,Q2 2012 Earnings Call,"July 20, 2012 10:00 am ET",https://seekingalpha.com/article/736481-xerox-management-discusses-q2-2012-results-earnings-call-transcript?part=single
24,XRX,Q1 2012 Earnings Call,"April 23, 2012 10:00 am ET",https://seekingalpha.com/article/518921-xeroxs-ceo-discusses-q1-2012-results-earnings-call-transcript?part=single
25,XRX,Q4 2011 Earnings Call,"January 25, 2012 10:00 am ET",https://seekingalpha.com/article/322044-xeroxs-ceo-discusses-q4-2011-results-earnings-call-transcript?part=single
26,XRX,Q3 2011 Earnings Call,"October 25, 2011 10:00 am ET",https://seekingalpha.com/article/301992-xeroxs-ceo-discusses-q3-2011-results-earnings-call-transcript?part=single
27,XRX,Q2 2011 Earnings Call,"July 22, 2011 10:00 am ET",https://seekingalpha.com/article/281241-xeroxs-ceo-discusses-q2-2011-results-earnings-call-transcript?part=single
28,XRX,Q1 2011 Earnings Call,"April 21, 2011 10:00 am ET",https://seekingalpha.com/article/264895-xeroxs-ceo-discusses-q1-2011-results-earnings-call-transcript?part=single
