index,symbol,nr,timestamp,open,high,low,close,volume,release_script
10798,AAPL,10799,10/18/2011 14:00,421.02,421.15,420.76,420.94,53300,10/18/2011 17:00
10799,AAPL,10800,10/18/2011 14:01,420.88,421.12,420.85,420.86,49400,10/18/2011 17:00
10800,AAPL,10801,10/18/2011 14:02,420.868,421.1,420.85,421.08,53700,10/18/2011 17:00
10801,AAPL,10802,10/18/2011 14:03,421.075,421.075,420.95,420.96,19600,10/18/2011 17:00
10802,AAPL,10803,10/18/2011 14:04,420.976,421.23,420.976,421.0696,47800,10/18/2011 17:00
10803,AAPL,10804,10/18/2011 14:05,421.06,421.4,421,421.28,"61400,",10/18/2011 17:00
10804,AAPL,10805,10/18/2011 14:06,421.33,421.34,420.86,420.89,52100,10/18/2011 17:00
10805,AAPL,10806,10/18/2011 14:07,420.9,421.104,420.86,420.9,23400,10/18/2011 17:00
10806,AAPL,10807,10/18/2011 14:08,420.9,420.94,420.5,420.58,44000,10/18/2011 17:00
10807,AAPL,10808,10/18/2011 14:09,420.54,420.82,420.42,420.6735,32400,10/18/2011 17:00
10808,AAPL,10809,10/18/2011 14:10,420.7347,421.09,420.67,420.91,48800,10/18/2011 17:00
10809,AAPL,10810,10/18/2011 14:11,421.03,421.18,420.91,421.09,56700,10/18/2011 17:00
10810,AAPL,10811,10/18/2011 14:12,420.9,421.09,420.84,420.94,52600,10/18/2011 17:00
10811,AAPL,10812,10/18/2011 14:13,420.94,421.09,420.936,420.9876,43700,10/18/2011 17:00
10812,AAPL,10813,10/18/2011 14:14,420.98,421.14,420.92,421.07,24800,10/18/2011 17:00
10813,AAPL,10814,10/18/2011 14:15,420.95,421.03,420.8053,420.9,21500,10/18/2011 17:00
10814,AAPL,10815,10/18/2011 14:16,420.9,420.9,420.5,420.51,46200,10/18/2011 17:00
10815,AAPL,10816,10/18/2011 14:17,420.521,420.6,420.44,420.4501,26900,10/18/2011 17:00
10816,AAPL,10817,10/18/2011 14:18,420.46,420.63,420.41,420.516,19000,10/18/2011 17:00
10817,AAPL,10818,10/18/2011 14:19,420.51,420.7036,420.46,420.7036,22300,10/18/2011 17:00
10818,AAPL,10819,10/18/2011 14:20,420.65,420.78,420.56,420.77,20300,10/18/2011 17:00
10819,AAPL,10820,10/18/2011 14:21,420.78,420.826,420.57,420.57,14900,10/18/2011 17:00
10820,AAPL,10821,10/18/2011 14:22,420.62,420.83,420.6,420.75,20300,10/18/2011 17:00
10821,AAPL,10822,10/18/2011 14:23,420.8,420.8,420.49,420.57,37800,10/18/2011 17:00
10822,AAPL,10823,10/18/2011 14:24,420.58,421.04,420.58,420.99,57300,10/18/2011 17:00
10823,AAPL,10824,10/18/2011 14:25,421,421.13,420.81,421.092,"46600,",10/18/2011 17:00
10824,AAPL,10825,10/18/2011 14:26,421.1,421.13,420.901,420.9788,40100,10/18/2011 17:00
10825,AAPL,10826,10/18/2011 14:27,420.96,421.11,420.9,421.08,31400,10/18/2011 17:00
10826,AAPL,10827,10/18/2011 14:28,421.11,421.27,421.051,421.162,35400,10/18/2011 17:00
10827,AAPL,10828,10/18/2011 14:29,421.13,421.21,421.05,421.165,14200,10/18/2011 17:00
10828,AAPL,10829,10/18/2011 14:30,421.156,421.35,421.12,421.31,52100,10/18/2011 17:00
10829,AAPL,10830,10/18/2011 14:31,421.33,421.3399,421.23,421.32,13900,10/18/2011 17:00
10830,AAPL,10831,10/18/2011 14:32,421.33,421.37,421.25,421.37,23600,10/18/2011 17:00
10831,AAPL,10832,10/18/2011 14:33,421.37,421.5,421.3,421.45,50300,10/18/2011 17:00
10832,AAPL,10833,10/18/2011 14:34,421.46,421.6,421.33,421.51,52800,10/18/2011 17:00
10833,AAPL,10834,10/18/2011 14:35,421.5,421.57,421.26,421.395,54700,10/18/2011 17:00
10834,AAPL,10835,10/18/2011 14:36,421.42,421.42,421.07,421.18,33800,10/18/2011 17:00
10835,AAPL,10836,10/18/2011 14:37,421.185,421.274,420.97,421.19,58000,10/18/2011 17:00
10836,AAPL,10837,10/18/2011 14:38,421.19,421.37,421.11,421.302,49800,10/18/2011 17:00
10837,AAPL,10838,10/18/2011 14:39,421.29,421.31,421.02,421.02,28600,10/18/2011 17:00
10838,AAPL,10839,10/18/2011 14:40,421.04,421.13,420.9,421.09,54700,10/18/2011 17:00
10839,AAPL,10840,10/18/2011 14:41,421,421.07,420.62,420.6801,"47000,",10/18/2011 17:00
10840,AAPL,10841,10/18/2011 14:42,420.77,420.94,420.6,420.61,31300,10/18/2011 17:00
10841,AAPL,10842,10/18/2011 14:43,420.67,420.71,420.44,420.61,30400,10/18/2011 17:00
10842,AAPL,10843,10/18/2011 14:44,420.6,420.7399,420.42,420.42,32000,10/18/2011 17:00
10843,AAPL,10844,10/18/2011 14:45,420.4,420.88,420.4,420.88,48200,10/18/2011 17:00
10844,AAPL,10845,10/18/2011 14:46,420.84,421,420.7512,420.95,"42300,",10/18/2011 17:00
10845,AAPL,10846,10/18/2011 14:47,420.96,421.08,420.88,420.971,35700,10/18/2011 17:00
10846,AAPL,10847,10/18/2011 14:48,421.02,421.026,420.65,420.65,34100,10/18/2011 17:00
10847,AAPL,10848,10/18/2011 14:49,420.67,420.84,420.67,420.73,14400,10/18/2011 17:00
10848,AAPL,10849,10/18/2011 14:50,420.74,420.863,420.6312,420.6312,14500,10/18/2011 17:00
10849,AAPL,10850,10/18/2011 14:51,420.67,420.98,420.66,420.87,23100,10/18/2011 17:00
10850,AAPL,10851,10/18/2011 14:52,420.88,421,420.72,420.98,"29800,",10/18/2011 17:00
10851,AAPL,10852,10/18/2011 14:53,420.91,421.06,420.6,420.75,48200,10/18/2011 17:00
10852,AAPL,10853,10/18/2011 14:54,420.7832,420.819,420.51,420.658,31400,10/18/2011 17:00
10853,AAPL,10854,10/18/2011 14:55,420.65,420.74,420.6,420.71,27300,10/18/2011 17:00
10854,AAPL,10855,10/18/2011 14:56,420.63,420.9,420.6,420.77,41700,10/18/2011 17:00
10855,AAPL,10856,10/18/2011 14:57,420.79,420.978,420.7,420.71,24000,10/18/2011 17:00
10856,AAPL,10857,10/18/2011 14:58,420.74,420.86,420.54,420.67,31800,10/18/2011 17:00
10857,AAPL,10858,10/18/2011 14:59,420.7012,420.99,420.6,420.71,31700,10/18/2011 17:00
10858,AAPL,10859,10/18/2011 15:00,420.731,421.21,420.67,421.21,52700,10/18/2011 17:00
10859,AAPL,10860,10/18/2011 15:01,421.2,421.43,421.11,421.27,102100,10/18/2011 17:00
10860,AAPL,10861,10/18/2011 15:02,421.25,421.48,421.217,421.47,57800,10/18/2011 17:00
10861,AAPL,10862,10/18/2011 15:03,421.47,421.74,421.39,421.636,67100,10/18/2011 17:00
10862,AAPL,10863,10/18/2011 15:04,421.6,421.93,421.56,421.9,95000,10/18/2011 17:00
10863,AAPL,10864,10/18/2011 15:05,421.93,422,421.75,422,"81000,,",10/18/2011 17:00
10864,AAPL,10865,10/18/2011 15:06,421.995,422.49,421.95,422.46,174300,10/18/2011 17:00
10865,AAPL,10866,10/18/2011 15:07,422.42,422.75,422.29,422.68,98600,10/18/2011 17:00
10866,AAPL,10867,10/18/2011 15:08,422.734,422.79,422.33,422.56,112400,10/18/2011 17:00
10867,AAPL,10868,10/18/2011 15:09,422.56,422.72,422.3,422.7,90000,10/18/2011 17:00
10868,AAPL,10869,10/18/2011 15:10,422.6988,423.17,422.6,423.16,158500,10/18/2011 17:00
10869,AAPL,10870,10/18/2011 15:11,423.16,423.88,423.01,423.817,139300,10/18/2011 17:00
10870,AAPL,10871,10/18/2011 15:12,423.81,424.57,423.74,424.45,203800,10/18/2011 17:00
10871,AAPL,10872,10/18/2011 15:13,424.448,424.75,424.32,424.5801,139500,10/18/2011 17:00
10872,AAPL,10873,10/18/2011 15:14,424.55,424.62,423.7,423.74,189100,10/18/2011 17:00
10873,AAPL,10874,10/18/2011 15:15,423.81,424.21,423.722,423.87,135200,10/18/2011 17:00
10874,AAPL,10875,10/18/2011 15:16,423.84,424.36,423.75,424.23,88500,10/18/2011 17:00
10875,AAPL,10876,10/18/2011 15:17,424.17,424.8067,424,424.67,"140800,",10/18/2011 17:00
10876,AAPL,10877,10/18/2011 15:18,424.561,424.75,423.881,424,"120900,",10/18/2011 17:00
10877,AAPL,10878,10/18/2011 15:19,423.94,424.2,423.33,423.6088,159100,10/18/2011 17:00
10878,AAPL,10879,10/18/2011 15:20,423.5,424.15,423.5,423.71,93200,10/18/2011 17:00
10879,AAPL,10880,10/18/2011 15:21,423.78,424.46,423.71,424.45,132200,10/18/2011 17:00
10880,AAPL,10881,10/18/2011 15:22,424.4025,424.48,424.12,424.239,98300,10/18/2011 17:00
10881,AAPL,10882,10/18/2011 15:23,424.21,424.4,424.12,424.29,91200,10/18/2011 17:00
10882,AAPL,10883,10/18/2011 15:24,424.368,424.4,423.89,424.099,104700,10/18/2011 17:00
10883,AAPL,10884,10/18/2011 15:25,424.036,424.29,423.83,423.901,97600,10/18/2011 17:00
10884,AAPL,10885,10/18/2011 15:26,423.9,424.26,423.8,423.995,96900,10/18/2011 17:00
10885,AAPL,10886,10/18/2011 15:27,424.06,424.46,423.9412,424.23,101900,10/18/2011 17:00
10886,AAPL,10887,10/18/2011 15:28,424.18,424.3,423.86,424.13,108100,10/18/2011 17:00
10887,AAPL,10888,10/18/2011 15:29,423.97,424.2,423.5,423.5,115100,10/18/2011 17:00
10888,AAPL,10889,10/18/2011 15:30,423.5,423.78,423.41,423.5236,122600,10/18/2011 17:00
10889,AAPL,10890,10/18/2011 15:31,423.62,423.78,423,423.53,"105000,",10/18/2011 17:00
10890,AAPL,10891,10/18/2011 15:32,423.45,423.6,423,423.042,"97700,",10/18/2011 17:00
10891,AAPL,10892,10/18/2011 15:33,423.044,423.1,422,422.22,"170400,",10/18/2011 17:00
10892,AAPL,10893,10/18/2011 15:34,422.22,422.31,421.56,421.82,136600,10/18/2011 17:00
10893,AAPL,10894,10/18/2011 15:35,421.85,422.889,421.804,422.58,140400,10/18/2011 17:00
10894,AAPL,10895,10/18/2011 15:36,422.52,422.88,422.16,422.6856,138100,10/18/2011 17:00
10895,AAPL,10896,10/18/2011 15:37,422.74,422.83,422.02,422.1801,100000,10/18/2011 17:00
10896,AAPL,10897,10/18/2011 15:38,422.19,422.43,422,422.08,"81000,",10/18/2011 17:00
10897,AAPL,10898,10/18/2011 15:39,422.08,422.27,421.08,421.65,163900,10/18/2011 17:00
10898,AAPL,10899,10/18/2011 15:40,421.63,421.85,421.17,421.21,88600,10/18/2011 17:00
10899,AAPL,10900,10/18/2011 15:41,421.15,421.234,420.68,421.1,141900,10/18/2011 17:00
10900,AAPL,10901,10/18/2011 15:42,421.13,421.21,420.7,420.82,117800,10/18/2011 17:00
10901,AAPL,10902,10/18/2011 15:43,420.849,421.41,420.65,421.34,116800,10/18/2011 17:00
10902,AAPL,10903,10/18/2011 15:44,421.42,421.93,421.3,421.856,137800,10/18/2011 17:00
10903,AAPL,10904,10/18/2011 15:45,421.95,422,421.61,421.95,"121500,",10/18/2011 17:00
10904,AAPL,10905,10/18/2011 15:46,421.98,422.369,421.73,422.32,107700,10/18/2011 17:00
10905,AAPL,10906,10/18/2011 15:47,422.3252,422.56,421.8,421.95,139600,10/18/2011 17:00
10906,AAPL,10907,10/18/2011 15:48,421.96,422.35,421.86,422.33,64900,10/18/2011 17:00
10907,AAPL,10908,10/18/2011 15:49,422.302,422.606,422.14,422.37,102700,10/18/2011 17:00
10908,AAPL,10909,10/18/2011 15:50,422.38,422.6,422,422.32,"183400,",10/18/2011 17:00
10909,AAPL,10910,10/18/2011 15:51,422.3,422.3788,422.02,422.22,111000,10/18/2011 17:00
10910,AAPL,10911,10/18/2011 15:52,422.302,422.58,422.16,422.53,130500,10/18/2011 17:00
10911,AAPL,10912,10/18/2011 15:53,422.53,422.75,422.39,422.68,128300,10/18/2011 17:00
10912,AAPL,10913,10/18/2011 15:54,422.67,422.76,422.43,422.73,143000,10/18/2011 17:00
10913,AAPL,10914,10/18/2011 15:55,422.71,422.74,422.35,422.5235,161000,10/18/2011 17:00
10914,AAPL,10915,10/18/2011 15:56,422.45,422.7,422,422.44,"277900,",10/18/2011 17:00
10915,AAPL,10916,10/18/2011 15:57,422.27,422.57,422.14,422.18,224800,10/18/2011 17:00
10916,AAPL,10917,10/18/2011 15:58,422.205,422.33,421.77,422.13,194300,10/18/2011 17:00
10917,AAPL,10918,10/18/2011 15:59,422.13,422.33,421.28,421.88,323100,10/18/2011 17:00
10918,AAPL,10919,10/18/2011 16:00,421.56,421.56,421.56,421.56,100,10/18/2011 17:00
10919,AAPL,10920,10/19/2011 9:30,401.35,401.45,399.51,401.26,2405000,10/18/2011 17:00
10920,AAPL,10921,10/19/2011 9:31,401.86,403.51,401.86,403.3379,601200,10/18/2011 17:00
10921,AAPL,10922,10/19/2011 9:32,403.3405,404.5,402.54,403.78,416300,10/18/2011 17:00
10922,AAPL,10923,10/19/2011 9:33,403.84,404.35,403.32,403.83,310500,10/18/2011 17:00
10923,AAPL,10924,10/19/2011 9:34,403.88,404.46,403.81,403.965,365800,10/18/2011 17:00
10924,AAPL,10925,10/19/2011 9:35,404.011,404.13,402.62,402.85,301900,10/18/2011 17:00
10925,AAPL,10926,10/19/2011 9:36,402.9,403.24,402.29,403.03,236400,10/18/2011 17:00
10926,AAPL,10927,10/19/2011 9:37,402.96,403.68,402.62,403.34,248900,10/18/2011 17:00
10927,AAPL,10928,10/19/2011 9:38,403.38,403.67,403.1701,403.67,167600,10/18/2011 17:00
10928,AAPL,10929,10/19/2011 9:39,403.625,404.11,403.41,403.75,215900,10/18/2011 17:00
10929,AAPL,10930,10/19/2011 9:40,403.7575,403.849,402.83,403.06,249300,10/18/2011 17:00
10930,AAPL,10931,10/19/2011 9:41,403.02,403.07,402.32,402.8,238300,10/18/2011 17:00
10931,AAPL,10932,10/19/2011 9:42,402.71,402.8066,402.11,402.16,194700,10/18/2011 17:00
10932,AAPL,10933,10/19/2011 9:43,402.16,402.22,402.02,402.19,222700,10/18/2011 17:00
10933,AAPL,10934,10/19/2011 9:44,402.19,402.5,402.1,402.3727,185500,10/18/2011 17:00
10934,AAPL,10935,10/19/2011 9:45,402.33,402.43,401.6,401.63,408800,10/18/2011 17:00
10935,AAPL,10936,10/19/2011 9:46,401.61,401.812,400.4,400.61,230700,10/18/2011 17:00
10936,AAPL,10937,10/19/2011 9:47,400.615,400.8,400.08,400.13,231800,10/18/2011 17:00
10937,AAPL,10938,10/19/2011 9:48,400.12,400.35,399.27,399.27,408300,10/18/2011 17:00
10938,AAPL,10939,10/19/2011 9:49,399.27,399.89,398.99,399.18,395400,10/18/2011 17:00
10939,AAPL,10940,10/19/2011 9:50,399.07,400.4,399.04,400.3588,293600,10/18/2011 17:00
10940,AAPL,10941,10/19/2011 9:51,400.35,400.61,399.83,399.929,198600,10/18/2011 17:00
10941,AAPL,10942,10/19/2011 9:52,399.87,400.44,399.75,400.3935,150900,10/18/2011 17:00
10942,AAPL,10943,10/19/2011 9:53,400.355,401.4,400.24,401.27,187500,10/18/2011 17:00
10943,AAPL,10944,10/19/2011 9:54,401.23,401.39,400.37,400.77,139200,10/18/2011 17:00
10944,AAPL,10945,10/19/2011 9:55,400.72,400.82,399.88,400.001,197100,10/18/2011 17:00
