index,symbol,nr,timestamp,open,high,low,close,volume,release_script
15470,AMAT,15471,11/16/2011 14:00,12.72,12.73,12.715,12.73,64800,11/16/2011 16:30
15471,AMAT,15472,11/16/2011 14:01,12.72,12.73,12.72,12.725,2800,11/16/2011 16:30
15472,AMAT,15473,11/16/2011 14:02,12.729,12.7292,12.71,12.72,17100,11/16/2011 16:30
15473,AMAT,15474,11/16/2011 14:03,12.72,12.74,12.72,12.74,15300,11/16/2011 16:30
15474,AMAT,15475,11/16/2011 14:04,12.74,12.75,12.73,12.74,55000,11/16/2011 16:30
15475,AMAT,15476,11/16/2011 14:05,12.7399,12.74,12.73,12.73,9800,11/16/2011 16:30
15476,AMAT,15477,11/16/2011 14:06,12.74,12.74,12.72,12.725,56000,11/16/2011 16:30
15477,AMAT,15478,11/16/2011 14:07,12.72,12.73,12.71,12.73,63300,11/16/2011 16:30
15478,AMAT,15479,11/16/2011 14:08,12.73,12.74,12.71,12.71,111400,11/16/2011 16:30
15479,AMAT,15480,11/16/2011 14:09,12.71,12.72,12.695,12.7,73800,11/16/2011 16:30
15480,AMAT,15481,11/16/2011 14:10,12.69,12.7,12.69,12.695,13900,11/16/2011 16:30
15481,AMAT,15482,11/16/2011 14:11,12.69,12.7,12.68,12.695,28500,11/16/2011 16:30
15482,AMAT,15483,11/16/2011 14:12,12.69,12.7,12.675,12.675,18300,11/16/2011 16:30
15483,AMAT,15484,11/16/2011 14:13,12.67,12.6783,12.665,12.678,35200,11/16/2011 16:30
15484,AMAT,15485,11/16/2011 14:14,12.67,12.68,12.66,12.662,30000,11/16/2011 16:30
15485,AMAT,15486,11/16/2011 14:15,12.66,12.67,12.645,12.655,48200,11/16/2011 16:30
15486,AMAT,15487,11/16/2011 14:16,12.65,12.66,12.65,12.65,7300,11/16/2011 16:30
15487,AMAT,15488,11/16/2011 14:17,12.655,12.655,12.63,12.649,35600,11/16/2011 16:30
15488,AMAT,15489,11/16/2011 14:18,12.641,12.67,12.64,12.67,30100,11/16/2011 16:30
15489,AMAT,15490,11/16/2011 14:19,12.66,12.66,12.66,12.66,1600,11/16/2011 16:30
15490,AMAT,15491,11/16/2011 14:20,12.66,12.68,12.66,12.68,14900,11/16/2011 16:30
15491,AMAT,15492,11/16/2011 14:21,12.68,12.6899,12.67,12.687,24800,11/16/2011 16:30
15492,AMAT,15493,11/16/2011 14:22,12.69,12.7,12.68,12.7,49100,11/16/2011 16:30
15493,AMAT,15494,11/16/2011 14:23,12.695,12.705,12.69,12.7,53900,11/16/2011 16:30
15494,AMAT,15495,11/16/2011 14:24,12.7,12.71,12.69,12.69,14600,11/16/2011 16:30
15495,AMAT,15496,11/16/2011 14:25,12.695,12.7,12.69,12.69,2300,11/16/2011 16:30
15496,AMAT,15497,11/16/2011 14:26,12.695,12.7,12.69,12.7,3000,11/16/2011 16:30
15497,AMAT,15498,11/16/2011 14:27,12.7,12.7,12.69,12.695,3600,11/16/2011 16:30
15498,AMAT,15499,11/16/2011 14:28,12.69,12.7,12.69,12.69,3800,11/16/2011 16:30
15499,AMAT,15500,11/16/2011 14:29,12.6905,12.7,12.68,12.69,28200,11/16/2011 16:30
15500,AMAT,15501,11/16/2011 14:30,12.68,12.7,12.68,12.7,33600,11/16/2011 16:30
15501,AMAT,15502,11/16/2011 14:31,12.694,12.7,12.68,12.682,22300,11/16/2011 16:30
15502,AMAT,15503,11/16/2011 14:32,12.685,12.69,12.68,12.685,9200,11/16/2011 16:30
15503,AMAT,15504,11/16/2011 14:33,12.68,12.685,12.67,12.67,34100,11/16/2011 16:30
15504,AMAT,15505,11/16/2011 14:34,12.67,12.68,12.67,12.675,11900,11/16/2011 16:30
15505,AMAT,15506,11/16/2011 14:35,12.68,12.69,12.675,12.69,33300,11/16/2011 16:30
15506,AMAT,15507,11/16/2011 14:36,12.7,12.705,12.69,12.7,22500,11/16/2011 16:30
15507,AMAT,15508,11/16/2011 14:37,12.7,12.729,12.7,12.71,58400,11/16/2011 16:30
