index,symbol,nr,timestamp,open,high,low,close,volume,release_script
13540,AMD,13541,10/27/2011 14:00,5.47,5.47,5.46,5.46,11300,10/27/2011 17:00
13541,AMD,13542,10/27/2011 14:01,5.465,5.47,5.46,5.47,19000,10/27/2011 17:00
13542,AMD,13543,10/27/2011 14:02,5.46,5.47,5.46,5.47,16500,10/27/2011 17:00
13543,AMD,13544,10/27/2011 14:03,5.46,5.49,5.46,5.4895,147300,10/27/2011 17:00
13544,AMD,13545,10/27/2011 14:04,5.48,5.49,5.48,5.48,34200,10/27/2011 17:00
13545,AMD,13546,10/27/2011 14:05,5.48,5.49,5.48,5.48,142200,10/27/2011 17:00
13546,AMD,13547,10/27/2011 14:06,5.48,5.49,5.48,5.485,43700,10/27/2011 17:00
13547,AMD,13548,10/27/2011 14:07,5.48,5.49,5.48,5.485,31800,10/27/2011 17:00
13548,AMD,13549,10/27/2011 14:08,5.485,5.49,5.48,5.48,117700,10/27/2011 17:00
13549,AMD,13550,10/27/2011 14:09,5.485,5.49,5.48,5.48,89000,10/27/2011 17:00
13550,AMD,13551,10/27/2011 14:10,5.481,5.49,5.48,5.4801,81600,10/27/2011 17:00
13551,AMD,13552,10/27/2011 14:11,5.48,5.4857,5.47,5.47,306000,10/27/2011 17:00
13552,AMD,13553,10/27/2011 14:12,5.475,5.48,5.47,5.475,138000,10/27/2011 17:00
13553,AMD,13554,10/27/2011 14:13,5.4712,5.48,5.47,5.47,22900,10/27/2011 17:00
13554,AMD,13555,10/27/2011 14:14,5.47,5.48,5.47,5.4782,37300,10/27/2011 17:00
13555,AMD,13556,10/27/2011 14:15,5.4785,5.48,5.46,5.46,371700,10/27/2011 17:00
13556,AMD,13557,10/27/2011 14:16,5.465,5.465,5.45,5.455,135000,10/27/2011 17:00
13557,AMD,13558,10/27/2011 14:17,5.46,5.46,5.45,5.459,38600,10/27/2011 17:00
13558,AMD,13559,10/27/2011 14:18,5.45,5.46,5.45,5.4505,52900,10/27/2011 17:00
13559,AMD,13560,10/27/2011 14:19,5.46,5.46,5.45,5.45,74000,10/27/2011 17:00
13560,AMD,13561,10/27/2011 14:20,5.45,5.46,5.45,5.45,61200,10/27/2011 17:00
13561,AMD,13562,10/27/2011 14:21,5.45,5.46,5.45,5.4501,87700,10/27/2011 17:00
13562,AMD,13563,10/27/2011 14:22,5.4583,5.48,5.445,5.455,639100,10/27/2011 17:00
13563,AMD,13564,10/27/2011 14:23,5.46,5.46,5.45,5.45,198000,10/27/2011 17:00
13564,AMD,13565,10/27/2011 14:24,5.4571,5.46,5.45,5.4507,12800,10/27/2011 17:00
13565,AMD,13566,10/27/2011 14:25,5.45,5.46,5.45,5.45,27800,10/27/2011 17:00
13566,AMD,13567,10/27/2011 14:26,5.4512,5.47,5.45,5.47,54200,10/27/2011 17:00
13567,AMD,13568,10/27/2011 14:27,5.4618,5.47,5.4618,5.47,5500,10/27/2011 17:00
13568,AMD,13569,10/27/2011 14:28,5.47,5.47,5.4629,5.47,72200,10/27/2011 17:00
13569,AMD,13570,10/27/2011 14:29,5.47,5.48,5.46,5.4615,75700,10/27/2011 17:00
13570,AMD,13571,10/27/2011 14:30,5.465,5.48,5.46,5.471,651700,10/27/2011 17:00
13571,AMD,13572,10/27/2011 14:31,5.48,5.48,5.47,5.48,36500,10/27/2011 17:00
13572,AMD,13573,10/27/2011 14:32,5.475,5.48,5.47,5.48,15200,10/27/2011 17:00
13573,AMD,13574,10/27/2011 14:33,5.4707,5.48,5.47,5.48,42100,10/27/2011 17:00
13574,AMD,13575,10/27/2011 14:34,5.48,5.5,5.475,5.5,477000,10/27/2011 17:00
13575,AMD,13576,10/27/2011 14:35,5.5,5.5,5.49,5.49,23000,10/27/2011 17:00
13576,AMD,13577,10/27/2011 14:36,5.499,5.5,5.49,5.495,28100,10/27/2011 17:00
13577,AMD,13578,10/27/2011 14:37,5.5,5.51,5.49,5.51,226100,10/27/2011 17:00
13578,AMD,13579,10/27/2011 14:38,5.51,5.51,5.5,5.5029,33400,10/27/2011 17:00
13579,AMD,13580,10/27/2011 14:39,5.51,5.51,5.5,5.51,31100,10/27/2011 17:00
13580,AMD,13581,10/27/2011 14:40,5.51,5.53,5.505,5.53,237100,10/27/2011 17:00
13581,AMD,13582,10/27/2011 14:41,5.52,5.53,5.52,5.53,99900,10/27/2011 17:00
13582,AMD,13583,10/27/2011 14:42,5.5288,5.53,5.52,5.53,45500,10/27/2011 17:00
13583,AMD,13584,10/27/2011 14:43,5.53,5.53,5.52,5.52,11400,10/27/2011 17:00
13584,AMD,13585,10/27/2011 14:44,5.525,5.54,5.52,5.535,178100,10/27/2011 17:00
13585,AMD,13586,10/27/2011 14:45,5.535,5.54,5.53,5.53,55500,10/27/2011 17:00
13586,AMD,13587,10/27/2011 14:46,5.53,5.54,5.53,5.535,38100,10/27/2011 17:00
13587,AMD,13588,10/27/2011 14:47,5.535,5.54,5.53,5.535,17700,10/27/2011 17:00
13588,AMD,13589,10/27/2011 14:48,5.535,5.54,5.52,5.5225,184600,10/27/2011 17:00
13589,AMD,13590,10/27/2011 14:49,5.52,5.54,5.52,5.54,181400,10/27/2011 17:00
13590,AMD,13591,10/27/2011 14:50,5.54,5.54,5.52,5.53,464000,10/27/2011 17:00
13591,AMD,13592,10/27/2011 14:51,5.53,5.55,5.53,5.545,209100,10/27/2011 17:00
