index,symbol,nr,timestamp,open,high,low,close,volume,release_script
87087,BP,87088,7/30/2012 14:00,41.9,41.9,41.87,41.875,6500,7/31/2012 9:00
87088,BP,87089,7/30/2012 14:01,41.87,41.88,41.87,41.88,600,7/31/2012 9:00
87089,BP,87090,7/30/2012 14:02,41.88,41.88,41.88,41.88,1000,7/31/2012 9:00
87090,BP,87091,7/30/2012 14:03,41.875,41.89,41.873,41.89,6400,7/31/2012 9:00
87091,BP,87092,7/30/2012 14:04,41.89,41.9,41.89,41.89,2300,7/31/2012 9:00
87092,BP,87093,7/30/2012 14:05,41.897,41.9,41.89,41.89,4300,7/31/2012 9:00
87093,BP,87094,7/30/2012 14:06,41.8985,41.8985,41.89,41.89,1400,7/31/2012 9:00
87094,BP,87095,7/30/2012 14:07,41.89,41.89,41.88,41.8884,6800,7/31/2012 9:00
87095,BP,87096,7/30/2012 14:09,41.89,41.89,41.8847,41.8847,3200,7/31/2012 9:00
87096,BP,87097,7/30/2012 14:10,41.885,41.89,41.885,41.8899,500,7/31/2012 9:00
87097,BP,87098,7/30/2012 14:11,41.88,41.88,41.87,41.87,2700,7/31/2012 9:00
87098,BP,87099,7/30/2012 14:12,41.878,41.89,41.8748,41.89,3900,7/31/2012 9:00
87099,BP,87100,7/30/2012 14:13,41.89,41.895,41.86,41.86,21400,7/31/2012 9:00
87100,BP,87101,7/30/2012 14:14,41.86,41.86,41.8417,41.847,1600,7/31/2012 9:00
87101,BP,87102,7/30/2012 14:15,41.84,41.85,41.84,41.84,1800,7/31/2012 9:00
87102,BP,87103,7/30/2012 14:16,41.84,41.87,41.84,41.87,5300,7/31/2012 9:00
87103,BP,87104,7/30/2012 14:17,41.86,41.875,41.845,41.865,19400,7/31/2012 9:00
87104,BP,87105,7/30/2012 14:18,41.87,41.87,41.85,41.85,3600,7/31/2012 9:00
87105,BP,87106,7/30/2012 14:19,41.852,41.88,41.852,41.88,2800,7/31/2012 9:00
87106,BP,87107,7/30/2012 14:20,41.88,41.92,41.88,41.91,7600,7/31/2012 9:00
87107,BP,87108,7/30/2012 14:21,41.918,41.918,41.89,41.89,7800,7/31/2012 9:00
87108,BP,87109,7/30/2012 14:22,41.89,41.9099,41.89,41.903,4000,7/31/2012 9:00
87109,BP,87110,7/30/2012 14:23,41.9,41.9,41.89,41.897,8500,7/31/2012 9:00
87110,BP,87111,7/30/2012 14:24,41.9,41.902,41.89,41.89,8800,7/31/2012 9:00
87111,BP,87112,7/30/2012 14:25,41.89,41.9,41.89,41.899,6000,7/31/2012 9:00
87112,BP,87113,7/30/2012 14:26,41.8945,41.9101,41.89,41.91,22900,7/31/2012 9:00
87113,BP,87114,7/30/2012 14:27,41.91,41.91,41.895,41.895,1800,7/31/2012 9:00
87114,BP,87115,7/30/2012 14:28,41.89,41.9,41.89,41.9,2300,7/31/2012 9:00
87115,BP,87116,7/30/2012 14:29,41.9,41.9,41.89,41.893,1300,7/31/2012 9:00
87116,BP,87117,7/30/2012 14:30,41.8931,41.9,41.89,41.9,1800,7/31/2012 9:00
87117,BP,87118,7/30/2012 14:31,41.9,41.907,41.89,41.89,4300,7/31/2012 9:00
87118,BP,87119,7/30/2012 14:32,41.89,41.8931,41.89,41.8931,1200,7/31/2012 9:00
87119,BP,87120,7/30/2012 14:33,41.8905,41.9,41.8905,41.9,600,7/31/2012 9:00
87120,BP,87121,7/30/2012 14:34,41.8995,41.9,41.89,41.89,2000,7/31/2012 9:00
