index,symbol,nr,timestamp,open,high,low,close,volume,release_script
16062,BRCD,16063,11/18/2011 14:00,4.7,4.7,4.7,4.7,11900,11/21/2011 5:30
16063,BRCD,16064,11/18/2011 14:01,4.7,4.7,4.7,4.7,1100,11/21/2011 5:30
16064,BRCD,16065,11/18/2011 14:02,4.695,4.695,4.695,4.695,600,11/21/2011 5:30
16065,BRCD,16066,11/18/2011 14:03,4.695,4.7,4.695,4.695,6400,11/21/2011 5:30
16066,BRCD,16067,11/18/2011 14:04,4.7,4.7,4.695,4.7,4100,11/21/2011 5:30
16067,BRCD,16068,11/18/2011 14:05,4.695,4.7,4.695,4.7,900,11/21/2011 5:30
16068,BRCD,16069,11/18/2011 14:06,4.695,4.7,4.695,4.695,900,11/21/2011 5:30
16069,BRCD,16070,11/18/2011 14:07,4.7,4.7,4.691,4.691,1200,11/21/2011 5:30
16070,BRCD,16071,11/18/2011 14:08,4.7,4.7,4.7,4.7,10500,11/21/2011 5:30
16071,BRCD,16072,11/18/2011 14:09,4.695,4.6995,4.695,4.695,2100,11/21/2011 5:30
16072,BRCD,16073,11/18/2011 14:11,4.7,4.7,4.7,4.7,3200,11/21/2011 5:30
16073,BRCD,16074,11/18/2011 14:12,4.7,4.72,4.7,4.715,82200,11/21/2011 5:30
16074,BRCD,16075,11/18/2011 14:13,4.72,4.72,4.72,4.72,1100,11/21/2011 5:30
16075,BRCD,16076,11/18/2011 14:14,4.7105,4.7105,4.695,4.7,73600,11/21/2011 5:30
16076,BRCD,16077,11/18/2011 14:15,4.7,4.705,4.7,4.705,8300,11/21/2011 5:30
16077,BRCD,16078,11/18/2011 14:16,4.7,4.7,4.7,4.7,1900,11/21/2011 5:30
16078,BRCD,16079,11/18/2011 14:17,4.7,4.7,4.695,4.695,19100,11/21/2011 5:30
16079,BRCD,16080,11/18/2011 14:18,4.69,4.7,4.69,4.7,2800,11/21/2011 5:30
16080,BRCD,16081,11/18/2011 14:19,4.69,4.69,4.69,4.69,1000,11/21/2011 5:30
16081,BRCD,16082,11/18/2011 14:20,4.695,4.695,4.695,4.695,800,11/21/2011 5:30
16082,BRCD,16083,11/18/2011 14:21,4.695,4.695,4.69,4.69,3300,11/21/2011 5:30
16083,BRCD,16084,11/18/2011 14:22,4.695,4.695,4.695,4.695,300,11/21/2011 5:30
16084,BRCD,16085,11/18/2011 14:23,4.695,4.7,4.695,4.7,600,11/21/2011 5:30
16085,BRCD,16086,11/18/2011 14:24,4.7,4.7,4.695,4.695,2100,11/21/2011 5:30
