index,symbol,nr,timestamp,open,high,low,close,volume,release_script
11186,CMCSA,11187,11/1/2011 14:00,22.99,22.99,22.95,22.99,45500,11/2/2011 8:30
11187,CMCSA,11188,11/1/2011 14:01,22.99,23.01,22.98,22.985,34200,11/2/2011 8:30
11188,CMCSA,11189,11/1/2011 14:02,22.99,23.04,22.985,23.04,49400,11/2/2011 8:30
11189,CMCSA,11190,11/1/2011 14:03,23.06,23.07,23.03,23.04,50700,11/2/2011 8:30
11190,CMCSA,11191,11/1/2011 14:04,23.04,23.04,23,23.01,35000,11/2/2011 8:30
11191,CMCSA,11192,11/1/2011 14:05,23.01,23.05,23,23.04,39800,11/2/2011 8:30
11192,CMCSA,11193,11/1/2011 14:06,23.0425,23.07,23.035,23.06,45600,11/2/2011 8:30
11193,CMCSA,11194,11/1/2011 14:07,23.06,23.1,23.06,23.0811,36000,11/2/2011 8:30
11194,CMCSA,11195,11/1/2011 14:08,23.085,23.09,23.07,23.08,37600,11/2/2011 8:30
11195,CMCSA,11196,11/1/2011 14:09,23.08,23.11,23.08,23.09,29900,11/2/2011 8:30
11196,CMCSA,11197,11/1/2011 14:10,23.09,23.12,23.03,23.03,95200,11/2/2011 8:30
11197,CMCSA,11198,11/1/2011 14:11,23.03,23.07,23.02,23.06,91200,11/2/2011 8:30
11198,CMCSA,11199,11/1/2011 14:12,23.06,23.07,23.03,23.06,67000,11/2/2011 8:30
11199,CMCSA,11200,11/1/2011 14:13,23.07,23.08,23.06,23.08,121700,11/2/2011 8:30
11200,CMCSA,11201,11/1/2011 14:14,23.08,23.09,23.06,23.07,116500,11/2/2011 8:30
11201,CMCSA,11202,11/1/2011 14:15,23.07,23.09,23.04,23.05,80100,11/2/2011 8:30
11202,CMCSA,11203,11/1/2011 14:16,23.06,23.065,23.01,23.03,127800,11/2/2011 8:30
11203,CMCSA,11204,11/1/2011 14:17,23.03,23.055,22.99,22.99,197900,11/2/2011 8:30
11204,CMCSA,11205,11/1/2011 14:18,22.99,23.045,22.98,23.04,245600,11/2/2011 8:30
11205,CMCSA,11206,11/1/2011 14:19,23.04,23.0611,23.04,23.06,107600,11/2/2011 8:30
11206,CMCSA,11207,11/1/2011 14:20,23.0699,23.1211,23.02,23.1,204000,11/2/2011 8:30
11207,CMCSA,11208,11/1/2011 14:21,23.1,23.13,23.09,23.13,155000,11/2/2011 8:30
11208,CMCSA,11209,11/1/2011 14:22,23.13,23.15,23.12,23.14,182300,11/2/2011 8:30
11209,CMCSA,11210,11/1/2011 14:23,23.14,23.18,23.13,23.17,88000,11/2/2011 8:30
11210,CMCSA,11211,11/1/2011 14:24,23.16,23.17,23.14,23.17,31800,11/2/2011 8:30
11211,CMCSA,11212,11/1/2011 14:25,23.17,23.1925,23.155,23.19,45300,11/2/2011 8:30
11212,CMCSA,11213,11/1/2011 14:26,23.19,23.205,23.175,23.19,70400,11/2/2011 8:30
11213,CMCSA,11214,11/1/2011 14:27,23.2,23.2,23.16,23.165,31300,11/2/2011 8:30
11214,CMCSA,11215,11/1/2011 14:28,23.165,23.2,23.165,23.18,21800,11/2/2011 8:30
11215,CMCSA,11216,11/1/2011 14:29,23.17,23.19,23.16,23.17,38900,11/2/2011 8:30
11216,CMCSA,11217,11/1/2011 14:30,23.17,23.17,23.12,23.13,40200,11/2/2011 8:30
11217,CMCSA,11218,11/1/2011 14:31,23.13,23.14,23.11,23.14,95800,11/2/2011 8:30
11218,CMCSA,11219,11/1/2011 14:32,23.13,23.14,23.12,23.135,48300,11/2/2011 8:30
11219,CMCSA,11220,11/1/2011 14:33,23.14,23.17,23.13,23.16,46700,11/2/2011 8:30
11220,CMCSA,11221,11/1/2011 14:34,23.17,23.185,23.16,23.17,88400,11/2/2011 8:30
11221,CMCSA,11222,11/1/2011 14:35,23.17,23.186,23.16,23.16,99000,11/2/2011 8:30
11222,CMCSA,11223,11/1/2011 14:36,23.16,23.18,23.155,23.165,224400,11/2/2011 8:30
11223,CMCSA,11224,11/1/2011 14:37,23.165,23.17,23.112,23.12,322500,11/2/2011 8:30
11224,CMCSA,11225,11/1/2011 14:38,23.12,23.16,23.11,23.13,125900,11/2/2011 8:30
11225,CMCSA,11226,11/1/2011 14:39,23.12,23.122,23.1,23.1,53800,11/2/2011 8:30
11226,CMCSA,11227,11/1/2011 14:40,23.1,23.12,23.08,23.09,92600,11/2/2011 8:30
11227,CMCSA,11228,11/1/2011 14:41,23.1,23.14,23.095,23.12,55700,11/2/2011 8:30
11228,CMCSA,11229,11/1/2011 14:42,23.12,23.145,23.1,23.11,54200,11/2/2011 8:30
11229,CMCSA,11230,11/1/2011 14:43,23.11,23.11,23.08,23.09,31400,11/2/2011 8:30
11230,CMCSA,11231,11/1/2011 14:44,23.1,23.14,23.095,23.14,61000,11/2/2011 8:30
11231,CMCSA,11232,11/1/2011 14:45,23.14,23.18,23.135,23.18,53100,11/2/2011 8:30
11232,CMCSA,11233,11/1/2011 14:46,23.17,23.18,23.14,23.16,55300,11/2/2011 8:30
11233,CMCSA,11234,11/1/2011 14:47,23.16,23.175,23.15,23.16,25200,11/2/2011 8:30
11234,CMCSA,11235,11/1/2011 14:48,23.165,23.18,23.15,23.17,43900,11/2/2011 8:30
11235,CMCSA,11236,11/1/2011 14:49,23.16,23.18,23.13,23.13,88300,11/2/2011 8:30
11236,CMCSA,11237,11/1/2011 14:50,23.13,23.17,23.13,23.16,32400,11/2/2011 8:30
11237,CMCSA,11238,11/1/2011 14:51,23.16,23.18,23.14,23.15,47800,11/2/2011 8:30
11238,CMCSA,11239,11/1/2011 14:52,23.155,23.16,23.12,23.13,59000,11/2/2011 8:30
11239,CMCSA,11240,11/1/2011 14:53,23.12,23.12,23.065,23.07,102400,11/2/2011 8:30
