index,symbol,nr,timestamp,open,high,low,close,volume,release_script
17054,CSCO,17055,11/9/2011 14:00,17.71,17.71,17.694,17.7,278700,11/9/2011 16:30
17055,CSCO,17056,11/9/2011 14:01,17.7,17.71,17.69,17.71,145200,11/9/2011 16:30
17056,CSCO,17057,11/9/2011 14:02,17.71,17.71,17.7,17.71,76300,11/9/2011 16:30
17057,CSCO,17058,11/9/2011 14:03,17.7,17.71,17.7,17.705,107700,11/9/2011 16:30
17058,CSCO,17059,11/9/2011 14:04,17.71,17.71,17.66,17.67,306500,11/9/2011 16:30
17059,CSCO,17060,11/9/2011 14:05,17.67,17.67,17.655,17.655,106100,11/9/2011 16:30
17060,CSCO,17061,11/9/2011 14:06,17.655,17.66,17.61,17.63,655000,11/9/2011 16:30
17061,CSCO,17062,11/9/2011 14:07,17.63,17.639,17.54,17.55,559600,11/9/2011 16:30
17062,CSCO,17063,11/9/2011 14:08,17.55,17.5599,17.53,17.54,362600,11/9/2011 16:30
17063,CSCO,17064,11/9/2011 14:09,17.54,17.57,17.532,17.555,292400,11/9/2011 16:30
17064,CSCO,17065,11/9/2011 14:10,17.56,17.56,17.5,17.51,491200,11/9/2011 16:30
17065,CSCO,17066,11/9/2011 14:11,17.515,17.52,17.5,17.519,454700,11/9/2011 16:30
17066,CSCO,17067,11/9/2011 14:12,17.513,17.57,17.513,17.56,290100,11/9/2011 16:30
17067,CSCO,17068,11/9/2011 14:13,17.57,17.63,17.56,17.62,510300,11/9/2011 16:30
17068,CSCO,17069,11/9/2011 14:14,17.63,17.63,17.6094,17.61,187800,11/9/2011 16:30
17069,CSCO,17070,11/9/2011 14:15,17.619,17.62,17.5915,17.592,191900,11/9/2011 16:30
17070,CSCO,17071,11/9/2011 14:16,17.6,17.6,17.58,17.585,189700,11/9/2011 16:30
17071,CSCO,17072,11/9/2011 14:17,17.58,17.59,17.57,17.57,122600,11/9/2011 16:30
17072,CSCO,17073,11/9/2011 14:18,17.575,17.58,17.545,17.56,289700,11/9/2011 16:30
17073,CSCO,17074,11/9/2011 14:19,17.565,17.6,17.55,17.59,238600,11/9/2011 16:30
17074,CSCO,17075,11/9/2011 14:20,17.6,17.63,17.585,17.629,291700,11/9/2011 16:30
17075,CSCO,17076,11/9/2011 14:21,17.62,17.6285,17.595,17.6,175900,11/9/2011 16:30
17076,CSCO,17077,11/9/2011 14:22,17.6,17.61,17.6,17.6082,33800,11/9/2011 16:30
17077,CSCO,17078,11/9/2011 14:23,17.6,17.605,17.58,17.585,227400,11/9/2011 16:30
17078,CSCO,17079,11/9/2011 14:24,17.585,17.5889,17.54,17.545,234300,11/9/2011 16:30
17079,CSCO,17080,11/9/2011 14:25,17.54,17.55,17.49,17.5,474300,11/9/2011 16:30
17080,CSCO,17081,11/9/2011 14:26,17.5,17.51,17.46,17.46,489700,11/9/2011 16:30
17081,CSCO,17082,11/9/2011 14:27,17.465,17.48,17.44,17.48,343000,11/9/2011 16:30
17082,CSCO,17083,11/9/2011 14:28,17.48,17.51,17.4708,17.51,147600,11/9/2011 16:30
17083,CSCO,17084,11/9/2011 14:29,17.51,17.52,17.5,17.51,160300,11/9/2011 16:30
17084,CSCO,17085,11/9/2011 14:30,17.52,17.53,17.49,17.52,141300,11/9/2011 16:30
17085,CSCO,17086,11/9/2011 14:31,17.52,17.54,17.51,17.5185,224700,11/9/2011 16:30
17086,CSCO,17087,11/9/2011 14:32,17.51,17.525,17.49,17.52,173400,11/9/2011 16:30
17087,CSCO,17088,11/9/2011 14:33,17.52,17.52,17.49,17.505,234400,11/9/2011 16:30
17088,CSCO,17089,11/9/2011 14:34,17.51,17.54,17.51,17.54,97500,11/9/2011 16:30
17089,CSCO,17090,11/9/2011 14:35,17.531,17.55,17.52,17.54,159200,11/9/2011 16:30
17090,CSCO,17091,11/9/2011 14:36,17.5411,17.55,17.54,17.55,106500,11/9/2011 16:30
17091,CSCO,17092,11/9/2011 14:37,17.55,17.55,17.54,17.54,110600,11/9/2011 16:30
17092,CSCO,17093,11/9/2011 14:38,17.54,17.56,17.53,17.53,230600,11/9/2011 16:30
17093,CSCO,17094,11/9/2011 14:39,17.53,17.55,17.52,17.52,325100,11/9/2011 16:30
17094,CSCO,17095,11/9/2011 14:40,17.53,17.55,17.52,17.52,239600,11/9/2011 16:30
17095,CSCO,17096,11/9/2011 14:41,17.52,17.525,17.46,17.47,332600,11/9/2011 16:30
17096,CSCO,17097,11/9/2011 14:42,17.465,17.512,17.465,17.512,196100,11/9/2011 16:30
17097,CSCO,17098,11/9/2011 14:43,17.52,17.54,17.5,17.535,302700,11/9/2011 16:30
