index,symbol,nr,timestamp,open,high,low,close,volume,release_script
7666,FITB,7667,10/19/2011 14:00,10.77,10.785,10.76,10.78,32300,10/20/2011 9:00
7667,FITB,7668,10/19/2011 14:01,10.78,10.7999,10.77,10.78,35300,10/20/2011 9:00
7668,FITB,7669,10/19/2011 14:02,10.78,10.78,10.76,10.7625,18000,10/20/2011 9:00
7669,FITB,7670,10/19/2011 14:03,10.76,10.78,10.76,10.78,54700,10/20/2011 9:00
7670,FITB,7671,10/19/2011 14:04,10.78,10.815,10.78,10.79,50600,10/20/2011 9:00
7671,FITB,7672,10/19/2011 14:05,10.78,10.79,10.77,10.77,127700,10/20/2011 9:00
7672,FITB,7673,10/19/2011 14:06,10.77,10.775,10.74,10.75,47700,10/20/2011 9:00
7673,FITB,7674,10/19/2011 14:07,10.76,10.77,10.73,10.77,41600,10/20/2011 9:00
7674,FITB,7675,10/19/2011 14:08,10.77,10.795,10.76,10.76,55000,10/20/2011 9:00
7675,FITB,7676,10/19/2011 14:09,10.75,10.76,10.74,10.74,30600,10/20/2011 9:00
7676,FITB,7677,10/19/2011 14:10,10.74,10.76,10.73,10.75,31000,10/20/2011 9:00
7677,FITB,7678,10/19/2011 14:11,10.7529,10.77,10.75,10.76,27500,10/20/2011 9:00
7678,FITB,7679,10/19/2011 14:12,10.76,10.8,10.7575,10.8,39500,10/20/2011 9:00
7679,FITB,7680,10/19/2011 14:13,10.793,10.81,10.79,10.8,30500,10/20/2011 9:00
7680,FITB,7681,10/19/2011 14:14,10.79,10.8,10.75,10.755,42300,10/20/2011 9:00
7681,FITB,7682,10/19/2011 14:15,10.75,10.8,10.75,10.8,50400,10/20/2011 9:00
7682,FITB,7683,10/19/2011 14:16,10.795,10.8,10.78,10.7901,20500,10/20/2011 9:00
7683,FITB,7684,10/19/2011 14:17,10.795,10.8,10.78,10.78,24000,10/20/2011 9:00
7684,FITB,7685,10/19/2011 14:18,10.78,10.805,10.78,10.8,28000,10/20/2011 9:00
7685,FITB,7686,10/19/2011 14:19,10.795,10.795,10.78,10.785,4700,10/20/2011 9:00
7686,FITB,7687,10/19/2011 14:20,10.78,10.785,10.75,10.78,46500,10/20/2011 9:00
7687,FITB,7688,10/19/2011 14:21,10.77,10.78,10.76,10.77,39500,10/20/2011 9:00
7688,FITB,7689,10/19/2011 14:22,10.76,10.8,10.75,10.78,69200,10/20/2011 9:00
7689,FITB,7690,10/19/2011 14:23,10.784,10.784,10.75,10.75,27400,10/20/2011 9:00
7690,FITB,7691,10/19/2011 14:24,10.76,10.76,10.74,10.74,6700,10/20/2011 9:00
7691,FITB,7692,10/19/2011 14:25,10.745,10.749,10.72,10.72,37200,10/20/2011 9:00
7692,FITB,7693,10/19/2011 14:26,10.725,10.725,10.7,10.71,52700,10/20/2011 9:00
7693,FITB,7694,10/19/2011 14:27,10.705,10.72,10.7,10.71,14200,10/20/2011 9:00
7694,FITB,7695,10/19/2011 14:28,10.71,10.715,10.7,10.705,14700,10/20/2011 9:00
7695,FITB,7696,10/19/2011 14:29,10.71,10.71,10.7,10.71,6800,10/20/2011 9:00
7696,FITB,7697,10/19/2011 14:30,10.709,10.72,10.7,10.715,33700,10/20/2011 9:00
7697,FITB,7698,10/19/2011 14:31,10.71,10.72,10.7,10.7,23500,10/20/2011 9:00
7698,FITB,7699,10/19/2011 14:32,10.7,10.71,10.7,10.71,22900,10/20/2011 9:00
7699,FITB,7700,10/19/2011 14:33,10.72,10.73,10.71,10.72,34900,10/20/2011 9:00
7700,FITB,7701,10/19/2011 14:34,10.72,10.7389,10.7,10.72,76900,10/20/2011 9:00
7701,FITB,7702,10/19/2011 14:35,10.73,10.76,10.7275,10.7525,23900,10/20/2011 9:00
7702,FITB,7703,10/19/2011 14:36,10.76,10.76,10.7507,10.755,4500,10/20/2011 9:00
7703,FITB,7704,10/19/2011 14:37,10.76,10.76,10.735,10.75,50600,10/20/2011 9:00
7704,FITB,7705,10/19/2011 14:38,10.75,10.79,10.75,10.77,34500,10/20/2011 9:00
7705,FITB,7706,10/19/2011 14:39,10.765,10.77,10.76,10.7625,2100,10/20/2011 9:00
7706,FITB,7707,10/19/2011 14:40,10.77,10.77,10.74,10.76,55100,10/20/2011 9:00
7707,FITB,7708,10/19/2011 14:41,10.76,10.76,10.75,10.75,17200,10/20/2011 9:00
7708,FITB,7709,10/19/2011 14:42,10.75,10.76,10.74,10.74,28000,10/20/2011 9:00
7709,FITB,7710,10/19/2011 14:43,10.7335,10.7335,10.72,10.725,27900,10/20/2011 9:00
7710,FITB,7711,10/19/2011 14:44,10.72,10.76,10.72,10.7516,41100,10/20/2011 9:00
7711,FITB,7712,10/19/2011 14:45,10.75,10.76,10.75,10.75,10100,10/20/2011 9:00
7712,FITB,7713,10/19/2011 14:46,10.75,10.76,10.75,10.75,5400,10/20/2011 9:00
7713,FITB,7714,10/19/2011 14:47,10.755,10.79,10.75,10.79,18100,10/20/2011 9:00
7714,FITB,7715,10/19/2011 14:48,10.79,10.81,10.78,10.81,123800,10/20/2011 9:00
7715,FITB,7716,10/19/2011 14:49,10.81,10.82,10.78,10.79,55100,10/20/2011 9:00
7716,FITB,7717,10/19/2011 14:50,10.79,10.79,10.75,10.76,50800,10/20/2011 9:00
7717,FITB,7718,10/19/2011 14:51,10.77,10.77,10.75,10.75,17900,10/20/2011 9:00
7718,FITB,7719,10/19/2011 14:52,10.74,10.78,10.74,10.77,48200,10/20/2011 9:00
7719,FITB,7720,10/19/2011 14:53,10.78,10.79,10.77,10.78,18000,10/20/2011 9:00
7720,FITB,7721,10/19/2011 14:54,10.77,10.775,10.76,10.76,9300,10/20/2011 9:00
7721,FITB,7722,10/19/2011 14:55,10.76,10.77,10.73,10.765,72400,10/20/2011 9:00
7722,FITB,7723,10/19/2011 14:56,10.76,10.77,10.75,10.75,31200,10/20/2011 9:00
7723,FITB,7724,10/19/2011 14:57,10.76,10.76,10.74,10.74,6200,10/20/2011 9:00
7724,FITB,7725,10/19/2011 14:58,10.74,10.74,10.71,10.72,42700,10/20/2011 9:00
7725,FITB,7726,10/19/2011 14:59,10.72,10.725,10.71,10.71,83200,10/20/2011 9:00
7726,FITB,7727,10/19/2011 15:00,10.71,10.73,10.7,10.72,71300,10/20/2011 9:00
7727,FITB,7728,10/19/2011 15:01,10.715,10.73,10.68,10.69,120200,10/20/2011 9:00
7728,FITB,7729,10/19/2011 15:02,10.685,10.7,10.68,10.69,56600,10/20/2011 9:00
7729,FITB,7730,10/19/2011 15:03,10.685,10.7,10.68,10.69,37400,10/20/2011 9:00
7730,FITB,7731,10/19/2011 15:04,10.69,10.69,10.67,10.67,32800,10/20/2011 9:00
7731,FITB,7732,10/19/2011 15:05,10.67,10.685,10.67,10.67,14400,10/20/2011 9:00
7732,FITB,7733,10/19/2011 15:06,10.68,10.68,10.66,10.66,26900,10/20/2011 9:00
7733,FITB,7734,10/19/2011 15:07,10.66,10.69,10.65,10.68,77500,10/20/2011 9:00
7734,FITB,7735,10/19/2011 15:08,10.68,10.69,10.68,10.685,6700,10/20/2011 9:00
7735,FITB,7736,10/19/2011 15:09,10.6889,10.735,10.6875,10.705,82000,10/20/2011 9:00
7736,FITB,7737,10/19/2011 15:10,10.7,10.72,10.67,10.67,60900,10/20/2011 9:00
7737,FITB,7738,10/19/2011 15:11,10.67,10.68,10.67,10.68,1700,10/20/2011 9:00
7738,FITB,7739,10/19/2011 15:12,10.675,10.705,10.67,10.67,54900,10/20/2011 9:00
7739,FITB,7740,10/19/2011 15:13,10.68,10.7,10.675,10.7,28000,10/20/2011 9:00
7740,FITB,7741,10/19/2011 15:14,10.7,10.73,10.7,10.72,25900,10/20/2011 9:00
7741,FITB,7742,10/19/2011 15:15,10.72,10.75,10.715,10.74,54100,10/20/2011 9:00
7742,FITB,7743,10/19/2011 15:16,10.75,10.76,10.73,10.73,35500,10/20/2011 9:00
7743,FITB,7744,10/19/2011 15:17,10.74,10.78,10.74,10.78,48200,10/20/2011 9:00
7744,FITB,7745,10/19/2011 15:18,10.78,10.79,10.77,10.77,58500,10/20/2011 9:00
7745,FITB,7746,10/19/2011 15:19,10.77,10.77,10.76,10.765,5500,10/20/2011 9:00
7746,FITB,7747,10/19/2011 15:20,10.765,10.77,10.74,10.75,39300,10/20/2011 9:00
7747,FITB,7748,10/19/2011 15:21,10.75,10.76,10.735,10.74,45400,10/20/2011 9:00
7748,FITB,7749,10/19/2011 15:22,10.74,10.75,10.74,10.74,17700,10/20/2011 9:00
7749,FITB,7750,10/19/2011 15:23,10.745,10.745,10.72,10.73,36500,10/20/2011 9:00
7750,FITB,7751,10/19/2011 15:24,10.73,10.78,10.73,10.77,63500,10/20/2011 9:00
7751,FITB,7752,10/19/2011 15:25,10.7699,10.79,10.75,10.7542,98900,10/20/2011 9:00
7752,FITB,7753,10/19/2011 15:26,10.755,10.76,10.74,10.755,43600,10/20/2011 9:00
7753,FITB,7754,10/19/2011 15:27,10.75,10.75,10.73,10.74,31000,10/20/2011 9:00
7754,FITB,7755,10/19/2011 15:28,10.74,10.75,10.72,10.72,64400,10/20/2011 9:00
7755,FITB,7756,10/19/2011 15:29,10.725,10.729,10.705,10.71,33000,10/20/2011 9:00
7756,FITB,7757,10/19/2011 15:30,10.71,10.72,10.7,10.703,62800,10/20/2011 9:00
7757,FITB,7758,10/19/2011 15:31,10.71,10.72,10.7,10.72,232700,10/20/2011 9:00
7758,FITB,7759,10/19/2011 15:32,10.72,10.755,10.7115,10.75,52500,10/20/2011 9:00
7759,FITB,7760,10/19/2011 15:33,10.74,10.75,10.74,10.74,8900,10/20/2011 9:00
7760,FITB,7761,10/19/2011 15:34,10.75,10.75,10.73,10.74,79600,10/20/2011 9:00
7761,FITB,7762,10/19/2011 15:35,10.74,10.75,10.71,10.75,56400,10/20/2011 9:00
7762,FITB,7763,10/19/2011 15:36,10.75,10.76,10.73,10.76,92000,10/20/2011 9:00
7763,FITB,7764,10/19/2011 15:37,10.76,10.765,10.73,10.75,106300,10/20/2011 9:00
7764,FITB,7765,10/19/2011 15:38,10.75,10.76,10.73,10.73,62500,10/20/2011 9:00
7765,FITB,7766,10/19/2011 15:39,10.73,10.74,10.72,10.73,52600,10/20/2011 9:00
7766,FITB,7767,10/19/2011 15:40,10.74,10.74,10.7,10.7,39700,10/20/2011 9:00
7767,FITB,7768,10/19/2011 15:41,10.7,10.715,10.68,10.71,84300,10/20/2011 9:00
7768,FITB,7769,10/19/2011 15:42,10.71,10.72,10.7,10.71,43200,10/20/2011 9:00
7769,FITB,7770,10/19/2011 15:43,10.71,10.75,10.7,10.75,59700,10/20/2011 9:00
7770,FITB,7771,10/19/2011 15:44,10.755,10.78,10.73,10.74,98300,10/20/2011 9:00
7771,FITB,7772,10/19/2011 15:45,10.74,10.74,10.69,10.72,109000,10/20/2011 9:00
7772,FITB,7773,10/19/2011 15:46,10.73,10.73,10.66,10.69,272800,10/20/2011 9:00
7773,FITB,7774,10/19/2011 15:47,10.69,10.76,10.685,10.72,114500,10/20/2011 9:00
7774,FITB,7775,10/19/2011 15:48,10.73,10.73,10.69,10.695,82000,10/20/2011 9:00
7775,FITB,7776,10/19/2011 15:49,10.695,10.7225,10.69,10.715,102400,10/20/2011 9:00
7776,FITB,7777,10/19/2011 15:50,10.71,10.745,10.69,10.69,166500,10/20/2011 9:00
7777,FITB,7778,10/19/2011 15:51,10.69,10.72,10.67,10.71,159600,10/20/2011 9:00
7778,FITB,7779,10/19/2011 15:52,10.72,10.72,10.67,10.7,191300,10/20/2011 9:00
7779,FITB,7780,10/19/2011 15:53,10.7,10.7,10.65,10.66,216000,10/20/2011 9:00
7780,FITB,7781,10/19/2011 15:54,10.66,10.7,10.66,10.7,165800,10/20/2011 9:00
7781,FITB,7782,10/19/2011 15:55,10.7,10.7,10.67,10.69,134300,10/20/2011 9:00
7782,FITB,7783,10/19/2011 15:56,10.7,10.7,10.67,10.68,73600,10/20/2011 9:00
7783,FITB,7784,10/19/2011 15:57,10.675,10.69,10.66,10.68,145200,10/20/2011 9:00
7784,FITB,7785,10/19/2011 15:58,10.685,10.69,10.64,10.64,269100,10/20/2011 9:00
7785,FITB,7786,10/19/2011 15:59,10.645,10.69,10.63,10.65,403600,10/20/2011 9:00
7786,FITB,7787,10/19/2011 16:00,10.65,10.65,10.65,10.65,100,10/20/2011 9:00
7787,FITB,7788,10/20/2011 9:30,11.25,11.34,11.23,11.32,1007200,10/20/2011 9:00
7788,FITB,7789,10/20/2011 9:31,11.3295,11.35,11.3295,11.341,206200,10/20/2011 9:00
7789,FITB,7790,10/20/2011 9:32,11.35,11.39,11.34,11.37,162500,10/20/2011 9:00
7790,FITB,7791,10/20/2011 9:33,11.38,11.45,11.37,11.42,232100,10/20/2011 9:00
7791,FITB,7792,10/20/2011 9:34,11.4175,11.45,11.4,11.44,118400,10/20/2011 9:00
7792,FITB,7793,10/20/2011 9:35,11.44,11.44,11.4,11.44,289300,10/20/2011 9:00
7793,FITB,7794,10/20/2011 9:36,11.43,11.51,11.42,11.5,337500,10/20/2011 9:00
7794,FITB,7795,10/20/2011 9:37,11.5,11.52,11.41,11.41,207400,10/20/2011 9:00
7795,FITB,7796,10/20/2011 9:38,11.41,11.5,11.41,11.49,76600,10/20/2011 9:00
7796,FITB,7797,10/20/2011 9:39,11.49,11.51,11.471,11.5,151900,10/20/2011 9:00
7797,FITB,7798,10/20/2011 9:40,11.49,11.5,11.46,11.49,151300,10/20/2011 9:00
7798,FITB,7799,10/20/2011 9:41,11.49,11.55,11.475,11.485,355800,10/20/2011 9:00
7799,FITB,7800,10/20/2011 9:42,11.48,11.51,11.39,11.43,277700,10/20/2011 9:00
