index,symbol,nr,timestamp,open,high,low,close,volume,release_script
10412,GLW,10413,10/25/2011 14:00,13.77,13.77,13.75,13.75,28500,10/26/2011 8:30
10413,GLW,10414,10/25/2011 14:01,13.75,13.77,13.75,13.77,96000,10/26/2011 8:30
10414,GLW,10415,10/25/2011 14:02,13.7669,13.7669,13.74,13.75,144300,10/26/2011 8:30
10415,GLW,10416,10/25/2011 14:03,13.75,13.75,13.74,13.74,10700,10/26/2011 8:30
10416,GLW,10417,10/25/2011 14:04,13.74,13.75,13.74,13.74,5000,10/26/2011 8:30
10417,GLW,10418,10/25/2011 14:05,13.74,13.7401,13.73,13.7301,24600,10/26/2011 8:30
10418,GLW,10419,10/25/2011 14:06,13.73,13.74,13.73,13.73,6100,10/26/2011 8:30
10419,GLW,10420,10/25/2011 14:07,13.73,13.74,13.73,13.73,7800,10/26/2011 8:30
10420,GLW,10421,10/25/2011 14:08,13.73,13.74,13.71,13.7301,89400,10/26/2011 8:30
10421,GLW,10422,10/25/2011 14:09,13.73,13.75,13.73,13.74,34600,10/26/2011 8:30
10422,GLW,10423,10/25/2011 14:10,13.74,13.75,13.73,13.74,26600,10/26/2011 8:30
10423,GLW,10424,10/25/2011 14:11,13.74,13.7483,13.72,13.72,31000,10/26/2011 8:30
10424,GLW,10425,10/25/2011 14:12,13.72,13.73,13.72,13.7201,4200,10/26/2011 8:30
10425,GLW,10426,10/25/2011 14:13,13.7257,13.73,13.715,13.72,30700,10/26/2011 8:30
10426,GLW,10427,10/25/2011 14:14,13.715,13.7271,13.7,13.71,33600,10/26/2011 8:30
10427,GLW,10428,10/25/2011 14:15,13.7,13.72,13.7,13.71,33200,10/26/2011 8:30
10428,GLW,10429,10/25/2011 14:16,13.715,13.73,13.7,13.7101,124600,10/26/2011 8:30
10429,GLW,10430,10/25/2011 14:17,13.715,13.72,13.7,13.708,39200,10/26/2011 8:30
10430,GLW,10431,10/25/2011 14:18,13.7083,13.71,13.7,13.709,8600,10/26/2011 8:30
10431,GLW,10432,10/25/2011 14:19,13.7042,13.72,13.7042,13.715,16700,10/26/2011 8:30
10432,GLW,10433,10/25/2011 14:20,13.72,13.72,13.7,13.7,27100,10/26/2011 8:30
10433,GLW,10434,10/25/2011 14:21,13.71,13.71,13.7,13.71,22800,10/26/2011 8:30
10434,GLW,10435,10/25/2011 14:22,13.705,13.73,13.705,13.719,82700,10/26/2011 8:30
10435,GLW,10436,10/25/2011 14:23,13.7144,13.73,13.71,13.73,28900,10/26/2011 8:30
10436,GLW,10437,10/25/2011 14:24,13.73,13.75,13.72,13.75,32400,10/26/2011 8:30
10437,GLW,10438,10/25/2011 14:25,13.75,13.75,13.74,13.75,17200,10/26/2011 8:30
10438,GLW,10439,10/25/2011 14:26,13.75,13.76,13.745,13.75,63700,10/26/2011 8:30
10439,GLW,10440,10/25/2011 14:27,13.75,13.76,13.74,13.74,23200,10/26/2011 8:30
10440,GLW,10441,10/25/2011 14:28,13.74,13.76,13.74,13.76,31000,10/26/2011 8:30
10441,GLW,10442,10/25/2011 14:29,13.76,13.76,13.74,13.75,55200,10/26/2011 8:30
10442,GLW,10443,10/25/2011 14:30,13.7415,13.7415,13.72,13.72,27500,10/26/2011 8:30
10443,GLW,10444,10/25/2011 14:31,13.72,13.73,13.72,13.7201,8400,10/26/2011 8:30
10444,GLW,10445,10/25/2011 14:32,13.725,13.75,13.72,13.74,33800,10/26/2011 8:30
10445,GLW,10446,10/25/2011 14:33,13.746,13.75,13.73,13.74,51800,10/26/2011 8:30
10446,GLW,10447,10/25/2011 14:34,13.75,13.75,13.72,13.75,77900,10/26/2011 8:30
10447,GLW,10448,10/25/2011 14:35,13.742,13.75,13.74,13.75,5800,10/26/2011 8:30
10448,GLW,10449,10/25/2011 14:36,13.745,13.75,13.74,13.75,71900,10/26/2011 8:30
10449,GLW,10450,10/25/2011 14:37,13.75,13.75,13.74,13.75,6900,10/26/2011 8:30
10450,GLW,10451,10/25/2011 14:38,13.74,13.77,13.74,13.76,56300,10/26/2011 8:30
10451,GLW,10452,10/25/2011 14:39,13.76,13.765,13.73,13.74,39400,10/26/2011 8:30
10452,GLW,10453,10/25/2011 14:40,13.7408,13.75,13.73,13.73,29200,10/26/2011 8:30
10453,GLW,10454,10/25/2011 14:41,13.73,13.7571,13.73,13.74,39200,10/26/2011 8:30
10454,GLW,10455,10/25/2011 14:42,13.75,13.755,13.74,13.7501,13600,10/26/2011 8:30
10455,GLW,10456,10/25/2011 14:43,13.76,13.765,13.75,13.75,16000,10/26/2011 8:30
10456,GLW,10457,10/25/2011 14:44,13.76,13.79,13.75,13.7801,94400,10/26/2011 8:30
10457,GLW,10458,10/25/2011 14:45,13.7899,13.79,13.77,13.7701,36100,10/26/2011 8:30
10458,GLW,10459,10/25/2011 14:46,13.77,13.77,13.76,13.765,11600,10/26/2011 8:30
10459,GLW,10460,10/25/2011 14:47,13.77,13.77,13.75,13.75,34600,10/26/2011 8:30
10460,GLW,10461,10/25/2011 14:48,13.75,13.76,13.75,13.75,11600,10/26/2011 8:30
10461,GLW,10462,10/25/2011 14:49,13.75,13.77,13.75,13.76,35800,10/26/2011 8:30
10462,GLW,10463,10/25/2011 14:50,13.77,13.77,13.75,13.75,20500,10/26/2011 8:30
10463,GLW,10464,10/25/2011 14:51,13.76,13.78,13.75,13.765,53500,10/26/2011 8:30
10464,GLW,10465,10/25/2011 14:52,13.77,13.78,13.76,13.77,34500,10/26/2011 8:30
10465,GLW,10466,10/25/2011 14:53,13.7693,13.77,13.76,13.77,7000,10/26/2011 8:30
10466,GLW,10467,10/25/2011 14:54,13.77,13.78,13.76,13.769,43900,10/26/2011 8:30
10467,GLW,10468,10/25/2011 14:55,13.77,13.78,13.7699,13.78,21100,10/26/2011 8:30
10468,GLW,10469,10/25/2011 14:56,13.77,13.78,13.77,13.78,5500,10/26/2011 8:30
10469,GLW,10470,10/25/2011 14:57,13.78,13.78,13.77,13.775,31800,10/26/2011 8:30
10470,GLW,10471,10/25/2011 14:58,13.7727,13.78,13.77,13.78,28600,10/26/2011 8:30
10471,GLW,10472,10/25/2011 14:59,13.78,13.79,13.77,13.79,20500,10/26/2011 8:30
10472,GLW,10473,10/25/2011 15:00,13.79,13.83,13.785,13.82,101300,10/26/2011 8:30
10473,GLW,10474,10/25/2011 15:01,13.815,13.85,13.815,13.85,132600,10/26/2011 8:30
10474,GLW,10475,10/25/2011 15:02,13.85,13.86,13.845,13.86,18200,10/26/2011 8:30
10475,GLW,10476,10/25/2011 15:03,13.85,13.86,13.85,13.86,16700,10/26/2011 8:30
10476,GLW,10477,10/25/2011 15:04,13.86,13.86,13.85,13.85,69300,10/26/2011 8:30
10477,GLW,10478,10/25/2011 15:05,13.85,13.8564,13.82,13.82,163100,10/26/2011 8:30
10478,GLW,10479,10/25/2011 15:06,13.82,13.82,13.8,13.8001,19200,10/26/2011 8:30
10479,GLW,10480,10/25/2011 15:07,13.8089,13.8089,13.79,13.795,22700,10/26/2011 8:30
10480,GLW,10481,10/25/2011 15:08,13.79,13.8199,13.79,13.8199,40100,10/26/2011 8:30
10481,GLW,10482,10/25/2011 15:09,13.815,13.82,13.8,13.8,24000,10/26/2011 8:30
10482,GLW,10483,10/25/2011 15:10,13.807,13.81,13.8,13.81,14300,10/26/2011 8:30
10483,GLW,10484,10/25/2011 15:11,13.8,13.8089,13.785,13.8,63200,10/26/2011 8:30
10484,GLW,10485,10/25/2011 15:12,13.8,13.8,13.79,13.7999,14700,10/26/2011 8:30
10485,GLW,10486,10/25/2011 15:13,13.8,13.8,13.79,13.8,8100,10/26/2011 8:30
10486,GLW,10487,10/25/2011 15:14,13.8,13.8,13.78,13.79,64900,10/26/2011 8:30
10487,GLW,10488,10/25/2011 15:15,13.785,13.8,13.78,13.8,52600,10/26/2011 8:30
10488,GLW,10489,10/25/2011 15:16,13.79,13.82,13.78,13.82,73200,10/26/2011 8:30
10489,GLW,10490,10/25/2011 15:17,13.81,13.82,13.81,13.82,12200,10/26/2011 8:30
10490,GLW,10491,10/25/2011 15:18,13.81,13.819,13.78,13.78,55800,10/26/2011 8:30
10491,GLW,10492,10/25/2011 15:19,13.78,13.79,13.77,13.775,27400,10/26/2011 8:30
10492,GLW,10493,10/25/2011 15:20,13.78,13.79,13.77,13.785,28700,10/26/2011 8:30
10493,GLW,10494,10/25/2011 15:21,13.785,13.79,13.77,13.77,75700,10/26/2011 8:30
10494,GLW,10495,10/25/2011 15:22,13.77,13.77,13.76,13.765,33600,10/26/2011 8:30
10495,GLW,10496,10/25/2011 15:23,13.76,13.77,13.72,13.73,249100,10/26/2011 8:30
10496,GLW,10497,10/25/2011 15:24,13.732,13.75,13.73,13.74,75400,10/26/2011 8:30
10497,GLW,10498,10/25/2011 15:25,13.735,13.75,13.73,13.75,69500,10/26/2011 8:30
10498,GLW,10499,10/25/2011 15:26,13.745,13.75,13.73,13.739,72800,10/26/2011 8:30
10499,GLW,10500,10/25/2011 15:27,13.7346,13.76,13.73,13.76,74600,10/26/2011 8:30
10500,GLW,10501,10/25/2011 15:28,13.76,13.76,13.7301,13.7441,45800,10/26/2011 8:30
10501,GLW,10502,10/25/2011 15:29,13.75,13.76,13.74,13.745,40500,10/26/2011 8:30
10502,GLW,10503,10/25/2011 15:30,13.75,13.775,13.7444,13.76,49400,10/26/2011 8:30
10503,GLW,10504,10/25/2011 15:31,13.77,13.77,13.74,13.74,39100,10/26/2011 8:30
10504,GLW,10505,10/25/2011 15:32,13.74,13.755,13.74,13.745,68400,10/26/2011 8:30
10505,GLW,10506,10/25/2011 15:33,13.745,13.75,13.74,13.745,14300,10/26/2011 8:30
10506,GLW,10507,10/25/2011 15:34,13.75,13.76,13.745,13.75,189500,10/26/2011 8:30
10507,GLW,10508,10/25/2011 15:35,13.75,13.76,13.74,13.75,72400,10/26/2011 8:30
10508,GLW,10509,10/25/2011 15:36,13.76,13.76,13.74,13.75,69600,10/26/2011 8:30
10509,GLW,10510,10/25/2011 15:37,13.7588,13.76,13.74,13.75,88300,10/26/2011 8:30
10510,GLW,10511,10/25/2011 15:38,13.745,13.75,13.73,13.74,62200,10/26/2011 8:30
10511,GLW,10512,10/25/2011 15:39,13.74,13.76,13.73,13.75,125200,10/26/2011 8:30
10512,GLW,10513,10/25/2011 15:40,13.76,13.765,13.75,13.75,71900,10/26/2011 8:30
10513,GLW,10514,10/25/2011 15:41,13.76,13.77,13.75,13.76,63400,10/26/2011 8:30
10514,GLW,10515,10/25/2011 15:42,13.765,13.77,13.75,13.7517,101100,10/26/2011 8:30
10515,GLW,10516,10/25/2011 15:43,13.75,13.76,13.75,13.76,28500,10/26/2011 8:30
10516,GLW,10517,10/25/2011 15:44,13.75,13.76,13.75,13.76,18700,10/26/2011 8:30
10517,GLW,10518,10/25/2011 15:45,13.75,13.75,13.74,13.75,304800,10/26/2011 8:30
10518,GLW,10519,10/25/2011 15:46,13.745,13.75,13.74,13.74,34600,10/26/2011 8:30
10519,GLW,10520,10/25/2011 15:47,13.74,13.74,13.72,13.74,131500,10/26/2011 8:30
10520,GLW,10521,10/25/2011 15:48,13.73,13.74,13.73,13.74,33900,10/26/2011 8:30
10521,GLW,10522,10/25/2011 15:49,13.74,13.76,13.73,13.75,372300,10/26/2011 8:30
10522,GLW,10523,10/25/2011 15:50,13.75,13.76,13.75,13.7501,139200,10/26/2011 8:30
10523,GLW,10524,10/25/2011 15:51,13.75,13.76,13.74,13.755,188900,10/26/2011 8:30
10524,GLW,10525,10/25/2011 15:52,13.75,13.76,13.75,13.755,40500,10/26/2011 8:30
10525,GLW,10526,10/25/2011 15:53,13.75,13.76,13.75,13.76,56700,10/26/2011 8:30
10526,GLW,10527,10/25/2011 15:54,13.755,13.76,13.74,13.74,444100,10/26/2011 8:30
10527,GLW,10528,10/25/2011 15:55,13.74,13.75,13.73,13.73,197000,10/26/2011 8:30
10528,GLW,10529,10/25/2011 15:56,13.73,13.74,13.73,13.74,238900,10/26/2011 8:30
10529,GLW,10530,10/25/2011 15:57,13.74,13.74,13.73,13.735,193900,10/26/2011 8:30
10530,GLW,10531,10/25/2011 15:58,13.735,13.74,13.72,13.73,408100,10/26/2011 8:30
10531,GLW,10532,10/25/2011 15:59,13.73,13.74,13.71,13.74,424600,10/26/2011 8:30
10532,GLW,10533,10/25/2011 16:00,13.73,13.73,13.73,13.73,100,10/26/2011 8:30
10533,GLW,10534,10/26/2011 9:30,14.46,14.65,14.46,14.52,1779200,10/26/2011 8:30
10534,GLW,10535,10/26/2011 9:31,14.54,14.59,14.51,14.565,308900,10/26/2011 8:30
10535,GLW,10536,10/26/2011 9:32,14.5642,14.7,14.5642,14.67,464100,10/26/2011 8:30
