index,symbol,nr,timestamp,open,high,low,close,volume,release_script
9615,GOOG,9616,10/13/2011 14:00,552.635,552.7788,552.49,552.61,6400,10/13/2011 16:30
9616,GOOG,9617,10/13/2011 14:01,552.52,552.54,552.22,552.2201,10000,10/13/2011 16:30
9617,GOOG,9618,10/13/2011 14:02,552.14,552.44,552,552.44,11400,10/13/2011 16:30
9618,GOOG,9619,10/13/2011 14:03,552.33,552.99,552.33,552.99,4300,10/13/2011 16:30
9619,GOOG,9620,10/13/2011 14:04,552.5201,553.156,552.5201,553.156,1600,10/13/2011 16:30
9620,GOOG,9621,10/13/2011 14:05,553.04,553.248,552.79,553.01,2700,10/13/2011 16:30
9621,GOOG,9622,10/13/2011 14:06,553.16,553.7434,553.03,553.59,9500,10/13/2011 16:30
9622,GOOG,9623,10/13/2011 14:07,553.52,553.609,553.3,553.31,5100,10/13/2011 16:30
9623,GOOG,9624,10/13/2011 14:08,553.47,553.82,553.47,553.57,3800,10/13/2011 16:30
9624,GOOG,9625,10/13/2011 14:09,553.57,554.07,553.57,553.98,2700,10/13/2011 16:30
9625,GOOG,9626,10/13/2011 14:10,553.66,554.0588,553.66,553.95,1200,10/13/2011 16:30
9626,GOOG,9627,10/13/2011 14:11,554.0488,554.05,553.6001,553.91,1800,10/13/2011 16:30
9627,GOOG,9628,10/13/2011 14:12,553.82,553.83,553.57,553.62,1500,10/13/2011 16:30
9628,GOOG,9629,10/13/2011 14:13,553.6,553.76,553.54,553.54,1100,10/13/2011 16:30
9629,GOOG,9630,10/13/2011 14:14,553.68,553.81,553.53,553.684,3000,10/13/2011 16:30
9630,GOOG,9631,10/13/2011 14:15,553.68,553.88,553.68,553.88,2000,10/13/2011 16:30
9631,GOOG,9632,10/13/2011 14:16,553.89,554.13,553.87,554.13,3900,10/13/2011 16:30
9632,GOOG,9633,10/13/2011 14:17,554.11,554.23,553.99,554.23,2200,10/13/2011 16:30
9633,GOOG,9634,10/13/2011 14:18,554.3915,554.3915,554.08,554.2,3800,10/13/2011 16:30
9634,GOOG,9635,10/13/2011 14:19,554.19,554.2,554.01,554.2,2200,10/13/2011 16:30
9635,GOOG,9636,10/13/2011 14:20,554.2,554.2,553.88,553.92,3500,10/13/2011 16:30
9636,GOOG,9637,10/13/2011 14:21,554.24,554.25,554,554.25,5800,10/13/2011 16:30
9637,GOOG,9638,10/13/2011 14:22,554.14,554.25,553.56,553.639,7100,10/13/2011 16:30
9638,GOOG,9639,10/13/2011 14:23,553.61,553.9588,553.61,553.908,1700,10/13/2011 16:30
9639,GOOG,9640,10/13/2011 14:24,553.631,553.93,553.63,553.81,4100,10/13/2011 16:30
9640,GOOG,9641,10/13/2011 14:25,553.888,553.95,553.62,553.95,4800,10/13/2011 16:30
9641,GOOG,9642,10/13/2011 14:26,553.73,553.75,552.68,552.78,18900,10/13/2011 16:30
9642,GOOG,9643,10/13/2011 14:27,552.84,553.3687,552.84,553.156,1700,10/13/2011 16:30
9643,GOOG,9644,10/13/2011 14:28,553.3677,553.45,553.12,553.45,3700,10/13/2011 16:30
9644,GOOG,9645,10/13/2011 14:29,553.16,553.38,553.16,553.305,4500,10/13/2011 16:30
9645,GOOG,9646,10/13/2011 14:30,553.325,553.48,553.192,553.33,6100,10/13/2011 16:30
9646,GOOG,9647,10/13/2011 14:31,553.47,553.63,553.07,553.44,13800,10/13/2011 16:30
9647,GOOG,9648,10/13/2011 14:32,553.68,554.33,553.44,554.136,22800,10/13/2011 16:30
9648,GOOG,9649,10/13/2011 14:33,554.33,554.67,554.33,554.47,3700,10/13/2011 16:30
9649,GOOG,9650,10/13/2011 14:34,554.47,554.48,554.208,554.3,4600,10/13/2011 16:30
9650,GOOG,9651,10/13/2011 14:35,554.244,554.47,554.244,554.452,2800,10/13/2011 16:30
9651,GOOG,9652,10/13/2011 14:36,554.39,554.8,554.39,554.76,13300,10/13/2011 16:30
9652,GOOG,9653,10/13/2011 14:37,554.72,554.78,554.49,554.78,3500,10/13/2011 16:30
9653,GOOG,9654,10/13/2011 14:38,554.79,554.86,554.58,554.81,13100,10/13/2011 16:30
9654,GOOG,9655,10/13/2011 14:39,554.87,555,554.63,554.72,9700,10/13/2011 16:30
9655,GOOG,9656,10/13/2011 14:40,554.65,554.9788,554.56,554.84,6500,10/13/2011 16:30
9656,GOOG,9657,10/13/2011 14:41,554.7935,554.7935,554.58,554.59,1900,10/13/2011 16:30
9657,GOOG,9658,10/13/2011 14:42,554.38,554.77,554.23,554.6,10500,10/13/2011 16:30
