index,symbol,nr,timestamp,open,high,low,close,volume,release_script
7687,HBAN,7688,10/19/2011 14:30,5.22,5.225,5.22,5.22,3100,10/20/2011 10:00
7688,HBAN,7689,10/19/2011 14:31,5.22,5.23,5.22,5.225,11600,10/20/2011 10:00
7689,HBAN,7690,10/19/2011 14:32,5.22,5.225,5.2,5.21,270000,10/20/2011 10:00
7690,HBAN,7691,10/19/2011 14:33,5.2,5.225,5.2,5.22,109800,10/20/2011 10:00
7691,HBAN,7692,10/19/2011 14:34,5.22,5.23,5.21,5.21,35100,10/20/2011 10:00
7692,HBAN,7693,10/19/2011 14:35,5.21,5.23,5.21,5.225,33100,10/20/2011 10:00
7693,HBAN,7694,10/19/2011 14:36,5.23,5.24,5.2283,5.23,62900,10/20/2011 10:00
7694,HBAN,7695,10/19/2011 14:37,5.23,5.24,5.23,5.235,2400,10/20/2011 10:00
7695,HBAN,7696,10/19/2011 14:38,5.24,5.24,5.235,5.235,17000,10/20/2011 10:00
7696,HBAN,7697,10/19/2011 14:39,5.24,5.24,5.235,5.24,4700,10/20/2011 10:00
7697,HBAN,7698,10/19/2011 14:40,5.235,5.24,5.2325,5.24,21800,10/20/2011 10:00
7698,HBAN,7699,10/19/2011 14:41,5.24,5.25,5.24,5.2499,31100,10/20/2011 10:00
7699,HBAN,7700,10/19/2011 14:42,5.25,5.255,5.24,5.245,86100,10/20/2011 10:00
7700,HBAN,7701,10/19/2011 14:43,5.24,5.25,5.24,5.25,16300,10/20/2011 10:00
7701,HBAN,7702,10/19/2011 14:44,5.24,5.2501,5.24,5.2501,47600,10/20/2011 10:00
7702,HBAN,7703,10/19/2011 14:45,5.255,5.255,5.25,5.255,4000,10/20/2011 10:00
7703,HBAN,7704,10/19/2011 14:46,5.255,5.255,5.25,5.255,900,10/20/2011 10:00
7704,HBAN,7705,10/19/2011 14:47,5.25,5.255,5.24,5.25,102300,10/20/2011 10:00
7705,HBAN,7706,10/19/2011 14:48,5.255,5.27,5.25,5.27,125100,10/20/2011 10:00
7706,HBAN,7707,10/19/2011 14:49,5.265,5.28,5.265,5.275,28500,10/20/2011 10:00
7707,HBAN,7708,10/19/2011 14:50,5.275,5.275,5.255,5.255,131200,10/20/2011 10:00
7708,HBAN,7709,10/19/2011 14:51,5.25,5.26,5.25,5.25,4600,10/20/2011 10:00
7709,HBAN,7710,10/19/2011 14:52,5.255,5.26,5.25,5.25,15500,10/20/2011 10:00
7710,HBAN,7711,10/19/2011 14:53,5.26,5.27,5.255,5.265,73800,10/20/2011 10:00
7711,HBAN,7712,10/19/2011 14:54,5.265,5.27,5.26,5.26,9400,10/20/2011 10:00
7712,HBAN,7713,10/19/2011 14:55,5.26,5.27,5.25,5.255,54700,10/20/2011 10:00
7713,HBAN,7714,10/19/2011 14:56,5.25,5.255,5.25,5.25,3200,10/20/2011 10:00
7714,HBAN,7715,10/19/2011 14:57,5.255,5.26,5.25,5.25,8700,10/20/2011 10:00
7715,HBAN,7716,10/19/2011 14:58,5.25,5.26,5.24,5.24,143700,10/20/2011 10:00
7716,HBAN,7717,10/19/2011 14:59,5.2471,5.25,5.24,5.25,7000,10/20/2011 10:00
7717,HBAN,7718,10/19/2011 15:00,5.24,5.245,5.24,5.24,5000,10/20/2011 10:00
7718,HBAN,7719,10/19/2011 15:01,5.24,5.25,5.23,5.23,113600,10/20/2011 10:00
7719,HBAN,7720,10/19/2011 15:02,5.23,5.24,5.23,5.23,12600,10/20/2011 10:00
7720,HBAN,7721,10/19/2011 15:03,5.23,5.235,5.23,5.23,33000,10/20/2011 10:00
7721,HBAN,7722,10/19/2011 15:04,5.23,5.2398,5.23,5.23,11700,10/20/2011 10:00
7722,HBAN,7723,10/19/2011 15:05,5.2325,5.24,5.23,5.23,21200,10/20/2011 10:00
7723,HBAN,7724,10/19/2011 15:06,5.24,5.24,5.22,5.22,81900,10/20/2011 10:00
7724,HBAN,7725,10/19/2011 15:07,5.22,5.23,5.22,5.22,23300,10/20/2011 10:00
7725,HBAN,7726,10/19/2011 15:08,5.22,5.23,5.22,5.22,5300,10/20/2011 10:00
7726,HBAN,7727,10/19/2011 15:09,5.23,5.25,5.22,5.242,83400,10/20/2011 10:00
7727,HBAN,7728,10/19/2011 15:10,5.24,5.245,5.22,5.22,102900,10/20/2011 10:00
7728,HBAN,7729,10/19/2011 15:11,5.225,5.23,5.22,5.22,5600,10/20/2011 10:00
7729,HBAN,7730,10/19/2011 15:12,5.225,5.235,5.22,5.22,155800,10/20/2011 10:00
7730,HBAN,7731,10/19/2011 15:13,5.22,5.23,5.22,5.22,18600,10/20/2011 10:00
7731,HBAN,7732,10/19/2011 15:14,5.23,5.23,5.22,5.22,1700,10/20/2011 10:00
7732,HBAN,7733,10/19/2011 15:15,5.225,5.23,5.22,5.22,3400,10/20/2011 10:00
7733,HBAN,7734,10/19/2011 15:16,5.225,5.23,5.22,5.2299,61100,10/20/2011 10:00
7734,HBAN,7735,10/19/2011 15:17,5.225,5.23,5.22,5.22,30700,10/20/2011 10:00
7735,HBAN,7736,10/19/2011 15:18,5.225,5.23,5.22,5.23,9300,10/20/2011 10:00
7736,HBAN,7737,10/19/2011 15:19,5.23,5.23,5.22,5.23,15200,10/20/2011 10:00
7737,HBAN,7738,10/19/2011 15:20,5.23,5.23,5.22,5.22,17400,10/20/2011 10:00
7738,HBAN,7739,10/19/2011 15:21,5.22,5.23,5.22,5.23,8800,10/20/2011 10:00
7739,HBAN,7740,10/19/2011 15:22,5.22,5.23,5.22,5.225,7000,10/20/2011 10:00
7740,HBAN,7741,10/19/2011 15:23,5.225,5.23,5.22,5.22,60500,10/20/2011 10:00
7741,HBAN,7742,10/19/2011 15:24,5.22,5.23,5.22,5.23,7500,10/20/2011 10:00
7742,HBAN,7743,10/19/2011 15:25,5.23,5.23,5.22,5.225,10900,10/20/2011 10:00
7743,HBAN,7744,10/19/2011 15:26,5.23,5.23,5.2,5.2,175600,10/20/2011 10:00
7744,HBAN,7745,10/19/2011 15:27,5.2,5.21,5.2,5.2,5000,10/20/2011 10:00
7745,HBAN,7746,10/19/2011 15:28,5.2,5.21,5.2,5.2,13500,10/20/2011 10:00
7746,HBAN,7747,10/19/2011 15:29,5.2,5.21,5.2,5.21,19500,10/20/2011 10:00
7747,HBAN,7748,10/19/2011 15:30,5.21,5.21,5.2,5.2,73900,10/20/2011 10:00
7748,HBAN,7749,10/19/2011 15:31,5.21,5.23,5.2,5.23,122800,10/20/2011 10:00
7749,HBAN,7750,10/19/2011 15:32,5.23,5.25,5.23,5.25,48200,10/20/2011 10:00
7750,HBAN,7751,10/19/2011 15:33,5.24,5.25,5.24,5.25,21400,10/20/2011 10:00
7751,HBAN,7752,10/19/2011 15:34,5.25,5.25,5.23,5.23,95500,10/20/2011 10:00
7752,HBAN,7753,10/19/2011 15:35,5.23,5.25,5.22,5.245,226300,10/20/2011 10:00
7753,HBAN,7754,10/19/2011 15:36,5.24,5.25,5.23,5.24,285600,10/20/2011 10:00
7754,HBAN,7755,10/19/2011 15:37,5.24,5.25,5.24,5.24,140500,10/20/2011 10:00
7755,HBAN,7756,10/19/2011 15:38,5.25,5.25,5.24,5.24,17400,10/20/2011 10:00
7756,HBAN,7757,10/19/2011 15:39,5.24,5.25,5.24,5.25,39200,10/20/2011 10:00
7757,HBAN,7758,10/19/2011 15:40,5.24,5.25,5.24,5.24,201000,10/20/2011 10:00
7758,HBAN,7759,10/19/2011 15:41,5.24,5.24,5.23,5.24,160200,10/20/2011 10:00
7759,HBAN,7760,10/19/2011 15:42,5.24,5.24,5.22,5.23,179500,10/20/2011 10:00
7760,HBAN,7761,10/19/2011 15:43,5.23,5.25,5.23,5.25,196200,10/20/2011 10:00
7761,HBAN,7762,10/19/2011 15:44,5.25,5.28,5.25,5.27,212600,10/20/2011 10:00
7762,HBAN,7763,10/19/2011 15:45,5.26,5.265,5.24,5.24,66700,10/20/2011 10:00
7763,HBAN,7764,10/19/2011 15:46,5.24,5.25,5.23,5.25,125900,10/20/2011 10:00
7764,HBAN,7765,10/19/2011 15:47,5.25,5.27,5.24,5.27,115100,10/20/2011 10:00
7765,HBAN,7766,10/19/2011 15:48,5.26,5.27,5.26,5.265,49600,10/20/2011 10:00
7766,HBAN,7767,10/19/2011 15:49,5.265,5.28,5.26,5.27,146200,10/20/2011 10:00
7767,HBAN,7768,10/19/2011 15:50,5.28,5.28,5.27,5.279,230700,10/20/2011 10:00
7768,HBAN,7769,10/19/2011 15:51,5.275,5.28,5.265,5.27,179800,10/20/2011 10:00
7769,HBAN,7770,10/19/2011 15:52,5.275,5.28,5.26,5.26,100500,10/20/2011 10:00
7770,HBAN,7771,10/19/2011 15:53,5.265,5.27,5.25,5.25,101800,10/20/2011 10:00
7771,HBAN,7772,10/19/2011 15:54,5.255,5.26,5.24,5.25,185300,10/20/2011 10:00
7772,HBAN,7773,10/19/2011 15:55,5.255,5.26,5.25,5.25,109700,10/20/2011 10:00
7773,HBAN,7774,10/19/2011 15:56,5.25,5.26,5.24,5.24,211100,10/20/2011 10:00
7774,HBAN,7775,10/19/2011 15:57,5.245,5.25,5.23,5.24,164700,10/20/2011 10:00
7775,HBAN,7776,10/19/2011 15:58,5.24,5.25,5.23,5.235,261000,10/20/2011 10:00
7776,HBAN,7777,10/19/2011 15:59,5.235,5.24,5.22,5.23,404000,10/20/2011 10:00
7777,HBAN,7778,10/19/2011 16:00,5.23,5.23,5.23,5.23,1800,10/20/2011 10:00
7778,HBAN,7779,10/20/2011 9:30,4.99,4.99,4.96,4.97,1111000,10/20/2011 10:00
7779,HBAN,7780,10/20/2011 9:31,4.9698,4.97,4.95,4.97,173100,10/20/2011 10:00
7780,HBAN,7781,10/20/2011 9:32,4.9699,4.991,4.955,4.99,257800,10/20/2011 10:00
7781,HBAN,7782,10/20/2011 9:33,4.99,5.01,4.98,4.99,940900,10/20/2011 10:00
7782,HBAN,7783,10/20/2011 9:34,4.987,5,4.97,4.99,346000,10/20/2011 10:00
7783,HBAN,7784,10/20/2011 9:35,4.99,4.99,4.945,4.945,301000,10/20/2011 10:00
7784,HBAN,7785,10/20/2011 9:36,4.945,4.95,4.94,4.95,133900,10/20/2011 10:00
7785,HBAN,7786,10/20/2011 9:37,4.9457,4.95,4.92,4.9489,388200,10/20/2011 10:00
7786,HBAN,7787,10/20/2011 9:38,4.95,4.95,4.935,4.95,164900,10/20/2011 10:00
7787,HBAN,7788,10/20/2011 9:39,4.95,4.96,4.94,4.95,250000,10/20/2011 10:00
7788,HBAN,7789,10/20/2011 9:40,4.95,4.95,4.94,4.95,123800,10/20/2011 10:00
7789,HBAN,7790,10/20/2011 9:41,4.95,4.95,4.94,4.949,260200,10/20/2011 10:00
7790,HBAN,7791,10/20/2011 9:42,4.95,4.95,4.9,4.93,240500,10/20/2011 10:00
7791,HBAN,7792,10/20/2011 9:43,4.93,4.95,4.92,4.95,236400,10/20/2011 10:00
7792,HBAN,7793,10/20/2011 9:44,4.948,4.95,4.93,4.95,286600,10/20/2011 10:00
7793,HBAN,7794,10/20/2011 9:45,4.95,4.97,4.94,4.97,312600,10/20/2011 10:00
7794,HBAN,7795,10/20/2011 9:46,4.96,4.97,4.95,4.97,247000,10/20/2011 10:00
7795,HBAN,7796,10/20/2011 9:47,4.9698,4.97,4.95,4.95,52100,10/20/2011 10:00
7796,HBAN,7797,10/20/2011 9:48,4.96,4.965,4.95,4.96,310100,10/20/2011 10:00
7797,HBAN,7798,10/20/2011 9:49,4.96,4.975,4.9598,4.97,293800,10/20/2011 10:00
7798,HBAN,7799,10/20/2011 9:50,4.965,4.975,4.95,4.95,533400,10/20/2011 10:00
7799,HBAN,7800,10/20/2011 9:51,4.96,4.97,4.95,4.96,377000,10/20/2011 10:00
7800,HBAN,7801,10/20/2011 9:52,4.96,4.965,4.95,4.96,201600,10/20/2011 10:00
7801,HBAN,7802,10/20/2011 9:53,4.96,4.97,4.94,4.95,435300,10/20/2011 10:00
7802,HBAN,7803,10/20/2011 9:54,4.95,4.955,4.93,4.94,440800,10/20/2011 10:00
7803,HBAN,7804,10/20/2011 9:55,4.94,4.95,4.93,4.94,88900,10/20/2011 10:00
7804,HBAN,7805,10/20/2011 9:56,4.935,4.94,4.93,4.93,35100,10/20/2011 10:00
7805,HBAN,7806,10/20/2011 9:57,4.93,4.94,4.88,4.89,282800,10/20/2011 10:00
7806,HBAN,7807,10/20/2011 9:58,4.885,4.89,4.82,4.83,638900,10/20/2011 10:00
7807,HBAN,7808,10/20/2011 9:59,4.83,4.86,4.83,4.86,152800,10/20/2011 10:00
7808,HBAN,7809,10/20/2011 10:00,4.86,4.94,4.86,4.91,388900,10/20/2011 10:00
7809,HBAN,7810,10/20/2011 10:01,4.92,4.96,4.9,4.915,187600,10/20/2011 10:00
7810,HBAN,7811,10/20/2011 10:02,4.92,4.92,4.895,4.9,133900,10/20/2011 10:00
7811,HBAN,7812,10/20/2011 10:03,4.905,4.91,4.89,4.9,91800,10/20/2011 10:00
7812,HBAN,7813,10/20/2011 10:04,4.9,4.9,4.89,4.9,56200,10/20/2011 10:00
7813,HBAN,7814,10/20/2011 10:05,4.9,4.9,4.89,4.9,159800,10/20/2011 10:00
7814,HBAN,7815,10/20/2011 10:06,4.9,4.9,4.89,4.9,44100,10/20/2011 10:00
7815,HBAN,7816,10/20/2011 10:07,4.9,4.9,4.89,4.895,44500,10/20/2011 10:00
7816,HBAN,7817,10/20/2011 10:08,4.9,4.93,4.89,4.9116,183500,10/20/2011 10:00
7817,HBAN,7818,10/20/2011 10:09,4.91,4.91,4.9,4.91,81400,10/20/2011 10:00
7818,HBAN,7819,10/20/2011 10:10,4.9089,4.93,4.905,4.92,163500,10/20/2011 10:00
7819,HBAN,7820,10/20/2011 10:11,4.9197,4.925,4.9,4.9,221700,10/20/2011 10:00
7820,HBAN,7821,10/20/2011 10:12,4.9,4.91,4.9,4.9,33800,10/20/2011 10:00
7821,HBAN,7822,10/20/2011 10:13,4.9,4.91,4.9,4.9,135600,10/20/2011 10:00
7822,HBAN,7823,10/20/2011 10:14,4.91,4.96,4.9,4.935,262300,10/20/2011 10:00
7823,HBAN,7824,10/20/2011 10:15,4.91,4.95,4.91,4.93,724600,10/20/2011 10:00
7824,HBAN,7825,10/20/2011 10:16,4.925,4.96,4.92,4.95,1039500,10/20/2011 10:00
7825,HBAN,7826,10/20/2011 10:17,4.95,5.01,4.95,4.99,497900,10/20/2011 10:00
7826,HBAN,7827,10/20/2011 10:18,4.9997,5,4.97,4.97,446100,10/20/2011 10:00
7827,HBAN,7828,10/20/2011 10:19,4.97,4.97,4.95,4.95,138900,10/20/2011 10:00
7828,HBAN,7829,10/20/2011 10:20,4.9588,4.97,4.955,4.97,133000,10/20/2011 10:00
7829,HBAN,7830,10/20/2011 10:21,4.965,4.97,4.955,4.97,149500,10/20/2011 10:00
7830,HBAN,7831,10/20/2011 10:22,4.9688,4.99,4.96,4.98,279100,10/20/2011 10:00
7831,HBAN,7832,10/20/2011 10:23,4.98,4.98,4.96,4.97,136900,10/20/2011 10:00
7832,HBAN,7833,10/20/2011 10:24,4.965,4.97,4.95,4.97,112500,10/20/2011 10:00
7833,HBAN,7834,10/20/2011 10:25,4.965,4.98,4.96,4.98,238600,10/20/2011 10:00
7834,HBAN,7835,10/20/2011 10:26,4.98,4.98,4.96,4.97,196300,10/20/2011 10:00
7835,HBAN,7836,10/20/2011 10:27,4.97,4.97,4.961,4.97,256000,10/20/2011 10:00
7836,HBAN,7837,10/20/2011 10:28,4.965,4.97,4.96,4.97,82600,10/20/2011 10:00
7837,HBAN,7838,10/20/2011 10:29,4.965,4.97,4.96,4.965,36100,10/20/2011 10:00
7838,HBAN,7839,10/20/2011 10:30,4.97,4.97,4.95,4.96,237200,10/20/2011 10:00
7839,HBAN,7840,10/20/2011 10:31,4.96,4.97,4.95,4.96,193600,10/20/2011 10:00
7840,HBAN,7841,10/20/2011 10:32,4.96,4.96,4.95,4.96,74000,10/20/2011 10:00
7841,HBAN,7842,10/20/2011 10:33,4.96,4.96,4.955,4.96,152700,10/20/2011 10:00
7842,HBAN,7843,10/20/2011 10:34,4.955,4.96,4.95,4.96,9500,10/20/2011 10:00
7843,HBAN,7844,10/20/2011 10:35,4.955,4.99,4.95,4.98,673400,10/20/2011 10:00
7844,HBAN,7845,10/20/2011 10:36,4.985,5.01,4.98,4.99,288800,10/20/2011 10:00
7845,HBAN,7846,10/20/2011 10:37,4.9898,4.99,4.95,4.96,177800,10/20/2011 10:00
7846,HBAN,7847,10/20/2011 10:38,4.96,4.97,4.95,4.965,121200,10/20/2011 10:00
7847,HBAN,7848,10/20/2011 10:39,4.97,4.97,4.95,4.965,325300,10/20/2011 10:00
7848,HBAN,7849,10/20/2011 10:40,4.97,4.97,4.95,4.955,179100,10/20/2011 10:00
