index,symbol,nr,timestamp,open,high,low,close,volume,release_script
20178,HPQ,20179,11/21/2011 14:00,26.7,26.7,26.68,26.69,36800,11/21/2011 17:00
20179,HPQ,20180,11/21/2011 14:01,26.6825,26.6825,26.67,26.68,24900,11/21/2011 17:00
20180,HPQ,20181,11/21/2011 14:02,26.68,26.71,26.675,26.71,16900,11/21/2011 17:00
20181,HPQ,20182,11/21/2011 14:03,26.7185,26.745,26.71,26.73,38600,11/21/2011 17:00
20182,HPQ,20183,11/21/2011 14:04,26.73,26.73,26.71,26.73,24000,11/21/2011 17:00
20183,HPQ,20184,11/21/2011 14:05,26.72,26.73,26.72,26.72,33700,11/21/2011 17:00
20184,HPQ,20185,11/21/2011 14:06,26.725,26.73,26.72,26.72,38000,11/21/2011 17:00
20185,HPQ,20186,11/21/2011 14:07,26.73,26.74,26.73,26.73,31300,11/21/2011 17:00
20186,HPQ,20187,11/21/2011 14:08,26.735,26.74,26.73,26.74,15900,11/21/2011 17:00
20187,HPQ,20188,11/21/2011 14:09,26.74,26.77,26.74,26.76,40300,11/21/2011 17:00
20188,HPQ,20189,11/21/2011 14:10,26.757,26.83,26.757,26.83,59300,11/21/2011 17:00
20189,HPQ,20190,11/21/2011 14:11,26.82,26.83,26.79,26.83,52700,11/21/2011 17:00
20190,HPQ,20191,11/21/2011 14:12,26.83,26.865,26.825,26.86,46100,11/21/2011 17:00
20191,HPQ,20192,11/21/2011 14:13,26.87,26.91,26.87,26.89,70300,11/21/2011 17:00
20192,HPQ,20193,11/21/2011 14:14,26.89,26.89,26.87,26.89,69300,11/21/2011 17:00
20193,HPQ,20194,11/21/2011 14:15,26.9,26.91,26.89,26.91,26100,11/21/2011 17:00
20194,HPQ,20195,11/21/2011 14:16,26.9,26.905,26.87,26.89,49700,11/21/2011 17:00
20195,HPQ,20196,11/21/2011 14:17,26.89,26.93,26.89,26.93,36400,11/21/2011 17:00
20196,HPQ,20197,11/21/2011 14:18,26.94,27.02,26.94,27.02,150200,11/21/2011 17:00
20197,HPQ,20198,11/21/2011 14:19,27.02,27.02,26.975,26.99,121100,11/21/2011 17:00
20198,HPQ,20199,11/21/2011 14:20,26.98,27.005,26.98,27.005,28300,11/21/2011 17:00
20199,HPQ,20200,11/21/2011 14:21,27,27.01,26.99,27.01,105900,11/21/2011 17:00
