index,symbol,nr,timestamp,open,high,low,close,volume,release_script
12986,LMT,12987,10/26/2011 12:00,76.06,76.19,76.06,76.19,4200,10/26/2011 14:00
12987,LMT,12988,10/26/2011 12:01,76.19,76.22,76.16,76.18,3800,10/26/2011 14:00
12988,LMT,12989,10/26/2011 12:02,76.16,76.19,76.15,76.19,1700,10/26/2011 14:00
12989,LMT,12990,10/26/2011 12:03,76.18,76.2,76.17,76.2,1700,10/26/2011 14:00
12990,LMT,12991,10/26/2011 12:04,76.21,76.34,76.2,76.32,8600,10/26/2011 14:00
12991,LMT,12992,10/26/2011 12:05,76.32,76.41,76.28,76.4,6900,10/26/2011 14:00
12992,LMT,12993,10/26/2011 12:06,76.39,76.39,76.33,76.37,3100,10/26/2011 14:00
12993,LMT,12994,10/26/2011 12:07,76.37,76.38,76.29,76.3,8400,10/26/2011 14:00
12994,LMT,12995,10/26/2011 12:08,76.32,76.35,76.3,76.33,4900,10/26/2011 14:00
12995,LMT,12996,10/26/2011 12:09,76.335,76.43,76.33,76.38,5800,10/26/2011 14:00
12996,LMT,12997,10/26/2011 12:10,76.41,76.41,76.31,76.32,8500,10/26/2011 14:00
12997,LMT,12998,10/26/2011 12:11,76.32,76.32,76.21,76.25,4200,10/26/2011 14:00
12998,LMT,12999,10/26/2011 12:12,76.24,76.24,76.19,76.195,3100,10/26/2011 14:00
12999,LMT,13000,10/26/2011 12:13,76.2,76.2,76.0403,76.08,2700,10/26/2011 14:00
13000,LMT,13001,10/26/2011 12:14,76.08,76.08,76.029,76.03,3100,10/26/2011 14:00
13001,LMT,13002,10/26/2011 12:15,76.015,76.205,76.015,76.205,13100,10/26/2011 14:00
13002,LMT,13003,10/26/2011 12:16,76.22,76.22,76.17,76.22,4700,10/26/2011 14:00
13003,LMT,13004,10/26/2011 12:17,76.22,76.24,76.2,76.2,900,10/26/2011 14:00
13004,LMT,13005,10/26/2011 12:18,76.2,76.21,76.19,76.21,2100,10/26/2011 14:00
13005,LMT,13006,10/26/2011 12:19,76.19,76.21,76.19,76.19,500,10/26/2011 14:00
13006,LMT,13007,10/26/2011 12:20,76.18,76.24,76.17,76.24,8100,10/26/2011 14:00
13007,LMT,13008,10/26/2011 12:21,76.24,76.34,76.22,76.29,10700,10/26/2011 14:00
13008,LMT,13009,10/26/2011 12:22,76.27,76.29,76.23,76.23,5600,10/26/2011 14:00
13009,LMT,13010,10/26/2011 12:23,76.23,76.2382,76.1,76.16,6000,10/26/2011 14:00
13010,LMT,13011,10/26/2011 12:24,76.1202,76.24,76.12,76.24,10300,10/26/2011 14:00
13011,LMT,13012,10/26/2011 12:25,76.24,76.33,76.24,76.33,13000,10/26/2011 14:00
13012,LMT,13013,10/26/2011 12:26,76.3,76.4,76.29,76.4,6700,10/26/2011 14:00
13013,LMT,13014,10/26/2011 12:27,76.4,76.46,76.35,76.46,10800,10/26/2011 14:00
13014,LMT,13015,10/26/2011 12:28,76.44,76.63,76.4,76.5912,9000,10/26/2011 14:00
13015,LMT,13016,10/26/2011 12:29,76.61,76.63,76.54,76.63,4400,10/26/2011 14:00
13016,LMT,13017,10/26/2011 12:30,76.63,76.64,76.38,76.4,14300,10/26/2011 14:00
13017,LMT,13018,10/26/2011 12:31,76.42,76.42,76.34,76.36,23900,10/26/2011 14:00
13018,LMT,13019,10/26/2011 12:32,76.4,76.4,76.28,76.31,1800,10/26/2011 14:00
13019,LMT,13020,10/26/2011 12:33,76.29,76.31,76.24,76.29,3700,10/26/2011 14:00
13020,LMT,13021,10/26/2011 12:34,76.29,76.29,76.24,76.26,2500,10/26/2011 14:00
13021,LMT,13022,10/26/2011 12:35,76.24,76.33,76.24,76.32,4300,10/26/2011 14:00
13022,LMT,13023,10/26/2011 12:36,76.32,76.49,76.32,76.47,2500,10/26/2011 14:00
13023,LMT,13024,10/26/2011 12:37,76.5,76.5,76.45,76.49,1800,10/26/2011 14:00
13024,LMT,13025,10/26/2011 12:38,76.49,76.53,76.4615,76.53,2900,10/26/2011 14:00
13025,LMT,13026,10/26/2011 12:39,76.5,76.51,76.47,76.51,2900,10/26/2011 14:00
13026,LMT,13027,10/26/2011 12:40,76.48,76.52,76.46,76.47,11300,10/26/2011 14:00
13027,LMT,13028,10/26/2011 12:41,76.45,76.52,76.32,76.47,14200,10/26/2011 14:00
13028,LMT,13029,10/26/2011 12:42,76.46,76.51,76.46,76.51,3300,10/26/2011 14:00
13029,LMT,13030,10/26/2011 12:43,76.51,76.53,76.5,76.53,1100,10/26/2011 14:00
13030,LMT,13031,10/26/2011 12:44,76.5125,76.52,76.491,76.5001,2500,10/26/2011 14:00
13031,LMT,13032,10/26/2011 12:45,76.52,76.52,76.5,76.5,2200,10/26/2011 14:00
13032,LMT,13033,10/26/2011 12:46,76.5,76.52,76.46,76.46,2900,10/26/2011 14:00
13033,LMT,13034,10/26/2011 12:47,76.46,76.4976,76.44,76.472,5500,10/26/2011 14:00
13034,LMT,13035,10/26/2011 12:48,76.49,76.51,76.49,76.49,500,10/26/2011 14:00
13035,LMT,13036,10/26/2011 12:49,76.49,76.5,76.47,76.47,600,10/26/2011 14:00
13036,LMT,13037,10/26/2011 12:50,76.47,76.526,76.47,76.52,26300,10/26/2011 14:00
