index,symbol,nr,timestamp,open,high,low,close,volume,release_script
12283,LVLT,12284,11/1/2011 14:30,25.43,25.465,25.43,25.44,400,11/2/2011 10:00
12284,LVLT,12285,11/1/2011 14:31,25.4699,25.5,25.46,25.5,3300,11/2/2011 10:00
12285,LVLT,12286,11/1/2011 14:32,25.5099,25.52,25.5,25.5199,2900,11/2/2011 10:00
12286,LVLT,12287,11/1/2011 14:33,25.53,25.59,25.53,25.575,2200,11/2/2011 10:00
12287,LVLT,12288,11/1/2011 14:34,25.575,25.6,25.57,25.5799,3400,11/2/2011 10:00
12288,LVLT,12289,11/1/2011 14:35,25.57,25.68,25.57,25.58,10400,11/2/2011 10:00
12289,LVLT,12290,11/1/2011 14:36,25.59,25.6,25.56,25.575,2400,11/2/2011 10:00
12290,LVLT,12291,11/1/2011 14:37,25.56,25.57,25.56,25.565,23900,11/2/2011 10:00
12291,LVLT,12292,11/1/2011 14:38,25.5615,25.66,25.56,25.65,14700,11/2/2011 10:00
12292,LVLT,12293,11/1/2011 14:39,25.65,25.66,25.62,25.62,8000,11/2/2011 10:00
12293,LVLT,12294,11/1/2011 14:40,25.61,25.61,25.55,25.56,3400,11/2/2011 10:00
12294,LVLT,12295,11/1/2011 14:41,25.56,25.57,25.55,25.56,3900,11/2/2011 10:00
12295,LVLT,12296,11/1/2011 14:42,25.58,25.58,25.55,25.55,2700,11/2/2011 10:00
12296,LVLT,12297,11/1/2011 14:43,25.55,25.555,25.4754,25.55,5700,11/2/2011 10:00
12297,LVLT,12298,11/1/2011 14:44,25.57,25.59,25.55,25.59,1800,11/2/2011 10:00
12298,LVLT,12299,11/1/2011 14:45,25.59,25.6,25.55,25.59,1600,11/2/2011 10:00
12299,LVLT,12300,11/1/2011 14:46,25.63,25.63,25.63,25.63,300,11/2/2011 10:00
12300,LVLT,12301,11/1/2011 14:47,25.591,25.62,25.58,25.58,900,11/2/2011 10:00
12301,LVLT,12302,11/1/2011 14:48,25.58,25.58,25.55,25.55,1200,11/2/2011 10:00
12302,LVLT,12303,11/1/2011 14:49,25.5201,25.53,25.52,25.53,1400,11/2/2011 10:00
12303,LVLT,12304,11/1/2011 14:50,25.49,25.56,25.49,25.56,2300,11/2/2011 10:00
12304,LVLT,12305,11/1/2011 14:51,25.57,25.57,25.555,25.555,500,11/2/2011 10:00
12305,LVLT,12306,11/1/2011 14:52,25.543,25.555,25.52,25.525,3600,11/2/2011 10:00
12306,LVLT,12307,11/1/2011 14:53,25.52,25.525,25.36,25.37,5700,11/2/2011 10:00
12307,LVLT,12308,11/1/2011 14:54,25.33,25.3302,25.28,25.28,7700,11/2/2011 10:00
12308,LVLT,12309,11/1/2011 14:55,25.27,25.285,25.27,25.285,300,11/2/2011 10:00
12309,LVLT,12310,11/1/2011 14:56,25.29,25.37,25.29,25.37,3200,11/2/2011 10:00
12310,LVLT,12311,11/1/2011 14:57,25.32,25.34,25.31,25.34,1200,11/2/2011 10:00
12311,LVLT,12312,11/1/2011 14:58,25.35,25.43,25.35,25.43,1000,11/2/2011 10:00
12312,LVLT,12313,11/1/2011 14:59,25.4,25.405,25.35,25.35,2900,11/2/2011 10:00
12313,LVLT,12314,11/1/2011 15:00,25.35,25.37,25.33,25.345,1500,11/2/2011 10:00
12314,LVLT,12315,11/1/2011 15:01,25.345,25.345,25.345,25.345,100,11/2/2011 10:00
12315,LVLT,12316,11/1/2011 15:02,25.33,25.33,25.29,25.3,1100,11/2/2011 10:00
12316,LVLT,12317,11/1/2011 15:03,25.25,25.26,25.18,25.195,5100,11/2/2011 10:00
