index,symbol,nr,timestamp,open,high,low,close,volume,release_script
11579,MSFT,11580,10/20/2011 14:00,26.87,26.9,26.86,26.8812,68800,10/20/2011 17:30
11580,MSFT,11581,10/20/2011 14:01,26.88,26.915,26.88,26.9,219100,10/20/2011 17:30
11581,MSFT,11582,10/20/2011 14:02,26.9,26.92,26.885,26.89,89200,10/20/2011 17:30
11582,MSFT,11583,10/20/2011 14:03,26.9,26.92,26.86,26.86,131800,10/20/2011 17:30
11583,MSFT,11584,10/20/2011 14:04,26.865,26.89,26.86,26.885,17900,10/20/2011 17:30
11584,MSFT,11585,10/20/2011 14:05,26.89,26.9,26.88,26.89,40900,10/20/2011 17:30
11585,MSFT,11586,10/20/2011 14:06,26.89,26.909,26.88,26.895,66200,10/20/2011 17:30
11586,MSFT,11587,10/20/2011 14:07,26.89,26.9,26.87,26.89,77400,10/20/2011 17:30
11587,MSFT,11588,10/20/2011 14:08,26.89,26.9,26.88,26.89,101100,10/20/2011 17:30
11588,MSFT,11589,10/20/2011 14:09,26.9,26.9,26.87,26.88,85000,10/20/2011 17:30
11589,MSFT,11590,10/20/2011 14:10,26.88,26.89,26.87,26.89,83500,10/20/2011 17:30
11590,MSFT,11591,10/20/2011 14:11,26.885,26.9,26.885,26.9,24900,10/20/2011 17:30
11591,MSFT,11592,10/20/2011 14:12,26.9,26.9,26.89,26.89,68700,10/20/2011 17:30
11592,MSFT,11593,10/20/2011 14:13,26.895,26.9,26.88,26.9,159600,10/20/2011 17:30
11593,MSFT,11594,10/20/2011 14:14,26.899,26.9,26.88,26.8988,161000,10/20/2011 17:30
11594,MSFT,11595,10/20/2011 14:15,26.9,26.93,26.895,26.93,141000,10/20/2011 17:30
11595,MSFT,11596,10/20/2011 14:16,26.92,26.93,26.91,26.91,95400,10/20/2011 17:30
11596,MSFT,11597,10/20/2011 14:17,26.91,26.9254,26.905,26.915,78200,10/20/2011 17:30
11597,MSFT,11598,10/20/2011 14:18,26.92,26.92,26.9,26.9,40600,10/20/2011 17:30
11598,MSFT,11599,10/20/2011 14:19,26.91,26.92,26.905,26.9191,90500,10/20/2011 17:30
11599,MSFT,11600,10/20/2011 14:20,26.9186,26.93,26.9,26.925,54600,10/20/2011 17:30
11600,MSFT,11601,10/20/2011 14:21,26.925,26.935,26.92,26.92,61600,10/20/2011 17:30
11601,MSFT,11602,10/20/2011 14:22,26.93,26.93,26.91,26.92,75300,10/20/2011 17:30
11602,MSFT,11603,10/20/2011 14:23,26.92,26.925,26.895,26.915,240600,10/20/2011 17:30
11603,MSFT,11604,10/20/2011 14:24,26.915,26.94,26.91,26.93,132700,10/20/2011 17:30
11604,MSFT,11605,10/20/2011 14:25,26.93,26.94,26.92,26.93,44400,10/20/2011 17:30
11605,MSFT,11606,10/20/2011 14:26,26.929,26.94,26.92,26.94,37300,10/20/2011 17:30
11606,MSFT,11607,10/20/2011 14:27,26.935,26.95,26.93,26.9385,95900,10/20/2011 17:30
11607,MSFT,11608,10/20/2011 14:28,26.94,26.94,26.93,26.93,17100,10/20/2011 17:30
11608,MSFT,11609,10/20/2011 14:29,26.94,26.94,26.91,26.92,144800,10/20/2011 17:30
11609,MSFT,11610,10/20/2011 14:30,26.92,26.92,26.91,26.91,23300,10/20/2011 17:30
11610,MSFT,11611,10/20/2011 14:31,26.92,26.93,26.9,26.9,78500,10/20/2011 17:30
11611,MSFT,11612,10/20/2011 14:32,26.91,26.95,26.905,26.94,114100,10/20/2011 17:30
11612,MSFT,11613,10/20/2011 14:33,26.945,26.95,26.925,26.93,89200,10/20/2011 17:30
11613,MSFT,11614,10/20/2011 14:34,26.93,26.93,26.92,26.925,74300,10/20/2011 17:30
11614,MSFT,11615,10/20/2011 14:35,26.92,26.95,26.92,26.936,83200,10/20/2011 17:30
11615,MSFT,11616,10/20/2011 14:36,26.937,26.94,26.92,26.9328,75500,10/20/2011 17:30
11616,MSFT,11617,10/20/2011 14:37,26.9388,26.965,26.93,26.955,147500,10/20/2011 17:30
11617,MSFT,11618,10/20/2011 14:38,26.95,26.98,26.95,26.98,55100,10/20/2011 17:30
11618,MSFT,11619,10/20/2011 14:39,26.98,27.04,26.9789,27.035,228500,10/20/2011 17:30
11619,MSFT,11620,10/20/2011 14:40,27.0361,27.045,26.99,26.99,385600,10/20/2011 17:30
11620,MSFT,11621,10/20/2011 14:41,26.9961,27,26.99,26.9912,43500,10/20/2011 17:30
11621,MSFT,11622,10/20/2011 14:42,26.995,27.01,26.99,26.99,152200,10/20/2011 17:30
11622,MSFT,11623,10/20/2011 14:43,27,27,26.95,26.97,176500,10/20/2011 17:30
11623,MSFT,11624,10/20/2011 14:44,26.9699,26.97,26.93,26.96,119600,10/20/2011 17:30
11624,MSFT,11625,10/20/2011 14:45,26.9595,26.964,26.95,26.9598,155200,10/20/2011 17:30
11625,MSFT,11626,10/20/2011 14:46,26.95,26.96,26.93,26.95,120900,10/20/2011 17:30
11626,MSFT,11627,10/20/2011 14:47,26.9594,26.97,26.92,26.93,136800,10/20/2011 17:30
11627,MSFT,11628,10/20/2011 14:48,26.94,26.955,26.935,26.95,60200,10/20/2011 17:30
11628,MSFT,11629,10/20/2011 14:49,26.94,26.954,26.91,26.95,158000,10/20/2011 17:30
11629,MSFT,11630,10/20/2011 14:50,26.94,26.9701,26.935,26.95,146400,10/20/2011 17:30
11630,MSFT,11631,10/20/2011 14:51,26.9518,26.97,26.94,26.94,59000,10/20/2011 17:30
11631,MSFT,11632,10/20/2011 14:52,26.95,27,26.945,26.9887,186100,10/20/2011 17:30
11632,MSFT,11633,10/20/2011 14:53,26.99,27.02,26.99,27.014,129900,10/20/2011 17:30
11633,MSFT,11634,10/20/2011 14:54,27.0101,27.04,27.01,27.04,171100,10/20/2011 17:30
11634,MSFT,11635,10/20/2011 14:55,27.04,27.06,27.04,27.0502,129300,10/20/2011 17:30
11635,MSFT,11636,10/20/2011 14:56,27.05,27.07,27.04,27.06,194300,10/20/2011 17:30
11636,MSFT,11637,10/20/2011 14:57,27.055,27.07,27.05,27.0569,50900,10/20/2011 17:30
11637,MSFT,11638,10/20/2011 14:58,27.05,27.06,27.03,27.05,113100,10/20/2011 17:30
11638,MSFT,11639,10/20/2011 14:59,27.04,27.06,27.04,27.055,53600,10/20/2011 17:30
11639,MSFT,11640,10/20/2011 15:00,27.06,27.08,27.04,27.07,124400,10/20/2011 17:30
11640,MSFT,11641,10/20/2011 15:01,27.08,27.09,27.07,27.082,51900,10/20/2011 17:30
11641,MSFT,11642,10/20/2011 15:02,27.09,27.1,27.08,27.095,170000,10/20/2011 17:30
11642,MSFT,11643,10/20/2011 15:03,27.09,27.1,27.08,27.095,97300,10/20/2011 17:30
11643,MSFT,11644,10/20/2011 15:04,27.0964,27.0964,27.06,27.06,139700,10/20/2011 17:30
11644,MSFT,11645,10/20/2011 15:05,27.065,27.07,27.0495,27.06,98500,10/20/2011 17:30
11645,MSFT,11646,10/20/2011 15:06,27.06,27.085,27.05,27.08,114300,10/20/2011 17:30
11646,MSFT,11647,10/20/2011 15:07,27.08,27.1,27.07,27.1,194000,10/20/2011 17:30
