index,symbol,nr,timestamp,open,high,low,close,volume,release_script
3395,MU,3396,9/29/2011 14:00,5.735,5.76,5.73,5.75,247000,9/29/2011 16:30
3396,MU,3397,9/29/2011 14:01,5.75,5.77,5.745,5.76,328900,9/29/2011 16:30
3397,MU,3398,9/29/2011 14:02,5.77,5.77,5.75,5.7501,177400,9/29/2011 16:30
3398,MU,3399,9/29/2011 14:03,5.75,5.7501,5.74,5.74,84300,9/29/2011 16:30
3399,MU,3400,9/29/2011 14:04,5.7405,5.7405,5.71,5.71,393500,9/29/2011 16:30
3400,MU,3401,9/29/2011 14:05,5.7,5.705,5.69,5.695,337300,9/29/2011 16:30
3401,MU,3402,9/29/2011 14:06,5.69,5.7,5.68,5.68,305800,9/29/2011 16:30
3402,MU,3403,9/29/2011 14:07,5.6899,5.69,5.67,5.675,114900,9/29/2011 16:30
3403,MU,3404,9/29/2011 14:08,5.675,5.6798,5.66,5.66,134100,9/29/2011 16:30
3404,MU,3405,9/29/2011 14:09,5.6608,5.67,5.66,5.6699,102900,9/29/2011 16:30
3405,MU,3406,9/29/2011 14:10,5.66,5.6601,5.63,5.64,517300,9/29/2011 16:30
3406,MU,3407,9/29/2011 14:11,5.64,5.65,5.64,5.65,125700,9/29/2011 16:30
3407,MU,3408,9/29/2011 14:12,5.65,5.65,5.64,5.6401,128500,9/29/2011 16:30
3408,MU,3409,9/29/2011 14:13,5.645,5.65,5.63,5.63,74300,9/29/2011 16:30
3409,MU,3410,9/29/2011 14:14,5.63,5.64,5.61,5.61,296200,9/29/2011 16:30
3410,MU,3411,9/29/2011 14:15,5.61,5.675,5.61,5.67,351300,9/29/2011 16:30
3411,MU,3412,9/29/2011 14:16,5.67,5.68,5.67,5.675,138800,9/29/2011 16:30
3412,MU,3413,9/29/2011 14:17,5.68,5.68,5.65,5.679,257900,9/29/2011 16:30
3413,MU,3414,9/29/2011 14:18,5.68,5.68,5.67,5.679,49600,9/29/2011 16:30
