index,symbol,nr,timestamp,open,high,low,close,volume,release_script
17433,NVDA,17434,11/10/2011 14:00,14.48,14.49,14.48,14.485,62700,11/10/2011 17:00
17434,NVDA,17435,11/10/2011 14:01,14.48,14.485,14.45,14.45,27800,11/10/2011 17:00
17435,NVDA,17436,11/10/2011 14:02,14.45,14.455,14.42,14.42,35700,11/10/2011 17:00
17436,NVDA,17437,11/10/2011 14:03,14.42,14.43,14.41,14.43,78700,11/10/2011 17:00
17437,NVDA,17438,11/10/2011 14:04,14.43,14.43,14.4,14.4,53900,11/10/2011 17:00
17438,NVDA,17439,11/10/2011 14:05,14.4,14.42,14.4,14.42,32900,11/10/2011 17:00
17439,NVDA,17440,11/10/2011 14:06,14.4116,14.42,14.41,14.41,15100,11/10/2011 17:00
17440,NVDA,17441,11/10/2011 14:07,14.41,14.418,14.39,14.399,37500,11/10/2011 17:00
17441,NVDA,17442,11/10/2011 14:08,14.39,14.4,14.37,14.37,43200,11/10/2011 17:00
17442,NVDA,17443,11/10/2011 14:09,14.37,14.41,14.36,14.4,84000,11/10/2011 17:00
17443,NVDA,17444,11/10/2011 14:10,14.4005,14.41,14.4,14.41,21700,11/10/2011 17:00
17444,NVDA,17445,11/10/2011 14:11,14.41,14.42,14.4,14.42,20200,11/10/2011 17:00
17445,NVDA,17446,11/10/2011 14:12,14.4191,14.43,14.41,14.43,30400,11/10/2011 17:00
17446,NVDA,17447,11/10/2011 14:13,14.425,14.43,14.42,14.425,14200,11/10/2011 17:00
17447,NVDA,17448,11/10/2011 14:14,14.43,14.46,14.425,14.44,61100,11/10/2011 17:00
17448,NVDA,17449,11/10/2011 14:15,14.44,14.465,14.435,14.45,50300,11/10/2011 17:00
17449,NVDA,17450,11/10/2011 14:16,14.45,14.46,14.44,14.4597,13100,11/10/2011 17:00
17450,NVDA,17451,11/10/2011 14:17,14.46,14.49,14.45,14.48,41300,11/10/2011 17:00
17451,NVDA,17452,11/10/2011 14:18,14.49,14.49,14.45,14.45,52600,11/10/2011 17:00
17452,NVDA,17453,11/10/2011 14:19,14.45,14.48,14.45,14.469,55500,11/10/2011 17:00
17453,NVDA,17454,11/10/2011 14:20,14.46,14.47,14.44,14.45,34900,11/10/2011 17:00
17454,NVDA,17455,11/10/2011 14:21,14.45,14.47,14.44,14.46,26300,11/10/2011 17:00
17455,NVDA,17456,11/10/2011 14:22,14.46,14.46,14.43,14.45,33900,11/10/2011 17:00
17456,NVDA,17457,11/10/2011 14:23,14.46,14.47,14.45,14.47,16700,11/10/2011 17:00
17457,NVDA,17458,11/10/2011 14:24,14.46,14.5,14.45,14.49,43100,11/10/2011 17:00
17458,NVDA,17459,11/10/2011 14:25,14.49,14.5,14.47,14.4994,32500,11/10/2011 17:00
17459,NVDA,17460,11/10/2011 14:26,14.49,14.49,14.41,14.43,156400,11/10/2011 17:00
17460,NVDA,17461,11/10/2011 14:27,14.43,14.45,14.43,14.4473,83600,11/10/2011 17:00
17461,NVDA,17462,11/10/2011 14:28,14.45,14.48,14.4475,14.4602,58100,11/10/2011 17:00
17462,NVDA,17463,11/10/2011 14:29,14.46,14.47,14.45,14.47,21200,11/10/2011 17:00
17463,NVDA,17464,11/10/2011 14:30,14.4693,14.47,14.44,14.44,28400,11/10/2011 17:00
17464,NVDA,17465,11/10/2011 14:31,14.445,14.46,14.44,14.45,13700,11/10/2011 17:00
17465,NVDA,17466,11/10/2011 14:32,14.45,14.49,14.45,14.48,16500,11/10/2011 17:00
17466,NVDA,17467,11/10/2011 14:33,14.48,14.5,14.47,14.48,34900,11/10/2011 17:00
17467,NVDA,17468,11/10/2011 14:34,14.48,14.5,14.48,14.5,35900,11/10/2011 17:00
17468,NVDA,17469,11/10/2011 14:35,14.495,14.5,14.48,14.49,43200,11/10/2011 17:00
17469,NVDA,17470,11/10/2011 14:36,14.49,14.53,14.48,14.52,91900,11/10/2011 17:00
17470,NVDA,17471,11/10/2011 14:37,14.505,14.57,14.45,14.46,106900,11/10/2011 17:00
17471,NVDA,17472,11/10/2011 14:38,14.46,14.48,14.46,14.47,26800,11/10/2011 17:00
17472,NVDA,17473,11/10/2011 14:39,14.48,14.48,14.47,14.4701,17300,11/10/2011 17:00
17473,NVDA,17474,11/10/2011 14:40,14.48,14.48,14.46,14.47,27200,11/10/2011 17:00
17474,NVDA,17475,11/10/2011 14:41,14.46,14.515,14.46,14.49,70400,11/10/2011 17:00
17475,NVDA,17476,11/10/2011 14:42,14.49,14.5,14.48,14.49,15700,11/10/2011 17:00
17476,NVDA,17477,11/10/2011 14:43,14.49,14.52,14.48,14.51,43300,11/10/2011 17:00
17477,NVDA,17478,11/10/2011 14:44,14.52,14.52,14.51,14.51,5700,11/10/2011 17:00
17478,NVDA,17479,11/10/2011 14:45,14.52,14.52,14.49,14.4921,62300,11/10/2011 17:00
17479,NVDA,17480,11/10/2011 14:46,14.5,14.5,14.48,14.49,43300,11/10/2011 17:00
17480,NVDA,17481,11/10/2011 14:47,14.49,14.51,14.49,14.5,40000,11/10/2011 17:00
17481,NVDA,17482,11/10/2011 14:48,14.5,14.5,14.49,14.5,31900,11/10/2011 17:00
17482,NVDA,17483,11/10/2011 14:49,14.5,14.51,14.4999,14.5,22400,11/10/2011 17:00
17483,NVDA,17484,11/10/2011 14:50,14.5045,14.52,14.495,14.5,61000,11/10/2011 17:00
17484,NVDA,17485,11/10/2011 14:51,14.4999,14.51,14.48,14.48,36800,11/10/2011 17:00
17485,NVDA,17486,11/10/2011 14:52,14.48,14.49,14.48,14.48,19300,11/10/2011 17:00
17486,NVDA,17487,11/10/2011 14:53,14.48,14.5,14.48,14.5,33700,11/10/2011 17:00
17487,NVDA,17488,11/10/2011 14:54,14.495,14.495,14.47,14.47,30800,11/10/2011 17:00
17488,NVDA,17489,11/10/2011 14:55,14.4792,14.48,14.46,14.4603,55000,11/10/2011 17:00
17489,NVDA,17490,11/10/2011 14:56,14.465,14.49,14.46,14.46,55400,11/10/2011 17:00
17490,NVDA,17491,11/10/2011 14:57,14.47,14.47,14.45,14.459,36300,11/10/2011 17:00
17491,NVDA,17492,11/10/2011 14:58,14.45,14.46,14.45,14.45,21400,11/10/2011 17:00
17492,NVDA,17493,11/10/2011 14:59,14.45,14.455,14.405,14.4115,82700,11/10/2011 17:00
17493,NVDA,17494,11/10/2011 15:00,14.41,14.44,14.41,14.42,35700,11/10/2011 17:00
17494,NVDA,17495,11/10/2011 15:01,14.42,14.43,14.41,14.4182,34800,11/10/2011 17:00
17495,NVDA,17496,11/10/2011 15:02,14.42,14.44,14.41,14.44,102100,11/10/2011 17:00
17496,NVDA,17497,11/10/2011 15:03,14.44,14.48,14.44,14.47,53100,11/10/2011 17:00
17497,NVDA,17498,11/10/2011 15:04,14.47,14.48,14.45,14.47,56200,11/10/2011 17:00
17498,NVDA,17499,11/10/2011 15:05,14.47,14.47,14.46,14.465,18000,11/10/2011 17:00
