index,symbol,nr,timestamp,open,high,low,close,volume,release_script
12745,NWSA,12746,11/2/2011 14:00,16.63,16.66,16.62,16.65,186800,11/2/2011 16:30
12746,NWSA,12747,11/2/2011 14:01,16.65,16.66,16.62,16.64,106500,11/2/2011 16:30
12747,NWSA,12748,11/2/2011 14:02,16.64,16.66,16.62,16.62,135500,11/2/2011 16:30
12748,NWSA,12749,11/2/2011 14:03,16.62,16.62,16.601,16.61,66500,11/2/2011 16:30
12749,NWSA,12750,11/2/2011 14:04,16.63,16.65,16.63,16.645,125900,11/2/2011 16:30
12750,NWSA,12751,11/2/2011 14:05,16.64,16.67,16.63,16.65,239800,11/2/2011 16:30
12751,NWSA,12752,11/2/2011 14:06,16.655,16.675,16.65,16.67,125000,11/2/2011 16:30
12752,NWSA,12753,11/2/2011 14:07,16.67,16.685,16.66,16.67,58200,11/2/2011 16:30
12753,NWSA,12754,11/2/2011 14:08,16.66,16.67,16.64,16.66,48400,11/2/2011 16:30
12754,NWSA,12755,11/2/2011 14:09,16.65,16.665,16.64,16.665,58900,11/2/2011 16:30
12755,NWSA,12756,11/2/2011 14:10,16.66,16.665,16.62,16.62,111200,11/2/2011 16:30
12756,NWSA,12757,11/2/2011 14:11,16.62,16.65,16.62,16.65,37400,11/2/2011 16:30
12757,NWSA,12758,11/2/2011 14:12,16.65,16.68,16.63,16.66,101900,11/2/2011 16:30
12758,NWSA,12759,11/2/2011 14:13,16.665,16.6699,16.65,16.6587,21000,11/2/2011 16:30
12759,NWSA,12760,11/2/2011 14:14,16.65,16.66,16.64,16.65,78300,11/2/2011 16:30
12760,NWSA,12761,11/2/2011 14:15,16.64,16.65,16.63,16.65,79600,11/2/2011 16:30
12761,NWSA,12762,11/2/2011 14:16,16.65,16.685,16.64,16.66,103600,11/2/2011 16:30
12762,NWSA,12763,11/2/2011 14:17,16.66,16.68,16.6545,16.68,72100,11/2/2011 16:30
12763,NWSA,12764,11/2/2011 14:18,16.68,16.695,16.68,16.68,43300,11/2/2011 16:30
12764,NWSA,12765,11/2/2011 14:19,16.69,16.69,16.66,16.67,64300,11/2/2011 16:30
12765,NWSA,12766,11/2/2011 14:20,16.67,16.72,16.67,16.715,131100,11/2/2011 16:30
12766,NWSA,12767,11/2/2011 14:21,16.715,16.725,16.69,16.69,55900,11/2/2011 16:30
12767,NWSA,12768,11/2/2011 14:22,16.7,16.715,16.68,16.71,62200,11/2/2011 16:30
12768,NWSA,12769,11/2/2011 14:23,16.72,16.72,16.68,16.69,55100,11/2/2011 16:30
12769,NWSA,12770,11/2/2011 14:24,16.69,16.69,16.65,16.65,24500,11/2/2011 16:30
12770,NWSA,12771,11/2/2011 14:25,16.65,16.71,16.65,16.71,130100,11/2/2011 16:30
12771,NWSA,12772,11/2/2011 14:26,16.71,16.72,16.69,16.69,75000,11/2/2011 16:30
12772,NWSA,12773,11/2/2011 14:27,16.69,16.7,16.68,16.7,24200,11/2/2011 16:30
12773,NWSA,12774,11/2/2011 14:28,16.6997,16.7,16.67,16.68,100400,11/2/2011 16:30
12774,NWSA,12775,11/2/2011 14:29,16.68,16.68,16.67,16.68,42200,11/2/2011 16:30
12775,NWSA,12776,11/2/2011 14:30,16.67,16.7,16.65,16.7,51900,11/2/2011 16:30
12776,NWSA,12777,11/2/2011 14:31,16.7,16.705,16.68,16.69,55500,11/2/2011 16:30
12777,NWSA,12778,11/2/2011 14:32,16.7,16.715,16.69,16.71,211400,11/2/2011 16:30
12778,NWSA,12779,11/2/2011 14:33,16.71,16.71,16.69,16.7099,77600,11/2/2011 16:30
12779,NWSA,12780,11/2/2011 14:34,16.7,16.715,16.7,16.71,95100,11/2/2011 16:30
12780,NWSA,12781,11/2/2011 14:35,16.71,16.73,16.7,16.725,136800,11/2/2011 16:30
12781,NWSA,12782,11/2/2011 14:36,16.73,16.73,16.71,16.715,40300,11/2/2011 16:30
12782,NWSA,12783,11/2/2011 14:37,16.71,16.73,16.71,16.73,229100,11/2/2011 16:30
12783,NWSA,12784,11/2/2011 14:38,16.72,16.725,16.71,16.715,53200,11/2/2011 16:30
12784,NWSA,12785,11/2/2011 14:39,16.711,16.73,16.7,16.73,365300,11/2/2011 16:30
12785,NWSA,12786,11/2/2011 14:40,16.72,16.725,16.702,16.71,99000,11/2/2011 16:30
12786,NWSA,12787,11/2/2011 14:41,16.7,16.72,16.7,16.71,30100,11/2/2011 16:30
12787,NWSA,12788,11/2/2011 14:42,16.71,16.72,16.7,16.7199,71800,11/2/2011 16:30
12788,NWSA,12789,11/2/2011 14:43,16.71,16.72,16.69,16.695,73700,11/2/2011 16:30
12789,NWSA,12790,11/2/2011 14:44,16.695,16.71,16.69,16.71,38600,11/2/2011 16:30
12790,NWSA,12791,11/2/2011 14:45,16.705,16.72,16.705,16.72,26700,11/2/2011 16:30
12791,NWSA,12792,11/2/2011 14:46,16.72,16.73,16.71,16.72,222700,11/2/2011 16:30
12792,NWSA,12793,11/2/2011 14:47,16.72,16.7202,16.7097,16.71,229200,11/2/2011 16:30
12793,NWSA,12794,11/2/2011 14:48,16.71,16.72,16.7,16.7,93800,11/2/2011 16:30
12794,NWSA,12795,11/2/2011 14:49,16.705,16.71,16.7,16.7,41400,11/2/2011 16:30
12795,NWSA,12796,11/2/2011 14:50,16.71,16.75,16.705,16.74,196800,11/2/2011 16:30
12796,NWSA,12797,11/2/2011 14:51,16.74,16.745,16.71,16.72,179200,11/2/2011 16:30
12797,NWSA,12798,11/2/2011 14:52,16.72,16.72,16.71,16.72,12100,11/2/2011 16:30
12798,NWSA,12799,11/2/2011 14:53,16.715,16.72,16.71,16.72,130000,11/2/2011 16:30
12799,NWSA,12800,11/2/2011 14:54,16.72,16.72,16.71,16.715,45200,11/2/2011 16:30
12800,NWSA,12801,11/2/2011 14:55,16.72,16.72,16.71,16.72,86400,11/2/2011 16:30
12801,NWSA,12802,11/2/2011 14:56,16.72,16.73,16.71,16.73,158800,11/2/2011 16:30
12802,NWSA,12803,11/2/2011 14:57,16.73,16.73,16.72,16.73,64300,11/2/2011 16:30
12803,NWSA,12804,11/2/2011 14:58,16.73,16.73,16.71,16.72,46800,11/2/2011 16:30
12804,NWSA,12805,11/2/2011 14:59,16.72,16.73,16.71,16.725,27800,11/2/2011 16:30
12805,NWSA,12806,11/2/2011 15:00,16.73,16.74,16.725,16.74,47800,11/2/2011 16:30
