index,symbol,nr,timestamp,open,high,low,close,volume,release_script
8060,SNDK,8061,10/20/2011 14:00,45.76,45.85,45.75,45.84,38200,10/20/2011 17:00
8061,SNDK,8062,10/20/2011 14:01,45.85,45.9,45.83,45.84,14600,10/20/2011 17:00
8062,SNDK,8063,10/20/2011 14:02,45.83,45.85,45.71,45.76,48000,10/20/2011 17:00
8063,SNDK,8064,10/20/2011 14:03,45.76,45.8,45.67,45.68,25500,10/20/2011 17:00
8064,SNDK,8065,10/20/2011 14:04,45.7,45.84,45.7,45.83,13200,10/20/2011 17:00
8065,SNDK,8066,10/20/2011 14:05,45.83,45.87,45.82,45.86,12800,10/20/2011 17:00
8066,SNDK,8067,10/20/2011 14:06,45.85,45.87,45.79,45.81,21200,10/20/2011 17:00
8067,SNDK,8068,10/20/2011 14:07,45.78,45.87,45.775,45.86,14000,10/20/2011 17:00
8068,SNDK,8069,10/20/2011 14:08,45.84,45.86,45.78,45.83,10000,10/20/2011 17:00
8069,SNDK,8070,10/20/2011 14:09,45.84,45.84,45.75,45.76,6100,10/20/2011 17:00
8070,SNDK,8071,10/20/2011 14:10,45.76,45.81,45.76,45.7988,7800,10/20/2011 17:00
8071,SNDK,8072,10/20/2011 14:11,45.79,45.81,45.78,45.79,7300,10/20/2011 17:00
8072,SNDK,8073,10/20/2011 14:12,45.8,45.85,45.79,45.81,11900,10/20/2011 17:00
8073,SNDK,8074,10/20/2011 14:13,45.81,45.8201,45.77,45.8,10700,10/20/2011 17:00
8074,SNDK,8075,10/20/2011 14:14,45.8,45.85,45.74,45.84,31400,10/20/2011 17:00
8075,SNDK,8076,10/20/2011 14:15,45.828,45.93,45.81,45.93,28400,10/20/2011 17:00
8076,SNDK,8077,10/20/2011 14:16,45.93,45.93,45.79,45.79,18300,10/20/2011 17:00
8077,SNDK,8078,10/20/2011 14:17,45.78,45.79,45.74,45.76,15300,10/20/2011 17:00
8078,SNDK,8079,10/20/2011 14:18,45.76,45.76,45.67,45.73,19800,10/20/2011 17:00
8079,SNDK,8080,10/20/2011 14:19,45.74,45.78,45.71,45.7371,16500,10/20/2011 17:00
8080,SNDK,8081,10/20/2011 14:20,45.74,45.84,45.7,45.82,19300,10/20/2011 17:00
8081,SNDK,8082,10/20/2011 14:21,45.83,45.84,45.75,45.75,9200,10/20/2011 17:00
8082,SNDK,8083,10/20/2011 14:22,45.76,45.79,45.74,45.79,11100,10/20/2011 17:00
8083,SNDK,8084,10/20/2011 14:23,45.8,45.85,45.795,45.8312,10500,10/20/2011 17:00
8084,SNDK,8085,10/20/2011 14:24,45.83,45.89,45.81,45.89,15600,10/20/2011 17:00
8085,SNDK,8086,10/20/2011 14:25,45.9,45.92,45.87,45.91,22500,10/20/2011 17:00
8086,SNDK,8087,10/20/2011 14:26,45.9,45.95,45.8999,45.94,12400,10/20/2011 17:00
8087,SNDK,8088,10/20/2011 14:27,45.94,45.95,45.91,45.94,8200,10/20/2011 17:00
8088,SNDK,8089,10/20/2011 14:28,45.94,46,45.94,46,22000,10/20/2011 17:00
8089,SNDK,8090,10/20/2011 14:29,45.981,46,45.9515,45.96,22100,10/20/2011 17:00
8090,SNDK,8091,10/20/2011 14:30,45.97,46,45.9,45.9099,14100,10/20/2011 17:00
8091,SNDK,8092,10/20/2011 14:31,45.91,45.93,45.82,45.83,14500,10/20/2011 17:00
8092,SNDK,8093,10/20/2011 14:32,45.835,45.98,45.83,45.95,20900,10/20/2011 17:00
8093,SNDK,8094,10/20/2011 14:33,45.95,45.95,45.83,45.84,14500,10/20/2011 17:00
8094,SNDK,8095,10/20/2011 14:34,45.84,45.87,45.83,45.86,12000,10/20/2011 17:00
8095,SNDK,8096,10/20/2011 14:35,45.86,45.93,45.84,45.89,43600,10/20/2011 17:00
8096,SNDK,8097,10/20/2011 14:36,45.87,45.88,45.72,45.74,32800,10/20/2011 17:00
8097,SNDK,8098,10/20/2011 14:37,45.75,45.87,45.74,45.86,16100,10/20/2011 17:00
8098,SNDK,8099,10/20/2011 14:38,45.85,45.87,45.79,45.86,17600,10/20/2011 17:00
8099,SNDK,8100,10/20/2011 14:39,45.87,46.08,45.87,46.06,23800,10/20/2011 17:00
8100,SNDK,8101,10/20/2011 14:40,46.05,46.06,45.99,46.04,17900,10/20/2011 17:00
8101,SNDK,8102,10/20/2011 14:41,46.04,46.1,46.0112,46.09,39400,10/20/2011 17:00
8102,SNDK,8103,10/20/2011 14:42,46.09,46.11,46,46.03,38900,10/20/2011 17:00
8103,SNDK,8104,10/20/2011 14:43,46.03,46.05,45.97,46.0299,43900,10/20/2011 17:00
8104,SNDK,8105,10/20/2011 14:44,46.02,46.07,45.99,46.04,53600,10/20/2011 17:00
8105,SNDK,8106,10/20/2011 14:45,46.04,46.11,46.04,46.06,33300,10/20/2011 17:00
8106,SNDK,8107,10/20/2011 14:46,46.04,46.06,45.99,46.05,33900,10/20/2011 17:00
8107,SNDK,8108,10/20/2011 14:47,46.04,46.05,45.87,45.9,25700,10/20/2011 17:00
8108,SNDK,8109,10/20/2011 14:48,45.91,45.99,45.91,45.99,12900,10/20/2011 17:00
8109,SNDK,8110,10/20/2011 14:49,46,46.02,45.94,46,34000,10/20/2011 17:00
8110,SNDK,8111,10/20/2011 14:50,45.98,46.0936,45.96,46,15200,10/20/2011 17:00
8111,SNDK,8112,10/20/2011 14:51,45.98,46.04,45.95,45.99,14300,10/20/2011 17:00
