index,symbol,nr,timestamp,open,high,low,close,volume,release_script
11228,T,11229,10/19/11 14:30,29.14,29.14,29.13,29.13,54600,10/20/11 10:00
11229,T,11230,10/19/11 14:31,29.135,29.14,29.13,29.13,92400,10/20/11 10:00
11230,T,11231,10/19/11 14:32,29.13,29.14,29.125,29.135,99600,10/20/11 10:00
11231,T,11232,10/19/11 14:33,29.135,29.14,29.13,29.13,19700,10/20/11 10:00
11232,T,11233,10/19/11 14:34,29.13,29.16,29.13,29.15,53400,10/20/11 10:00
11233,T,11234,10/19/11 14:35,29.16,29.17,29.15,29.16,31300,10/20/11 10:00
11234,T,11235,10/19/11 14:36,29.165,29.1799,29.16,29.16,53500,10/20/11 10:00
11235,T,11236,10/19/11 14:37,29.1659,29.17,29.15,29.15,37200,10/20/11 10:00
11236,T,11237,10/19/11 14:38,29.15,29.159,29.14,29.15,75600,10/20/11 10:00
11237,T,11238,10/19/11 14:39,29.15,29.1552,29.13,29.14,90600,10/20/11 10:00
11238,T,11239,10/19/11 14:40,29.13,29.15,29.12,29.15,38400,10/20/11 10:00
11239,T,11240,10/19/11 14:41,29.15,29.1589,29.14,29.1442,29100,10/20/11 10:00
11240,T,11241,10/19/11 14:42,29.14,29.1429,29.12,29.12,40700,10/20/11 10:00
11241,T,11242,10/19/11 14:43,29.1205,29.129,29.09,29.1,50500,10/20/11 10:00
11242,T,11243,10/19/11 14:44,29.09,29.1071,29.08,29.1044,76900,10/20/11 10:00
11243,T,11244,10/19/11 14:45,29.1,29.107,29.09,29.0905,17300,10/20/11 10:00
11244,T,11245,10/19/11 14:46,29.09,29.1,29.085,29.095,18600,10/20/11 10:00
11245,T,11246,10/19/11 14:47,29.095,29.14,29.095,29.14,81700,10/20/11 10:00
11246,T,11247,10/19/11 14:48,29.14,29.15,29.13,29.145,15400,10/20/11 10:00
11247,T,11248,10/19/11 14:49,29.14,29.16,29.13,29.13,35800,10/20/11 10:00
11248,T,11249,10/19/11 14:50,29.14,29.14,29.13,29.13,49500,10/20/11 10:00
11249,T,11250,10/19/11 14:51,29.13,29.14,29.12,29.125,25900,10/20/11 10:00
11250,T,11251,10/19/11 14:52,29.12,29.16,29.11,29.145,91200,10/20/11 10:00
11251,T,11252,10/19/11 14:53,29.14,29.15,29.125,29.125,71000,10/20/11 10:00
11252,T,11253,10/19/11 14:54,29.12,29.13,29.1,29.1,39900,10/20/11 10:00
11253,T,11254,10/19/11 14:55,29.1,29.1,29.06,29.0829,63700,10/20/11 10:00
11254,T,11255,10/19/11 14:56,29.09,29.11,29.09,29.09,30300,10/20/11 10:00
11255,T,11256,10/19/11 14:57,29.1,29.1,29.08,29.085,27300,10/20/11 10:00
11256,T,11257,10/19/11 14:58,29.088,29.09,29.08,29.0801,57700,10/20/11 10:00
