index,symbol,nr,timestamp,open,high,low,close,volume,release_script
10740,UBS,10741,10/18/2011 14:00,11.81,11.82,11.81,11.81,3700,10/19/2011 9:00
10741,UBS,10742,10/18/2011 14:01,11.81,11.81,11.8,11.81,5300,10/19/2011 9:00
10742,UBS,10743,10/18/2011 14:02,11.8,11.81,11.8,11.8095,2200,10/19/2011 9:00
10743,UBS,10744,10/18/2011 14:03,11.81,11.81,11.8,11.8,2400,10/19/2011 9:00
10744,UBS,10745,10/18/2011 14:04,11.81,11.82,11.81,11.82,12500,10/19/2011 9:00
10745,UBS,10746,10/18/2011 14:05,11.81,11.83,11.81,11.83,2500,10/19/2011 9:00
10746,UBS,10747,10/18/2011 14:06,11.83,11.83,11.82,11.83,24500,10/19/2011 9:00
10747,UBS,10748,10/18/2011 14:07,11.83,11.84,11.83,11.8399,5300,10/19/2011 9:00
10748,UBS,10749,10/18/2011 14:08,11.83,11.84,11.81,11.81,12700,10/19/2011 9:00
10749,UBS,10750,10/18/2011 14:09,11.81,11.83,11.81,11.83,9200,10/19/2011 9:00
10750,UBS,10751,10/18/2011 14:10,11.83,11.84,11.83,11.84,3900,10/19/2011 9:00
10751,UBS,10752,10/18/2011 14:11,11.8397,11.85,11.83,11.85,8200,10/19/2011 9:00
10752,UBS,10753,10/18/2011 14:12,11.84,11.85,11.84,11.84,2100,10/19/2011 9:00
10753,UBS,10754,10/18/2011 14:13,11.84,11.86,11.84,11.8495,21400,10/19/2011 9:00
10754,UBS,10755,10/18/2011 14:14,11.85,11.85,11.84,11.85,2700,10/19/2011 9:00
10755,UBS,10756,10/18/2011 14:15,11.86,11.87,11.85,11.87,31300,10/19/2011 9:00
10756,UBS,10757,10/18/2011 14:16,11.86,11.865,11.855,11.86,68700,10/19/2011 9:00
10757,UBS,10758,10/18/2011 14:17,11.85,11.85,11.85,11.85,5100,10/19/2011 9:00
10758,UBS,10759,10/18/2011 14:18,11.84,11.85,11.83,11.83,10600,10/19/2011 9:00
10759,UBS,10760,10/18/2011 14:19,11.84,11.84,11.84,11.84,5400,10/19/2011 9:00
10760,UBS,10761,10/18/2011 14:20,11.85,11.85,11.85,11.85,300,10/19/2011 9:00
10761,UBS,10762,10/18/2011 14:21,11.85,11.86,11.8499,11.85,13200,10/19/2011 9:00
10762,UBS,10763,10/18/2011 14:22,11.8499,11.85,11.8422,11.8422,6300,10/19/2011 9:00
10763,UBS,10764,10/18/2011 14:23,11.85,11.85,11.84,11.84,11200,10/19/2011 9:00
10764,UBS,10765,10/18/2011 14:24,11.84,11.86,11.84,11.84,5800,10/19/2011 9:00
10765,UBS,10766,10/18/2011 14:25,11.85,11.86,11.85,11.85,1100,10/19/2011 9:00
10766,UBS,10767,10/18/2011 14:26,11.85,11.86,11.8493,11.85,4400,10/19/2011 9:00
10767,UBS,10768,10/18/2011 14:27,11.85,11.85,11.84,11.85,1700,10/19/2011 9:00
10768,UBS,10769,10/18/2011 14:28,11.86,11.87,11.86,11.86,5700,10/19/2011 9:00
10769,UBS,10770,10/18/2011 14:29,11.86,11.86,11.86,11.86,400,10/19/2011 9:00
10770,UBS,10771,10/18/2011 14:30,11.85,11.87,11.85,11.87,2300,10/19/2011 9:00
10771,UBS,10772,10/18/2011 14:31,11.87,11.87,11.86,11.87,1600,10/19/2011 9:00
10772,UBS,10773,10/18/2011 14:32,11.87,11.88,11.87,11.87,10000,10/19/2011 9:00
10773,UBS,10774,10/18/2011 14:33,11.87,11.88,11.87,11.88,3000,10/19/2011 9:00
10774,UBS,10775,10/18/2011 14:34,11.88,11.88,11.8727,11.8727,600,10/19/2011 9:00
10775,UBS,10776,10/18/2011 14:35,11.87,11.88,11.87,11.87,105300,10/19/2011 9:00
10776,UBS,10777,10/18/2011 14:36,11.87,11.88,11.87,11.87,5000,10/19/2011 9:00
10777,UBS,10778,10/18/2011 14:37,11.87,11.87,11.84,11.84,14700,10/19/2011 9:00
10778,UBS,10779,10/18/2011 14:38,11.84,11.84,11.83,11.83,3600,10/19/2011 9:00
10779,UBS,10780,10/18/2011 14:39,11.83,11.84,11.83,11.83,2800,10/19/2011 9:00
10780,UBS,10781,10/18/2011 14:40,11.83,11.84,11.8299,11.8396,3900,10/19/2011 9:00
10781,UBS,10782,10/18/2011 14:41,11.83,11.83,11.82,11.82,4800,10/19/2011 9:00
10782,UBS,10783,10/18/2011 14:42,11.815,11.82,11.81,11.82,1400,10/19/2011 9:00
10783,UBS,10784,10/18/2011 14:43,11.81,11.82,11.81,11.82,4300,10/19/2011 9:00
10784,UBS,10785,10/18/2011 14:44,11.83,11.83,11.82,11.83,1400,10/19/2011 9:00
10785,UBS,10786,10/18/2011 14:45,11.8292,11.83,11.82,11.8253,2500,10/19/2011 9:00
10786,UBS,10787,10/18/2011 14:46,11.8299,11.85,11.8299,11.85,3200,10/19/2011 9:00
10787,UBS,10788,10/18/2011 14:47,11.85,11.86,11.8499,11.86,3800,10/19/2011 9:00
10788,UBS,10789,10/18/2011 14:48,11.85,11.85,11.8325,11.84,13400,10/19/2011 9:00
10789,UBS,10790,10/18/2011 14:49,11.84,11.84,11.84,11.84,3300,10/19/2011 9:00
10790,UBS,10791,10/18/2011 14:50,11.85,11.85,11.8345,11.8345,7300,10/19/2011 9:00
10791,UBS,10792,10/18/2011 14:51,11.84,11.85,11.84,11.8496,1700,10/19/2011 9:00
10792,UBS,10793,10/18/2011 14:52,11.85,11.85,11.84,11.84,3000,10/19/2011 9:00
10793,UBS,10794,10/18/2011 14:53,11.85,11.85,11.84,11.8425,4100,10/19/2011 9:00
10794,UBS,10795,10/18/2011 14:54,11.85,11.85,11.83,11.83,7700,10/19/2011 9:00
10795,UBS,10796,10/18/2011 14:55,11.84,11.85,11.84,11.85,4000,10/19/2011 9:00
