index,symbol,nr,timestamp,open,high,low,close,volume,release_script
11945,WIN,11946,11/3/2011 14:00,12.52,12.52,12.51,12.52,5100,11/4/2011 8:30
11946,WIN,11947,11/3/2011 14:01,12.52,12.52,12.51,12.51,6100,11/4/2011 8:30
11947,WIN,11948,11/3/2011 14:02,12.51,12.52,12.51,12.518,1300,11/4/2011 8:30
11948,WIN,11949,11/3/2011 14:03,12.52,12.53,12.51,12.52,19300,11/4/2011 8:30
11949,WIN,11950,11/3/2011 14:04,12.53,12.54,12.525,12.54,9200,11/4/2011 8:30
11950,WIN,11951,11/3/2011 14:05,12.54,12.54,12.53,12.53,3900,11/4/2011 8:30
11951,WIN,11952,11/3/2011 14:06,12.538,12.54,12.53,12.5394,2700,11/4/2011 8:30
11952,WIN,11953,11/3/2011 14:07,12.53,12.55,12.53,12.5496,31900,11/4/2011 8:30
11953,WIN,11954,11/3/2011 14:08,12.54,12.55,12.54,12.54,11300,11/4/2011 8:30
11954,WIN,11955,11/3/2011 14:09,12.54,12.548,12.53,12.53,11200,11/4/2011 8:30
11955,WIN,11956,11/3/2011 14:10,12.53,12.54,12.53,12.54,1900,11/4/2011 8:30
11956,WIN,11957,11/3/2011 14:11,12.533,12.5371,12.52,12.52,7700,11/4/2011 8:30
11957,WIN,11958,11/3/2011 14:12,12.529,12.53,12.52,12.52,1900,11/4/2011 8:30
11958,WIN,11959,11/3/2011 14:13,12.52,12.535,12.51,12.535,22500,11/4/2011 8:30
11959,WIN,11960,11/3/2011 14:14,12.53,12.5307,12.53,12.53,3000,11/4/2011 8:30
11960,WIN,11961,11/3/2011 14:15,12.53,12.54,12.53,12.539,2500,11/4/2011 8:30
11961,WIN,11962,11/3/2011 14:16,12.54,12.54,12.53,12.53,4600,11/4/2011 8:30
11962,WIN,11963,11/3/2011 14:17,12.53,12.54,12.53,12.53,12900,11/4/2011 8:30
11963,WIN,11964,11/3/2011 14:18,12.53,12.54,12.53,12.53,5500,11/4/2011 8:30
11964,WIN,11965,11/3/2011 14:19,12.53,12.532,12.52,12.53,9000,11/4/2011 8:30
11965,WIN,11966,11/3/2011 14:20,12.52,12.52,12.5,12.51,31300,11/4/2011 8:30
11966,WIN,11967,11/3/2011 14:21,12.5183,12.52,12.51,12.52,3800,11/4/2011 8:30
11967,WIN,11968,11/3/2011 14:22,12.52,12.52,12.51,12.52,2500,11/4/2011 8:30
11968,WIN,11969,11/3/2011 14:23,12.5105,12.52,12.51,12.519,4500,11/4/2011 8:30
11969,WIN,11970,11/3/2011 14:24,12.519,12.519,12.5,12.5,17300,11/4/2011 8:30
11970,WIN,11971,11/3/2011 14:25,12.51,12.51,12.49,12.49,21000,11/4/2011 8:30
11971,WIN,11972,11/3/2011 14:26,12.49,12.5,12.49,12.49,3700,11/4/2011 8:30
11972,WIN,11973,11/3/2011 14:27,12.49,12.5,12.49,12.49,2400,11/4/2011 8:30
11973,WIN,11974,11/3/2011 14:28,12.495,12.5,12.49,12.5,2000,11/4/2011 8:30
11974,WIN,11975,11/3/2011 14:29,12.49,12.5,12.49,12.5,2400,11/4/2011 8:30
11975,WIN,11976,11/3/2011 14:30,12.5,12.5,12.49,12.49,2300,11/4/2011 8:30
11976,WIN,11977,11/3/2011 14:31,12.49,12.5,12.49,12.5,5600,11/4/2011 8:30
11977,WIN,11978,11/3/2011 14:32,12.5,12.51,12.5,12.509,8900,11/4/2011 8:30
11978,WIN,11979,11/3/2011 14:33,12.505,12.51,12.49,12.505,28600,11/4/2011 8:30
11979,WIN,11980,11/3/2011 14:34,12.506,12.51,12.5,12.51,15300,11/4/2011 8:30
11980,WIN,11981,11/3/2011 14:35,12.51,12.51,12.5,12.508,900,11/4/2011 8:30
11981,WIN,11982,11/3/2011 14:36,12.5075,12.51,12.49,12.49,9800,11/4/2011 8:30
11982,WIN,11983,11/3/2011 14:37,12.49,12.495,12.49,12.49,2800,11/4/2011 8:30
11983,WIN,11984,11/3/2011 14:38,12.49,12.5,12.485,12.49,10400,11/4/2011 8:30
11984,WIN,11985,11/3/2011 14:39,12.49,12.5,12.49,12.49,6400,11/4/2011 8:30
11985,WIN,11986,11/3/2011 14:40,12.4954,12.5,12.49,12.5,1900,11/4/2011 8:30
11986,WIN,11987,11/3/2011 14:41,12.5,12.5,12.49,12.4971,3300,11/4/2011 8:30
11987,WIN,11988,11/3/2011 14:42,12.5,12.5,12.49,12.49,12700,11/4/2011 8:30
11988,WIN,11989,11/3/2011 14:43,12.49,12.5,12.49,12.49,2600,11/4/2011 8:30
11989,WIN,11990,11/3/2011 14:44,12.5,12.5,12.48,12.48,17800,11/4/2011 8:30
11990,WIN,11991,11/3/2011 14:45,12.48,12.48,12.47,12.475,11800,11/4/2011 8:30
11991,WIN,11992,11/3/2011 14:46,12.47,12.48,12.47,12.47,4700,11/4/2011 8:30
11992,WIN,11993,11/3/2011 14:47,12.47,12.48,12.46,12.46,26900,11/4/2011 8:30
11993,WIN,11994,11/3/2011 14:48,12.46,12.47,12.45,12.45,20900,11/4/2011 8:30
11994,WIN,11995,11/3/2011 14:49,12.45,12.46,12.45,12.45,13200,11/4/2011 8:30
11995,WIN,11996,11/3/2011 14:50,12.45,12.46,12.45,12.455,2300,11/4/2011 8:30
11996,WIN,11997,11/3/2011 14:51,12.45,12.46,12.45,12.45,14100,11/4/2011 8:30
11997,WIN,11998,11/3/2011 14:52,12.455,12.46,12.45,12.45,7900,11/4/2011 8:30
11998,WIN,11999,11/3/2011 14:53,12.4554,12.46,12.45,12.455,900,11/4/2011 8:30
11999,WIN,12000,11/3/2011 14:54,12.4554,12.46,12.45,12.45,2300,11/4/2011 8:30
12000,WIN,12001,11/3/2011 14:55,12.4568,12.46,12.45,12.458,3100,11/4/2011 8:30
