index,symbol,nr,timestamp,open,high,low,close,volume,release_script
10792,YHOO,10793,10/18/2011 14:00,15.51,15.51,15.49,15.5,24000,10/18/2011 17:00
10793,YHOO,10794,10/18/2011 14:01,15.51,15.51,15.49,15.495,15300,10/18/2011 17:00
10794,YHOO,10795,10/18/2011 14:02,15.5,15.5,15.47,15.475,66700,10/18/2011 17:00
10795,YHOO,10796,10/18/2011 14:03,15.475,15.485,15.465,15.47,94900,10/18/2011 17:00
10796,YHOO,10797,10/18/2011 14:04,15.48,15.53,15.475,15.51,55300,10/18/2011 17:00
10797,YHOO,10798,10/18/2011 14:05,15.51,15.53,15.51,15.51,28000,10/18/2011 17:00
10798,YHOO,10799,10/18/2011 14:06,15.51,15.51,15.5,15.5,35200,10/18/2011 17:00
10799,YHOO,10800,10/18/2011 14:07,15.5,15.52,15.495,15.51,48500,10/18/2011 17:00
10800,YHOO,10801,10/18/2011 14:08,15.51,15.51,15.475,15.485,103700,10/18/2011 17:00
10801,YHOO,10802,10/18/2011 14:09,15.485,15.5,15.48,15.49,54900,10/18/2011 17:00
10802,YHOO,10803,10/18/2011 14:10,15.49,15.49,15.475,15.4899,61900,10/18/2011 17:00
10803,YHOO,10804,10/18/2011 14:11,15.485,15.5,15.48,15.49,39200,10/18/2011 17:00
10804,YHOO,10805,10/18/2011 14:12,15.5,15.5,15.49,15.49,11300,10/18/2011 17:00
10805,YHOO,10806,10/18/2011 14:13,15.5,15.51,15.46,15.46,120800,10/18/2011 17:00
10806,YHOO,10807,10/18/2011 14:14,15.46,15.49,15.46,15.49,39200,10/18/2011 17:00
10807,YHOO,10808,10/18/2011 14:15,15.4828,15.5,15.4828,15.49,3600,10/18/2011 17:00
10808,YHOO,10809,10/18/2011 14:16,15.495,15.495,15.46,15.46,45500,10/18/2011 17:00
10809,YHOO,10810,10/18/2011 14:17,15.46,15.46,15.435,15.44,49800,10/18/2011 17:00
10810,YHOO,10811,10/18/2011 14:18,15.43,15.45,15.43,15.44,25700,10/18/2011 17:00
10811,YHOO,10812,10/18/2011 14:19,15.4301,15.45,15.43,15.44,51400,10/18/2011 17:00
10812,YHOO,10813,10/18/2011 14:20,15.44,15.45,15.41,15.445,67000,10/18/2011 17:00
10813,YHOO,10814,10/18/2011 14:21,15.45,15.455,15.44,15.4405,46200,10/18/2011 17:00
10814,YHOO,10815,10/18/2011 14:22,15.45,15.46,15.44,15.4494,51100,10/18/2011 17:00
10815,YHOO,10816,10/18/2011 14:23,15.4498,15.4498,15.445,15.445,6400,10/18/2011 17:00
10816,YHOO,10817,10/18/2011 14:24,15.45,15.46,15.44,15.46,37100,10/18/2011 17:00
10817,YHOO,10818,10/18/2011 14:25,15.46,15.488,15.46,15.48,53000,10/18/2011 17:00
10818,YHOO,10819,10/18/2011 14:26,15.48,15.485,15.475,15.48,20800,10/18/2011 17:00
10819,YHOO,10820,10/18/2011 14:27,15.48,15.5,15.4714,15.5,32400,10/18/2011 17:00
10820,YHOO,10821,10/18/2011 14:28,15.5,15.5,15.48,15.49,21100,10/18/2011 17:00
10821,YHOO,10822,10/18/2011 14:29,15.48,15.5,15.48,15.49,23100,10/18/2011 17:00
10822,YHOO,10823,10/18/2011 14:30,15.49,15.51,15.49,15.5,57400,10/18/2011 17:00
10823,YHOO,10824,10/18/2011 14:31,15.5001,15.51,15.5,15.5,16300,10/18/2011 17:00
10824,YHOO,10825,10/18/2011 14:32,15.5001,15.51,15.5,15.505,26800,10/18/2011 17:00
10825,YHOO,10826,10/18/2011 14:33,15.505,15.51,15.5,15.5,6400,10/18/2011 17:00
10826,YHOO,10827,10/18/2011 14:34,15.5,15.51,15.5,15.5,14300,10/18/2011 17:00
10827,YHOO,10828,10/18/2011 14:35,15.51,15.51,15.5,15.5017,27000,10/18/2011 17:00
10828,YHOO,10829,10/18/2011 14:36,15.5,15.51,15.5,15.5,27900,10/18/2011 17:00
10829,YHOO,10830,10/18/2011 14:37,15.5,15.5,15.455,15.47,92000,10/18/2011 17:00
10830,YHOO,10831,10/18/2011 14:38,15.4608,15.47,15.45,15.45,28400,10/18/2011 17:00
10831,YHOO,10832,10/18/2011 14:39,15.45,15.46,15.44,15.44,63000,10/18/2011 17:00
10832,YHOO,10833,10/18/2011 14:40,15.44,15.48,15.43,15.475,64600,10/18/2011 17:00
10833,YHOO,10834,10/18/2011 14:41,15.47,15.475,15.44,15.46,40200,10/18/2011 17:00
10834,YHOO,10835,10/18/2011 14:42,15.4616,15.48,15.46,15.47,23800,10/18/2011 17:00
10835,YHOO,10836,10/18/2011 14:43,15.4712,15.48,15.46,15.475,42800,10/18/2011 17:00
10836,YHOO,10837,10/18/2011 14:44,15.48,15.48,15.47,15.48,9300,10/18/2011 17:00
10837,YHOO,10838,10/18/2011 14:45,15.472,15.5,15.47,15.5,21300,10/18/2011 17:00
10838,YHOO,10839,10/18/2011 14:46,15.495,15.51,15.49,15.5,47600,10/18/2011 17:00
10839,YHOO,10840,10/18/2011 14:47,15.51,15.51,15.5,15.51,25100,10/18/2011 17:00
10840,YHOO,10841,10/18/2011 14:48,15.51,15.51,15.48,15.49,45500,10/18/2011 17:00
10841,YHOO,10842,10/18/2011 14:49,15.49,15.49,15.475,15.48,20100,10/18/2011 17:00
10842,YHOO,10843,10/18/2011 14:50,15.48,15.49,15.465,15.465,22500,10/18/2011 17:00
10843,YHOO,10844,10/18/2011 14:51,15.46,15.49,15.46,15.48,50800,10/18/2011 17:00
10844,YHOO,10845,10/18/2011 14:52,15.48,15.4883,15.475,15.485,17000,10/18/2011 17:00
10845,YHOO,10846,10/18/2011 14:53,15.49,15.51,15.48,15.5,52800,10/18/2011 17:00
10846,YHOO,10847,10/18/2011 14:54,15.5,15.5,15.49,15.495,5600,10/18/2011 17:00
10847,YHOO,10848,10/18/2011 14:55,15.495,15.52,15.49,15.52,37100,10/18/2011 17:00
10848,YHOO,10849,10/18/2011 14:56,15.5198,15.52,15.5,15.5,25000,10/18/2011 17:00
10849,YHOO,10850,10/18/2011 14:57,15.51,15.51,15.48,15.485,37800,10/18/2011 17:00
10850,YHOO,10851,10/18/2011 14:58,15.49,15.49,15.465,15.47,75700,10/18/2011 17:00
10851,YHOO,10852,10/18/2011 14:59,15.4602,15.48,15.46,15.48,45500,10/18/2011 17:00
10852,YHOO,10853,10/18/2011 15:00,15.48,15.51,15.47,15.5,40500,10/18/2011 17:00
10853,YHOO,10854,10/18/2011 15:01,15.51,15.52,15.5,15.52,97100,10/18/2011 17:00
10854,YHOO,10855,10/18/2011 15:02,15.51,15.52,15.51,15.52,13200,10/18/2011 17:00
10855,YHOO,10856,10/18/2011 15:03,15.515,15.55,15.511,15.55,62600,10/18/2011 17:00
10856,YHOO,10857,10/18/2011 15:04,15.55,15.56,15.525,15.54,152100,10/18/2011 17:00
10857,YHOO,10858,10/18/2011 15:05,15.54,15.55,15.54,15.545,20300,10/18/2011 17:00
10858,YHOO,10859,10/18/2011 15:06,15.55,15.58,15.54,15.55,160100,10/18/2011 17:00
10859,YHOO,10860,10/18/2011 15:07,15.5615,15.5615,15.54,15.545,147400,10/18/2011 17:00
10860,YHOO,10861,10/18/2011 15:08,15.545,15.57,15.54,15.56,135100,10/18/2011 17:00
10861,YHOO,10862,10/18/2011 15:09,15.56,15.57,15.55,15.57,61700,10/18/2011 17:00
10862,YHOO,10863,10/18/2011 15:10,15.57,15.61,15.57,15.59,132500,10/18/2011 17:00
10863,YHOO,10864,10/18/2011 15:11,15.6,15.66,15.6,15.6325,264500,10/18/2011 17:00
10864,YHOO,10865,10/18/2011 15:12,15.64,15.66,15.63,15.66,177300,10/18/2011 17:00
10865,YHOO,10866,10/18/2011 15:13,15.651,15.68,15.6412,15.65,169200,10/18/2011 17:00
10866,YHOO,10867,10/18/2011 15:14,15.6583,15.66,15.59,15.6,233600,10/18/2011 17:00
10867,YHOO,10868,10/18/2011 15:15,15.61,15.63,15.595,15.61,195100,10/18/2011 17:00
10868,YHOO,10869,10/18/2011 15:16,15.62,15.62,15.59,15.62,120300,10/18/2011 17:00
10869,YHOO,10870,10/18/2011 15:17,15.61,15.64,15.595,15.6,130500,10/18/2011 17:00
10870,YHOO,10871,10/18/2011 15:18,15.5971,15.6,15.555,15.56,151300,10/18/2011 17:00
10871,YHOO,10872,10/18/2011 15:19,15.55,15.565,15.52,15.525,110500,10/18/2011 17:00
10872,YHOO,10873,10/18/2011 15:20,15.53,15.58,15.52,15.54,108200,10/18/2011 17:00
10873,YHOO,10874,10/18/2011 15:21,15.55,15.57,15.54,15.57,95100,10/18/2011 17:00
10874,YHOO,10875,10/18/2011 15:22,15.57,15.57,15.55,15.55,101400,10/18/2011 17:00
10875,YHOO,10876,10/18/2011 15:23,15.55,15.55,15.505,15.52,135500,10/18/2011 17:00
10876,YHOO,10877,10/18/2011 15:24,15.515,15.53,15.49,15.5,192100,10/18/2011 17:00
10877,YHOO,10878,10/18/2011 15:25,15.5,15.53,15.5,15.5288,118700,10/18/2011 17:00
10878,YHOO,10879,10/18/2011 15:26,15.53,15.55,15.52,15.54,122700,10/18/2011 17:00
10879,YHOO,10880,10/18/2011 15:27,15.54,15.56,15.54,15.56,92900,10/18/2011 17:00
10880,YHOO,10881,10/18/2011 15:28,15.55,15.559,15.51,15.53,76000,10/18/2011 17:00
10881,YHOO,10882,10/18/2011 15:29,15.53,15.53,15.5,15.501,61300,10/18/2011 17:00
10882,YHOO,10883,10/18/2011 15:30,15.51,15.52,15.49,15.49,185300,10/18/2011 17:00
10883,YHOO,10884,10/18/2011 15:31,15.495,15.52,15.49,15.52,132500,10/18/2011 17:00
10884,YHOO,10885,10/18/2011 15:32,15.51,15.52,15.49,15.49,88600,10/18/2011 17:00
10885,YHOO,10886,10/18/2011 15:33,15.49,15.5,15.45,15.46,158500,10/18/2011 17:00
10886,YHOO,10887,10/18/2011 15:34,15.45,15.46,15.43,15.44,173900,10/18/2011 17:00
10887,YHOO,10888,10/18/2011 15:35,15.44,15.47,15.44,15.47,251700,10/18/2011 17:00
10888,YHOO,10889,10/18/2011 15:36,15.47,15.53,15.465,15.53,106000,10/18/2011 17:00
10889,YHOO,10890,10/18/2011 15:37,15.53,15.53,15.46,15.47,175000,10/18/2011 17:00
10890,YHOO,10891,10/18/2011 15:38,15.47,15.5,15.45,15.485,127500,10/18/2011 17:00
10891,YHOO,10892,10/18/2011 15:39,15.48,15.49,15.44,15.47,137400,10/18/2011 17:00
10892,YHOO,10893,10/18/2011 15:40,15.46,15.47,15.44,15.47,118600,10/18/2011 17:00
10893,YHOO,10894,10/18/2011 15:41,15.462,15.47,15.415,15.46,192000,10/18/2011 17:00
10894,YHOO,10895,10/18/2011 15:42,15.45,15.47,15.42,15.46,199400,10/18/2011 17:00
10895,YHOO,10896,10/18/2011 15:43,15.46,15.51,15.455,15.51,143100,10/18/2011 17:00
10896,YHOO,10897,10/18/2011 15:44,15.51,15.54,15.495,15.53,154700,10/18/2011 17:00
10897,YHOO,10898,10/18/2011 15:45,15.52,15.55,15.52,15.54,147400,10/18/2011 17:00
10898,YHOO,10899,10/18/2011 15:46,15.53,15.55,15.51,15.52,100400,10/18/2011 17:00
10899,YHOO,10900,10/18/2011 15:47,15.52,15.54,15.49,15.49,153400,10/18/2011 17:00
10900,YHOO,10901,10/18/2011 15:48,15.49,15.52,15.485,15.517,101500,10/18/2011 17:00
10901,YHOO,10902,10/18/2011 15:49,15.5172,15.54,15.5,15.53,150700,10/18/2011 17:00
10902,YHOO,10903,10/18/2011 15:50,15.53,15.56,15.525,15.56,120900,10/18/2011 17:00
10903,YHOO,10904,10/18/2011 15:51,15.56,15.59,15.55,15.59,173500,10/18/2011 17:00
10904,YHOO,10905,10/18/2011 15:52,15.59,15.6,15.57,15.5891,211700,10/18/2011 17:00
10905,YHOO,10906,10/18/2011 15:53,15.585,15.59,15.54,15.56,305400,10/18/2011 17:00
10906,YHOO,10907,10/18/2011 15:54,15.56,15.57,15.55,15.56,198700,10/18/2011 17:00
10907,YHOO,10908,10/18/2011 15:55,15.56,15.57,15.53,15.55,315600,10/18/2011 17:00
10908,YHOO,10909,10/18/2011 15:56,15.56,15.56,15.47,15.485,435300,10/18/2011 17:00
10909,YHOO,10910,10/18/2011 15:57,15.485,15.52,15.47,15.49,304800,10/18/2011 17:00
10910,YHOO,10911,10/18/2011 15:58,15.47,15.49,15.45,15.47,262600,10/18/2011 17:00
10911,YHOO,10912,10/18/2011 15:59,15.47,15.47,15.47,15.47,1100,10/18/2011 17:00
10912,YHOO,10913,10/19/2011 9:30,16.04,16.1201,16.01,16.12,1104100,10/18/2011 17:00
10913,YHOO,10914,10/19/2011 9:31,16.12,16.18,16.11,16.1201,333700,10/18/2011 17:00
10914,YHOO,10915,10/19/2011 9:32,16.13,16.16,16.115,16.15,231600,10/18/2011 17:00
10915,YHOO,10916,10/19/2011 9:33,16.1429,16.2,16.14,16.185,405400,10/18/2011 17:00
10916,YHOO,10917,10/19/2011 9:34,16.1892,16.2,16.16,16.2,132700,10/18/2011 17:00
10917,YHOO,10918,10/19/2011 9:35,16.19,16.22,16.17,16.195,420900,10/18/2011 17:00
10918,YHOO,10919,10/19/2011 9:36,16.195,16.2,16.13,16.14,183000,10/18/2011 17:00
10919,YHOO,10920,10/19/2011 9:37,16.14,16.16,16.1,16.15,367900,10/18/2011 17:00
10920,YHOO,10921,10/19/2011 9:38,16.15,16.2,16.15,16.169,298500,10/18/2011 17:00
10921,YHOO,10922,10/19/2011 9:39,16.17,16.19,16.15,16.18,173200,10/18/2011 17:00
10922,YHOO,10923,10/19/2011 9:40,16.17,16.2,16.1692,16.17,214900,10/18/2011 17:00
10923,YHOO,10924,10/19/2011 9:41,16.1712,16.2,16.17,16.18,95900,10/18/2011 17:00
10924,YHOO,10925,10/19/2011 9:42,16.1814,16.2,16.17,16.19,193300,10/18/2011 17:00
10925,YHOO,10926,10/19/2011 9:43,16.19,16.21,16.18,16.19,375200,10/18/2011 17:00
10926,YHOO,10927,10/19/2011 9:44,16.1905,16.21,16.18,16.19,167400,10/18/2011 17:00
10927,YHOO,10928,10/19/2011 9:45,16.2,16.21,16.19,16.195,287000,10/18/2011 17:00
10928,YHOO,10929,10/19/2011 9:46,16.2,16.25,16.19,16.2382,585200,10/18/2011 17:00
10929,YHOO,10930,10/19/2011 9:47,16.24,16.25,16.23,16.23,330500,10/18/2011 17:00
10930,YHOO,10931,10/19/2011 9:48,16.23,16.29,16.23,16.27,278000,10/18/2011 17:00
10931,YHOO,10932,10/19/2011 9:49,16.27,16.28,16.24,16.245,161200,10/18/2011 17:00
10932,YHOO,10933,10/19/2011 9:50,16.25,16.28,16.24,16.26,165500,10/18/2011 17:00
10933,YHOO,10934,10/19/2011 9:51,16.26,16.27,16.21,16.21,199500,10/18/2011 17:00
10934,YHOO,10935,10/19/2011 9:52,16.23,16.23,16.14,16.2,316100,10/18/2011 17:00
10935,YHOO,10936,10/19/2011 9:53,16.2,16.22,16.15,16.18,191800,10/18/2011 17:00
10936,YHOO,10937,10/19/2011 9:54,16.17,16.19,16.13,16.1305,85400,10/18/2011 17:00
