Date,Open,High,Low,Close,Volume
2017-02-02 09:30:00,794.89,794.89,793.79,793.8,29052
2017-02-02 09:31:00,795.46,795.54,794.75,794.98,4343
2017-02-02 09:32:00,794.23,795.25,794.23,794.79,5054
2017-02-02 09:33:00,793.77,794.5,793.24,794.5,11563
2017-02-02 09:34:00,792.31,793.95,792.0,793.54,9945
2017-02-02 09:35:00,793.5207,793.625,792.28,792.38,8804
2017-02-02 09:36:00,793.18,793.83,792.59,793.83,6600
2017-02-02 09:37:00,794.5,794.5,793.05,793.35,7145
2017-02-02 09:38:00,793.96,794.96,793.57,794.54,11654
2017-02-02 09:39:00,794.78,794.78,793.91,793.93,2909
2017-02-02 09:40:00,797.33,797.33,794.94,795.0,7043
2017-02-02 09:41:00,797.3,797.67,796.05,796.58,14343
2017-02-02 09:42:00,797.27,798.87,797.07,797.69,9810
2017-02-02 09:43:00,797.67,798.28,797.2,797.2592,5058
2017-02-02 09:44:00,798.4,798.475,797.55,797.91,3000
2017-02-02 09:45:00,798.01,799.29,798.01,798.03,3830
2017-02-02 09:46:00,798.755,798.92,797.57,797.57,4336
2017-02-02 09:47:00,799.315,799.42,798.36,798.78,4862
2017-02-02 09:48:00,799.28,800.2,798.77,799.54,11312
2017-02-02 09:49:00,799.21,799.65,798.96,799.41,5080
2017-02-02 09:50:00,800.45,800.45,799.5565,799.68,4800
2017-02-02 09:51:00,800.3371,800.46,799.4728,800.37,10735
2017-02-02 09:52:00,800.115,800.22,799.83,800.086,5250
2017-02-02 09:53:00,799.79,800.33,799.79,800.115,5978
2017-02-02 09:54:00,800.135,800.1668,799.5,800.06,3795
2017-02-02 09:55:00,800.24,800.75,800.1,800.36,2807
2017-02-02 09:56:00,799.995,800.55,799.995,800.04,2100
2017-02-02 09:57:00,800.79,800.9899,800.08,800.08,4450
2017-02-02 09:58:00,800.585,801.04,800.53,800.79,13667
2017-02-02 09:59:00,801.1595,801.34,800.6441,800.67,9373
2017-02-02 10:00:00,802.3,802.7,801.26,801.31,14592
2017-02-02 10:01:00,802.36,802.4515,801.95,802.27,21842
2017-02-02 10:02:00,802.49,802.54,802.2,802.29,6790
2017-02-02 10:03:00,802.0516,802.38,801.6767,802.34,7639
2017-02-02 10:04:00,801.837,802.1599,801.76,801.97,1565
2017-02-02 10:05:00,801.4,801.96,801.39,801.865,3700
2017-02-02 10:06:00,801.05,801.5005,800.83,801.39,3650
2017-02-02 10:07:00,800.68,801.095,800.62,800.85,4057
2017-02-02 10:08:00,800.32,800.93,800.0,800.77,5831
2017-02-02 10:09:00,801.44,801.44,800.29,800.29,2500
2017-02-02 10:10:00,801.315,801.55,800.77,800.93,6064
2017-02-02 10:11:00,801.27,801.49,800.8401,801.29,4087
2017-02-02 10:12:00,800.9899,801.41,800.716,801.41,3100
2017-02-02 10:13:00,801.38,801.38,800.54,800.54,2430
2017-02-02 10:14:00,801.61,801.62,801.3044,801.45,1300
2017-02-02 10:15:00,801.26,801.72,801.06,801.62,4123
2017-02-02 10:16:00,801.04,801.6099,801.0,801.44,2000
2017-02-02 10:17:00,801.17,801.53,801.1458,801.21,3499
2017-02-02 10:18:00,801.12,801.4002,800.75,801.28,2400
2017-02-02 10:19:00,800.68,801.39,800.54,801.06,2193
2017-02-02 10:20:00,800.25,800.75,800.2,800.2061,8715
2017-02-02 10:21:00,800.55,801.07,800.35,800.54,6467
2017-02-02 10:22:00,800.46,800.78,800.26,800.54,1910
2017-02-02 10:23:00,800.75,800.75,800.34,800.65,2100
2017-02-02 10:24:00,801.17,801.17,800.54,800.61,2000
2017-02-02 10:25:00,800.88,801.13,800.75,801.13,1450
2017-02-02 10:26:00,801.02,801.19,800.77,800.77,1200
2017-02-02 10:27:00,801.14,801.23,801.14,801.23,300
2017-02-02 10:28:00,800.86,801.35,800.72,801.26,1600
2017-02-02 10:29:00,800.1201,801.0125,800.1201,801.0125,1626
2017-02-02 10:30:00,800.4891,800.63,800.2101,800.375,2818
2017-02-02 10:31:00,800.9899,801.0119,800.47,800.65,2176
2017-02-02 10:32:00,801.0,801.0,800.6010000000001,800.94,1863
2017-02-02 10:33:00,800.71,800.8834,800.28,800.85,2100
2017-02-02 10:34:00,800.88,800.88,800.61,800.72,500
2017-02-02 10:35:00,801.2697,801.2697,800.73,800.88,800
2017-02-02 10:36:00,800.6437,801.28,800.6437,801.0,1450
2017-02-02 10:37:00,800.65,800.7853,800.6401,800.6401,1050
2017-02-02 10:38:00,800.45,800.665,800.45,800.55,1200
2017-02-02 10:39:00,800.38,800.59,800.32,800.51,1900
